#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,COURTOIS Thibaut,Thibaut Nicolas M,COURTOIS,COURTOIS,1992-05-11,Real Madrid C. F. (ESP),199.0,Belgium
2.0,DF,DEBAST Zeno,Zeno Koen,DEBAST,DEBAST,2003-10-24,Sporting CP (POR),189.0,Belgium
3.0,DF,THEATE Arthur,Arthur Nicolas R,THEATE,THEATE,2000-05-25,Eintracht Frankfurt (GER),185.0,Belgium
4.0,DF,MECHELE Brandon,Brandon Erik,MECHELE,MECHELE,1993-01-28,Club Brugge (BEL),190.0,Belgium
5.0,DF,DE CUYPER Maxim,Maxim Peter M,DE CUYPER,DE CUYPER,2000-12-22,Brighton & Hove Albion FC (ENG),182.0,Belgium
6.0,MF,WITSEL Axel,Axel Laurent A,WITSEL,WITSEL,1989-01-12,Girona FC (ESP),186.0,Belgium
7.0,MF,DE BRUYNE Kevin,Kevin,DE BRUYNE,DE BRUYNE,1991-06-28,SSC Napoli (ITA),181.0,Belgium
8.0,MF,TIELEMANS Youri,Youri Marion A,TIELEMANS,TIELEMANS,1997-05-07,Aston Villa FC (ENG),176.0,Belgium
9.0,FW,LUKAKU Romelu,Romelu,LUKAKU BOLINGOLI,LUKAKU,1993-05-13,SSC Napoli (ITA),190.0,Belgium
10.0,FW,TROSSARD Leandro,Leandro,TROSSARD,TROSSARD,1994-12-04,Arsenal FC (ENG),172.0,Belgium
11.0,FW,DOKU Jeremy,Jeremy Baffour,DOKU,DOKU,2002-05-27,Manchester City FC (ENG),173.0,Belgium
12.0,GK,LAMMENS Senne,Senne,LAMMENS,LAMMENS,2002-07-07,Manchester United FC (ENG),193.0,Belgium
13.0,GK,PENDERS Mike,Mike Louis,PENDERS,PENDERS,2005-07-31,RC Strasbourg (FRA),200.0,Belgium
14.0,FW,LUKEBAKIO Dodi,Dodi,LUKEBAKIO NGANDOLI,LUKEBAKIO,1997-09-24,SL Benfica (POR),184.0,Belgium
15.0,DF,MEUNIER Thomas,Thomas Andre A,MEUNIER,MEUNIER,1991-09-12,Lille OSC (FRA),190.0,Belgium
16.0,DF,DE WINTER Koni,Koni,DE WINTER,DE WINTER,2002-06-12,AC Milan (ITA),191.0,Belgium
17.0,FW,DE KETELAERE Charles,Charles Marc S,DE KETELAERE,DE KETELAERE,2001-03-10,Atalanta Bergamo (ITA),192.0,Belgium
18.0,DF,SEYS Joaquin,Joaquin Ronny,SEYS,SEYS,2005-03-28,Club Brugge (BEL),178.0,Belgium
19.0,MF,MOREIRA Diego,Diego Manuel J,DA SILVA MOREIRA,MOREIRA,2004-08-06,RC Strasbourg (FRA),179.0,Belgium
20.0,MF,VANAKEN Hans,Hans,VANAKEN,VANAKEN,1992-08-24,Club Brugge (BEL),195.0,Belgium
21.0,DF,CASTAGNE Timothy,Timothy,CASTAGNE,CASTAGNE,1995-12-05,Fulham FC (ENG),185.0,Belgium
22.0,MF,SAELEMAEKERS Alexis,Alexis Jesse M,SAELEMAEKERS,SAELEMAEKERS,1999-06-27,AC Milan (ITA),180.0,Belgium
23.0,MF,RASKIN Nicolas,Nicolas Thierry Y,RASKIN,RASKIN,2001-02-23,Rangers FC (SCO),178.0,Belgium
24.0,MF,ONANA Amadou,Amadou Ba Z,MVOM ONANA,ONANA,2001-08-16,Aston Villa FC (ENG),192.0,Belgium
25.0,DF,NGOY Nathan,Nathan,NGOY,NGOY,2003-06-10,Lille OSC (FRA),183.0,Belgium
26.0,FW,FERNANDEZ-PARDO Matias,Matias,FERNANDEZ-PARDO,FERNANDEZ-PARDO,2005-02-03,Lille OSC (FRA),188.0,Belgium
13.5,Head coach,Unknown,Rudi José,GARCIA,Unknown,Unknown,Unknown,185.80769230769232,France
