#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,LIVAKOVIC Dominik,Dominik,LIVAKOVIĆ,LIVAKOVIĆ,1995-01-09,GNK Dinamo Zagreb (CRO),188.0,Croatia
2.0,DF,STANISIC Josip,Josip,STANIŠIĆ,STANIŠIĆ,2000-04-02,FC Bayern München (GER),186.0,Croatia
3.0,DF,PONGRACIC Marin,Marin,PONGRAČIĆ,PONGRAČIĆ,1997-09-11,ACF Fiorentina (ITA),193.0,Croatia
4.0,DF,GVARDIOL Josko,Joško,GVARDIOL,GVARDIOL,2002-01-23,Manchester City FC (ENG),185.0,Croatia
5.0,DF,CALETA-CAR Duje,Duje,ĆALETA-CAR,ĆALETA-CAR,1996-09-17,Real Sociedad (ESP),193.0,Croatia
6.0,DF,SUTALO Josip,Josip,ŠUTALO,ŠUTALO,2000-02-28,AFC Ajax (NED),185.0,Croatia
7.0,MF,MORO Nikola,Nikola,MORO,MORO,1998-03-12,Bologna FC (ITA),183.0,Croatia
8.0,MF,KOVACIC Mateo,Mateo,KOVAČIĆ,KOVAČIĆ,1994-05-06,Manchester City FC (ENG),178.0,Croatia
9.0,FW,KRAMARIC Andrej,Andrej,KRAMARIĆ,KRAMARIĆ,1991-06-19,TSG Hoffenheim (GER),177.0,Croatia
10.0,MF,MODRIC Luka,Luka,MODRIĆ,MODRIĆ,1985-09-09,AC Milan (ITA),172.0,Croatia
11.0,FW,BUDIMIR Ante,Ante,BUDIMIR,BUDIMIR,1991-07-22,CA Osasuna (ESP),190.0,Croatia
12.0,GK,PANDUR Ivor,Ivor,PANDUR,PANDUR,2000-03-25,Hull City FC (ENG),187.0,Croatia
13.0,MF,VLASIC Nikola,Nikola,VLAŠIĆ,VLAŠIĆ,1997-10-04,Torino FC (ITA),179.0,Croatia
14.0,FW,PERISIC Ivan,Ivan,PERIŠIĆ,PERIŠIĆ,1989-02-02,PSV Eindhoven (NED),186.0,Croatia
15.0,MF,PASALIC Mario,Mario,PAŠALIĆ,PAŠALIĆ,1995-02-09,Atalanta Bergamo (ITA),188.0,Croatia
16.0,MF,BATURINA Martin,Martin,BATURINA,BATURINA,2003-02-16,Como (ITA),172.0,Croatia
17.0,MF,SUCIC Petar,Petar,SUČIĆ,P. SUČIĆ,2003-10-25,FC Internazionale Milano (ITA),183.0,Croatia
18.0,DF,JAKIC Kristijan,Kristijan,JAKIĆ,JAKIĆ,1997-05-14,FC Augsburg (GER),181.0,Croatia
19.0,MF,FRUK Toni,Toni,FRUK,FRUK,2001-03-09,HNK Rijeka (CRO),177.0,Croatia
20.0,FW,MATANOVIC Igor,Igor,MATANOVIĆ,MATANOVIĆ,2003-03-31,SC Freiburg (GER),194.0,Croatia
21.0,MF,SUCIC Luka,Luka,SUČIĆ,SUČIĆ,2002-09-08,Real Sociedad (ESP),185.0,Croatia
22.0,DF,VUSKOVIC Luka,Luka,VUŠKOVIĆ,VUŠKOVIĆ,2007-02-24,Hamburger SV (GER),193.0,Croatia
23.0,GK,KOTARSKI Dominik,Dominik,KOTARSKI,KOTARSKI,2000-02-10,FC København (DEN),190.0,Croatia
24.0,FW,PASALIC Marco,Marco,PAŠALIĆ,M. PAŠALIĆ,2000-09-14,Orlando City SC (USA),177.0,Croatia
25.0,DF,ERLIC Martin,Martin,ERLIĆ,ERLIĆ,1998-01-24,FC Midtjylland (DEN),192.0,Croatia
26.0,FW,MUSA Petar,Petar,MUSA,MUSA,1998-03-04,FC Dallas (USA),190.0,Croatia
13.5,Head coach,Unknown,Zlatko,DALIĆ,Unknown,Unknown,Unknown,184.76923076923077,Croatia
