#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,RANGEL Raul,José Raúl,RANGEL AGUILAR,R. RANGEL,2000-02-25,CD Guadalajara (MEX),190.0,Mexico
2.0,DF,SANCHEZ Jorge,Jorge Eduardo,SÁNCHEZ RAMOS,J. SÁNCHEZ,1997-12-10,PAOK Saloniki (GRE),176.0,Mexico
3.0,DF,MONTES Cesar,César Jasib,MONTES CASTRO,C. MONTES,1997-02-24,FC Lokomotiv Moscow (RUS),191.0,Mexico
4.0,DF,ALVAREZ Edson,Edson Omar,ÁLVAREZ VELÁZQUEZ,E. ÁLVAREZ,1997-10-24,Fenerbahçe SK (TUR),180.0,Mexico
5.0,DF,VASQUEZ Johan,Johan Felipe,VÁSQUEZ IBARRA,J. VÁSQUEZ,1998-10-22,Genoa CFC (ITA),182.0,Mexico
6.0,MF,LIRA Erik,Erik Antonio,LIRA MÉNDEZ,E. LIRA,2000-05-08,CF Cruz Azul (MEX),172.0,Mexico
7.0,MF,ROMO Luis,Luis Francisco,ROMO BARRÓN,L. ROMO,1995-06-05,CD Guadalajara (MEX),183.0,Mexico
8.0,MF,FIDALGO Alvaro,Álvaro,FIDALGO FERNÁNDEZ,FIDALGO,1997-04-09,Real Betis (ESP),175.0,Mexico
9.0,FW,JIMENEZ Raul,Raúl Alonso,JIMÉNEZ RODRÍGUEZ,RAÚL,1991-05-05,Fulham FC (ENG),188.0,Mexico
10.0,FW,VEGA Alexis,Ernesto Alexis,VEGA ROJAS,A. VEGA,1997-11-25,Deportivo Toluca FC (MEX),175.0,Mexico
11.0,FW,GIMENEZ Santiago,Santiago Tomás,GIMENEZ,S. GIMENEZ,2001-04-18,AC Milan (ITA),180.0,Mexico
12.0,GK,ACEVEDO Carlos,Carlos,ACEVEDO LÓPEZ,C. ACEVEDO,1996-04-19,Club Santos Laguna (MEX),185.0,Mexico
13.0,GK,OCHOA Guillermo,Francisco Guillermo,OCHOA MAGAÑA,G. OCHOA,1985-07-13,AEL Limassol (CYP),185.0,Mexico
14.0,FW,GONZALEZ Armando,Armando,GONZÁLEZ ALBA,A. GONZÁLEZ,2003-04-20,CD Guadalajara (MEX),182.0,Mexico
15.0,DF,REYES Israel,Israel,REYES ROMERO,I. REYES,2000-05-23,Club América (MEX),181.0,Mexico
16.0,FW,QUINONES Julian,Julián Andrés,QUIÑONES QUIÑONES,J. QUIÑONES,1997-03-24,Al Qadsiah FC (KSA),177.0,Mexico
17.0,MF,PINEDA Orbelin,Orbelín,PINEDA ALVARADO,ORBELÍN,1996-03-24,AEK Athens (GRE),169.0,Mexico
18.0,MF,VARGAS Obed,Obed Goméz,VARGAS,O. VARGAS,2005-08-05,Atlético De Madrid (ESP),175.0,Mexico
19.0,MF,MORA Gilberto,Gilberto Rafael,MORA ZAMBRANO,G. MORA,2008-10-14,Club Tijuana (MEX),175.0,Mexico
20.0,DF,CHAVEZ Mateo,Mateo,CHÁVEZ GARCÍA,M. CHÁVEZ,2004-05-12,AZ Alkmaar (NED),178.0,Mexico
21.0,FW,HUERTA Cesar,César Saúl,HUERTA VALERA,C. HUERTA,2000-12-03,RSC Anderlecht (BEL),171.0,Mexico
22.0,FW,MARTINEZ Guillermo,Guillermo,MARTÍNEZ AYALA,G. MARTÍNEZ,1995-03-15,Pumas UNAM (MEX),191.0,Mexico
23.0,DF,GALLARDO Jesus,Jesús Daniel,GALLARDO VASCONCELOS,J. GALLARDO,1994-08-15,Deportivo Toluca FC (MEX),174.0,Mexico
24.0,MF,CHAVEZ Luis,Luis Gerardo,CHÁVEZ MAGALLÓN,L. CHÁVEZ,1996-01-15,FC Dynamo Moscow (RUS),178.0,Mexico
25.0,FW,ALVARADO Roberto,Roberto Carlos,ALVARADO HERNÁNDEZ,R. ALVARADO,1998-09-07,CD Guadalajara (MEX),176.0,Mexico
26.0,MF,GUTIERREZ Brian,Brian,GUTIÉRREZ,B. GUTIÉRREZ,2003-06-17,CD Guadalajara (MEX),178.0,Mexico
13.5,Head coach,Unknown,Javier,AGUIRRE ONAINDIA,Unknown,Unknown,Unknown,179.5,Mexico
