#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,FERNANDEZ Gatito,Roberto Junior,FERNANDEZ TORRES,FERNANDEZ,1988-03-29,Cerro Porteño (PAR),191.0,Paraguay
2.0,DF,VELAZQUEZ Gustavo,Víctor Gustavo,VELÁZQUEZ RAMOS,VELAZQUEZ,1991-04-17,Cerro Porteño (PAR),189.0,Paraguay
3.0,DF,ALDERETE Omar,Omar Federico,ALDERETE FERNÁNDEZ,ALDERETE,1996-12-26,Sunderland AFC (ENG),190.0,Paraguay
4.0,DF,CACERES Juan Jose,Juan Jose,CACERES,CACERES,2000-06-01,FC Dynamo Moscow (RUS),187.0,Paraguay
5.0,DF,BALBUENA Fabian,Fabián Cornelio,BALBUENA GONZÁLEZ,BALBUENA,1991-08-23,Grêmio FBPA (BRA),188.0,Paraguay
6.0,DF,ALONSO Junior,Júnior Osmar Ignacio,ALONSO MUJICA,ALONSO,1993-02-09,Atlético Mineiro (BRA),184.0,Paraguay
7.0,MF,SOSA Ramon,Ramón,SOSA ACOSTA,SOSA,1999-08-31,SE Palmeiras (BRA),178.0,Paraguay
8.0,MF,GOMEZ Diego,Diego Alexander,GOMEZ AMARILLA,D. GOMEZ,2003-03-27,Brighton & Hove Albion FC (ENG),183.0,Paraguay
9.0,FW,SANABRIA Antonio,Arnaldo Antonio,SANABRIA AYALA,SANABRIA,1996-03-04,US Cremonese (ITA),180.0,Paraguay
10.0,MF,ALMIRON Miguel,Miguel Angel,ALMIRÓN REJALA,M. ALMIRON,1994-02-10,Atlanta United FC (USA),178.0,Paraguay
11.0,MF,MAURICIO,Mauricio,MAGALHÃES PRADO,MAURICIO,2001-06-22,SE Palmeiras (BRA),175.0,Paraguay
12.0,GK,GILL Orlando,Orlando Daniel,GILL NOLDIN,O. GILL,2000-06-11,CA San Lorenzo (ARG),190.0,Paraguay
13.0,DF,CANALE Jose,Jose Maria,CANALE DOMINGUEZ,CANALE,1996-07-20,CA Lanús (ARG),192.0,Paraguay
14.0,MF,CUBAS Andres,Adrián Andrés,CUBAS,CUBAS,1996-05-11,Vancouver Whitecaps FC (CAN),166.0,Paraguay
15.0,DF,GOMEZ Gustavo,Gustavo Raul,GÓMEZ PORTILLO,G. GOMEZ,1993-05-06,SE Palmeiras (BRA),179.0,Paraguay
16.0,MF,BOBADILLA Damian,Damián Josue,BOBADILLA BENITEZ,BOBADILLA,2001-07-11,São Paulo FC (BRA),180.0,Paraguay
17.0,FW,ROMERO GAMARRA Alejandro,Alejandro Sebastian,ROMERO GAMARRA,R. GAMARRA,1995-01-11,Al Ain FC (UAE),165.0,Paraguay
18.0,FW,ARCE Alex,Alex Adrian,ARCE BARRIOS,ARCE,1995-06-16,CS Independiente Rivadavia (ARG),188.0,Paraguay
19.0,FW,ENCISO Julio,Julio Cesar,ENCISO ESPINOLA,ENCISO,2004-01-23,RC Strasbourg (FRA),168.0,Paraguay
20.0,MF,OJEDA Braian,Braian Oscar,OJEDA RODRIGUEZ,OJEDA,2000-06-27,Orlando City SC (USA),173.0,Paraguay
21.0,FW,AVALOS Gabriel,Gabriel,AVALOS STUMPFS,AVALOS,1990-10-12,CA Independiente (ARG),185.0,Paraguay
22.0,GK,OLVEIRA Gaston,Gastón Hernán,OLVEIRA ECHEVERRI A,OLVEIRA,1993-04-21,Club Olimpia (PAR),191.0,Paraguay
23.0,MF,GALARZA Matias,Matias,GALARZA FONDA,GALARZA,2002-02-11,Atlanta United FC (USA),175.0,Paraguay
24.0,MF,CABALLERO Gustavo,Gustavo Ruben,CABALLERO GONZALEZ,CABALLERO,2001-09-21,Portsmouth FC (ENG),189.0,Paraguay
25.0,FW,PITTA Isidro,Isidro Miguel,PITTA SALDIVAR,PITTA,1999-08-14,Red Bull Bragantino (BRA),185.0,Paraguay
26.0,DF,MAIDANA Alexandro,Alexandro,MAIDANA MENDIETA,MAIDANA,2005-07-26,CA Talleres (ARG),173.0,Paraguay
13.5,Head coach,Unknown,Gustavo Julio,ALFARO,Unknown,Unknown,Unknown,181.6153846153846,Argentina
