#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,DIOGO COSTA,Diogo,MEIRELES DA COSTA,DIOGO COSTA,1999-09-19,FC Porto (POR),188.0,Portugal
2.0,DF,NELSON SEMEDO,Nélson,CABRAL SEMEDO,N. SEMEDO,1993-11-16,Fenerbahçe SK (TUR),179.0,Portugal
3.0,DF,RUBEN DIAS,Rúben,DOS SANTOS GATO ALVES DIAS,RÚBEN DIAS,1997-05-14,Manchester City FC (ENG),187.0,Portugal
4.0,DF,TOMAS ARAUJO,Tomás,LEMOS ARAÚJO,TOMÁS A.,2002-05-16,SL Benfica (POR),187.0,Portugal
5.0,DF,DIOGO DALOT,José Diogo,DALOT TEIXEIRA,DALOT,1999-03-18,Manchester United FC (ENG),184.0,Portugal
6.0,MF,MATHEUS NUNES,Matheus Luiz,NUNES,MATHEUS N.,1998-08-27,Manchester City FC (ENG),183.0,Portugal
7.0,FW,CRISTIANO RONALDO,Cristiano Ronaldo,DOS SANTOS AVEIRO,RONALDO,1985-02-05,Al Nassr FC (KSA),185.0,Portugal
8.0,MF,BRUNO FERNANDES,Bruno Miguel,BORGES FERNANDES,B. FERNANDES,1994-09-08,Manchester United FC (ENG),183.0,Portugal
9.0,FW,GONCALO RAMOS,Gonçalo,MATIAS RAMOS,G. RAMOS,2001-06-20,Paris Saint-Germain (FRA),185.0,Portugal
10.0,MF,BERNARDO SILVA,Bernardo,MOTA VEIGA DE CARVALHO E SILVA,BERNARDO,1994-08-10,Manchester City FC (ENG),173.0,Portugal
11.0,FW,JOAO FELI X,João,FÉLI X SEQUEIRA,JOÃO FÉLI X,1999-11-10,Al Nassr FC (KSA),179.0,Portugal
12.0,GK,JOSE SA,José Pedro,MALHEIRO DE SÁ,JOSÉ SÁ,1993-01-17,Wolverhampton Wanderers FC (ENG),192.0,Portugal
13.0,DF,RENATO VEIGA,Renato,DA PALMA VEIGA,RENATO VEIGA,2003-07-29,Villarreal CF (ESP),188.0,Portugal
14.0,DF,GONCALO INACIO,Gonçalo,BERNARDO INÁCIO,G. INÁCIO,2001-08-25,Sporting CP (POR),185.0,Portugal
15.0,MF,JOAO NEVES,João Pedro,GONÇALVES NEVES,JOÃO NEVES,2004-09-27,Paris Saint-Germain (FRA),171.0,Portugal
16.0,FW,FRANCISCO TRINCAO,Francisco António,MACHADO MOTA DE CASTRO TRINCÃO,TRINCÃO,1999-12-29,Sporting CP (POR),184.0,Portugal
17.0,FW,RAFAEL LEAO,Rafael Alexandre,DA CONCEIÇÃO LEÃO,RAFA LEÃO,1999-06-10,AC Milan (ITA),188.0,Portugal
18.0,FW,PEDRO NETO,Pedro,LOMBA NETO,NETO,2000-03-09,Chelsea FC (ENG),174.0,Portugal
19.0,FW,GONCALO GUEDES,Gonçalo Manuel,GANCHINHO GUEDES,G. GUEDES,1996-11-29,Real Sociedad (ESP),179.0,Portugal
20.0,DF,JOAO CANCELO,João Pedro,CAVACO CANCELO,JOÃO CANCELO,1994-05-27,FC Barcelona (ESP),173.0,Portugal
21.0,MF,RUBEN NEVES,Rúben Diogo,DA SILVA NEVES,R. NEVES,1997-03-13,Al Hilal SC (KSA),183.0,Portugal
22.0,GK,RUI SILVA,Rui Tiago,DANTAS DA SILVA,RUI SILVA,1994-02-07,Sporting CP (POR),191.0,Portugal
23.0,MF,VITINHA,Vitor,MACHADO FERREIRA,VITINHA,2000-02-13,Paris Saint-Germain (FRA),170.0,Portugal
24.0,DF,SAMU COSTA,Samuel,DE ALMEIDA COSTA,SAMÚ,2000-11-27,RCD Mallorca (ESP),185.0,Portugal
25.0,DF,NUNO MENDES,Nuno Alexandre,TAVARES MENDES,N. MENDES,2002-06-19,Paris Saint-Germain (FRA),177.0,Portugal
26.0,FW,FRANCISCO CONCEICAO,Francisco,FERNANDES DA CONCEIÇÃO,F. CONCEIÇÃO,2002-12-14,Juventus FC (ITA),166.0,Portugal
13.5,Head coach,Unknown,Roberto,MARTÍNEZ MONTOLIU,Unknown,Unknown,Unknown,181.5,Spain
