#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,GUNN Angus,Angus Fraser James,GUNN,GUNN,1996-01-22,Nottingham Forest FC (ENG),196.0,Scotland
2.0,DF,HICKEY Aaron,Aaron Buchanan,HICKEY,HICKEY,2002-06-10,Brentford FC (ENG),185.0,Scotland
3.0,DF,ROBERTSON Andy,Andrew Henry,ROBERTSON,ROBERTSON,1994-03-11,Liverpool FC (ENG),178.0,Scotland
4.0,MF,McTOMINAY Scott,Scott Francis,MCTOMINAY,MCTOMINAY,1996-12-08,SSC Napoli (ITA),193.0,Scotland
5.0,DF,HANLEY Grant,Grant Campbell,HANLEY,HANLEY,1991-11-20,Hibernian FC (SCO),188.0,Scotland
6.0,DF,TIERNEY Kieran,Kieran,TIERNEY,TIERNEY,1997-06-05,Celtic FC (SCO),180.0,Scotland
7.0,MF,McGINN John,John,MCGINN,MCGINN,1994-10-18,Aston Villa FC (ENG),178.0,Scotland
8.0,MF,FLETCHER Tyler,Tyler Robert,FLETCHER,FLETCHER,2007-03-19,Manchester United FC (ENG),183.0,Scotland
9.0,FW,DYKES Lyndon,Lyndon John,DYKES,DYKES,1995-10-07,Charlton Athletic FC (ENG),188.0,Scotland
10.0,FW,ADAMS Che,Che Sac Everton Fred,ADAMS,ADAMS,1996-07-13,Torino FC (ITA),175.0,Scotland
11.0,MF,CHRISTIE Ryan,Ryan,CHRISTIE,CHRISTIE,1995-02-22,AFC Bournemouth (ENG),178.0,Scotland
12.0,GK,KELLY Liam,Liam Patrick,KELLY,KELLY,1996-01-23,Rangers FC (SCO),184.0,Scotland
13.0,DF,HENDRY Jack,Jack William,HENDRY,HENDRY,1995-05-07,Al Ettifaq FC (KSA),192.0,Scotland
14.0,FW,STEWART Ross,Ross Cameron,STEWART,STEWART,1996-07-11,Southampton FC (ENG),188.0,Scotland
15.0,DF,SOUTTAR John,John Francis,SOUTTAR,SOUTTAR,1996-09-25,Rangers FC (SCO),186.0,Scotland
16.0,DF,HYAM Dominic,Dominic John,HYAM,HYAM,1995-12-20,Wrexham AFC (WAL),188.0,Scotland
17.0,FW,GANNON-DOAK Ben,Ben Gannon,DOAK,GANNON DOAK,2005-11-11,AFC Bournemouth (ENG),173.0,Scotland
18.0,FW,HIRST George,George David Eric,HIRST,HIRST,1999-02-15,Ipswich Town FC (ENG),191.0,Scotland
19.0,MF,FERGUSON Lewis,Lewis,FERGUSON,FERGUSON,1999-08-24,Bologna FC (ITA),181.0,Scotland
20.0,FW,SHANKLAND Lawrence,Lawrence,SHANKLAND,SHANKLAND,1995-08-10,Heart Of Midlothian FC (SCO),185.0,Scotland
21.0,GK,GORDON Craig,Craig Sinclair,GORDON,GORDON,1982-12-31,Heart Of Midlothian FC (SCO),193.0,Scotland
22.0,DF,PATTERSON Nathan,Nathan Kenneth,PATTERSON,PATTERSON,2001-10-16,Everton FC (ENG),183.0,Scotland
23.0,MF,McLEAN Kenny,Kenneth,MCLEAN,MCLEAN,1992-01-08,Norwich City FC (ENG),183.0,Scotland
24.0,DF,RALSTON Anthony,Anthony,RALSTON,RALSTON,1998-11-16,Celtic FC (SCO),178.0,Scotland
25.0,FW,CURTIS Findlay,Findlay Kenneth,CURTIS,CURTIS,2006-06-09,Kilmarnock FC (SCO),180.0,Scotland
26.0,DF,McKENNA Scott,Scott Fraser,MCKENNA,MCKENNA,1996-11-12,GNK Dinamo Zagreb (CRO),189.0,Scotland
13.5,Head coach,Unknown,Stephen,CLARKE,Unknown,Unknown,Unknown,184.46153846153845,Scotland
