#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,DIOUF Yehvann,Yehvann Djibril Victor,DIOUF,Y. DIOUF,1999-11-16,OGC Nice (FRA),188.0,Senegal
2.0,DF,SARR Mamadou,Mamadou,SARR,SARR,2005-08-29,Chelsea FC (ENG),194.0,Senegal
3.0,DF,KOULIBALY Kalidou,Kalidou,KOULIBALY,KOULIBALY,1991-06-20,Al Hilal SC (KSA),186.0,Senegal
4.0,DF,SECK Abdoulaye,Abdoulaye,SECK,SECK,1992-06-04,Maccabi Haifa FC (ISR),192.0,Senegal
5.0,MF,GUEYE Idrissa Gana,Idrissa Gana,GUEYE,GANA,1989-09-26,Everton FC (ENG),174.0,Senegal
6.0,MF,CISS Pathe,Ismaila Pathe,CISS,P.I. CISS,1994-03-16,Rayo Vallecano (ESP),186.0,Senegal
7.0,FW,DIAO Assane,Assane,DIAO,DIAO,2005-09-07,Como (ITA),185.0,Senegal
8.0,MF,CAMARA Lamine,Lamine,CAMARA,LAMINE,2004-01-01,AS Monaco (FRA),174.0,Senegal
9.0,FW,DIENG Bamba,Cheikh Ahmadou Bamba Mbacke,DIENG,B. DIENG,2000-03-23,FC Lorient (FRA),178.0,Senegal
10.0,FW,MANE Sadio,Sadio,MANÉ,MANÉ,1992-04-10,Al Nassr FC (KSA),175.0,Senegal
11.0,FW,JACKSON Nicolas,Nicolas,JACKSON,JACKSON,2001-06-20,FC Bayern München (GER),187.0,Senegal
12.0,FW,NDIAYE Cherif,Pape Cherif,NDIAYE,CHERIF,1996-01-23,Samsunspor (TUR),190.0,Senegal
13.0,FW,NDIAYE Iliman,Iliman Cheikh Baroy,NDIAYE,NDIAYE,2000-03-06,Everton FC (ENG),180.0,Senegal
14.0,DF,JAKOBS Ismail,Ismail Joshua,JAKOBS,JAKOBS,1999-08-17,Galatasaray SK (TUR),184.0,Senegal
15.0,DF,DIATTA Krepin,Krépin,DIATTA,KRÉPIN,1999-02-25,AS Monaco (FRA),173.0,Senegal
16.0,GK,MENDY Edouard,Edouard Osoque,MENDY,MENDY,1992-03-01,Al Ahli FC (KSA),194.0,Senegal
17.0,MF,SARR Pape Matar,Pape Matar,SARR,P.M. SARR,2002-09-14,Tottenham Hotspur FC (ENG),185.0,Senegal
18.0,FW,SARR Ismaila,Ismaila,SARR,SARR,1998-02-25,Crystal Palace FC (ENG),185.0,Senegal
19.0,DF,NI AKHATE Moussa,Moussa,NI AKHATÉ,NI AKHATE,1996-03-08,Olympique Lyonnais (FRA),190.0,Senegal
20.0,FW,MBAYE Ibrahim,Ibrahim,MBAYE,MBAYE,2008-01-24,Paris Saint-Germain (FRA),175.0,Senegal
21.0,MF,DIARRA Habib,Mouhamadou Habib Mbacke,DIARRA,H. DIARRA,2004-01-03,Sunderland AFC (ENG),178.0,Senegal
22.0,MF,NDIAYE Bara Sapoko,Bara Sapoko,NDIAYE,BARA,2007-12-31,FC Bayern München (GER),180.0,Senegal
23.0,GK,DIAW Mory,Mory,DIAW,DIAW,1993-06-22,Le Havre AC (FRA),197.0,Senegal
24.0,DF,MENDY Antoine,Antoine Alpha,MENDY,A. MENDY,2004-05-27,OGC Nice (FRA),187.0,Senegal
25.0,DF,DIOUF El Hadji Malick,El Hadji Malick,DIOUF,DIOUF,2004-12-29,West Ham United FC (ENG),177.0,Senegal
26.0,MF,GUEYE Pape,Pape Alassane,GUEYE,GUEYE,1999-01-24,Villarreal CF (ESP),189.0,Senegal
13.5,Head coach,Unknown,Pape Bouna,THIAW,Unknown,Unknown,Unknown,183.96153846153845,Senegal
