#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,WIDELL ZETTERSTROM Jacob,Jacob Mikael,WIDELL ZETTERSTRÖM,ZETTERSTRÖM,1998-07-11,Derby County FC (ENG),197.0,Sweden
2.0,DF,LAGERBIELKE Gustaf,Gustaf Johan,LAGERBIELKE,LAGERBIELKE,2000-04-10,SC Braga (POR),193.0,Sweden
3.0,DF,LINDELOF Victor,Victor Jörgen,NILSSON LINDELÖF,LINDELÖF,1994-07-17,Aston Villa FC (ENG),187.0,Sweden
4.0,DF,HIEN Isak,Isak Malcolm Kwaku,HIEN,HIEN,1999-01-13,Atalanta Bergamo (ITA),191.0,Sweden
5.0,DF,GUDMUNDSSON Gabriel,Gabriel Johan,GUDMUNDSSON,GUDMUNDSSON,1999-04-29,Leeds United FC (ENG),181.0,Sweden
6.0,DF,JOHANSSON Herman,Herman Nils,JOHANSSON,H. JOHANSSON,1997-10-16,FC Dallas (USA),190.0,Sweden
7.0,MF,BERGVALL Lucas,Lucas Erik Holger,BERGVALL,BERGVALL,2006-02-02,Tottenham Hotspur FC (ENG),187.0,Sweden
8.0,DF,SVENSSON Daniel,Daniel Jonathan,SVENSSON,SVENSSON,2002-02-12,Borussia Dortmund (GER),183.0,Sweden
9.0,FW,ISAK Alexander,Alexander,ISAK,ISAK,1999-09-21,Liverpool FC (ENG),190.0,Sweden
10.0,MF,NYGREN Benjamin,Erik Benjamin,NYGREN,NYGREN,2001-07-08,Celtic FC (SCO),187.0,Sweden
11.0,FW,ELANGA Anthony,Anthony David Junior,ELANGA,ELANGA,2002-04-27,Newcastle United FC (ENG),178.0,Sweden
12.0,GK,JOHANSSON Viktor,Tobias Viktor,JOHANSSON,V. JOHANSSON,1998-09-14,Stoke City FC (ENG),187.0,Sweden
13.0,MF,SEMA Ken,Ken,SEMA,SEMA,1993-09-30,Pafos FC (CYP),180.0,Sweden
14.0,DF,EKDAL Hjalmar,Hjalmar,EKDAL,EKDAL,1998-10-21,Burnley FC (ENG),187.0,Sweden
15.0,DF,STARFELT Carl,Carl Anders Theodor,STARFELT,STARFELT,1995-06-01,RC Celta Vigo (ESP),185.0,Sweden
16.0,MF,KARLSTROM Jesper,Jesper Kewe,KARLSTRÖM,KARLSTRÖM,1995-06-21,Udinese (ITA),182.0,Sweden
17.0,FW,GYOKERES Viktor,Viktor Einar,GYÖKERES,GYÖKERES,1998-06-04,Arsenal FC (ENG),189.0,Sweden
18.0,MF,AYARI Yasin,Yasin,AYARI,AYARI,2003-10-06,Brighton & Hove Albion FC (ENG),172.0,Sweden
19.0,MF,SVANBERG Mattias,Mattias Olof,SVANBERG,SVANBERG,1999-01-05,VfL Wolfsburg (GER),186.0,Sweden
20.0,DF,SMITH Eric,Eric Anders,SMITH,SMITH,1997-01-08,FC St. Pauli (GER),192.0,Sweden
21.0,DF,BERNHARDSSON Alexander,Alexander Olof,BERNHARDSSON,BERNHARDSSON,1998-09-08,Holstein Kiel (GER),184.0,Sweden
22.0,MF,ZENELI Besfort,Besfort,ZENELI,ZENELI,2002-11-21,Royale Union Saint-Gilloise (BEL),187.0,Sweden
23.0,GK,NORDFELDT Kristoffer,Bo Kristoffer,NORDFELDT,NORDFELDT,1989-06-23,AIK Stockholm (SWE),190.0,Sweden
24.0,DF,STROUD Elliot,Elliot Karl,STROUD,STROUD,2002-06-22,Mjällby AIF (SWE),185.0,Sweden
25.0,FW,NILSSON Gustaf,Håkan Gustaf,NILSSON,NILSSON,1997-05-23,Club Brugge (BEL),197.0,Sweden
26.0,FW,ALI Taha,Taha Abdi,ALI,ALI,1998-07-01,Malmö FF (SWE),174.0,Sweden
13.5,Head coach,Unknown,Graham Stephen,POTTER,Unknown,Unknown,Unknown,186.19230769230768,England
