#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,CHAMAKH Mouhib,Abdelmouhib,CHAMAKH,CHAMAKH,2001-08-25,Club Africain (TUN),189.0,Tunisia
2.0,DF,ABDI Ali,Ali,ELABDI,ABDI,1993-12-20,OGC Nice (FRA),177.0,Tunisia
3.0,DF,TALBI Montassar,Montassar Omar,TALBI,TALBI,1998-05-26,FC Lorient (FRA),190.0,Tunisia
4.0,DF,REKIK Omar,Omar,REKIK,REKIK,2001-12-20,NK Maribor (SVN),188.0,Tunisia
5.0,DF,AROUS Adam,Adam,AROUS,AROUS,2004-07-17,Kasımpaşa SK (TUR),188.0,Tunisia
6.0,DF,BRONN Dylan,Dylan Daniel Mahmoud,BRONN,BRONN,1995-06-19,Servette FC (SUI),186.0,Tunisia
7.0,FW,ACHOURI Elias,Mohamed Elyes,ACHOURI,ACHOURI,1999-02-10,FC København (DEN),187.0,Tunisia
8.0,FW,SAAD Elias,Elias,SAAD,SAAD,1999-12-27,Hannover 96 (GER),185.0,Tunisia
9.0,FW,MASTOURI Hazem,Hazem,MASTOURI,MASTOURI,1997-06-18,FC Dynamo Makhachkala (RUS),191.0,Tunisia
10.0,MF,MEJBRI Hannibal,Hannibal,MEJBRI,MEJBRI,2003-01-21,Burnley FC (ENG),177.0,Tunisia
11.0,MF,GHARBI Ismael,Ismael Seifallah,GHARBI,GHARBI,2004-04-10,FC Augsburg (GER),180.0,Tunisia
12.0,DF,BEN OUANES Mortadha,Ahmed Mortadha,BEN OUANES,BEN OUANES,1994-07-02,Kasımpaşa SK (TUR),188.0,Tunisia
13.0,MF,KHEDIRA Rani,Rani,KHEDIRA,KHEDIRA,1994-01-27,1 . FC Union Berlin (GER),188.0,Tunisia
14.0,MF,AYARI Khalil,Khalil,AYARI,AYARI,2005-02-02,Paris Saint-Germain (FRA),174.0,Tunisia
15.0,MF,HADJ MAHMOUD Mohamed,Mohamed,BELHADJ MAHMOUD,BELHADJ MAHMOUD,2000-04-24,FC Lugano (SUI),179.0,Tunisia
16.0,GK,DAHMEN Aymen,Aymen,DAHMEN,DAHMEN,1997-01-28,CS Sfaxien (TUN),188.0,Tunisia
17.0,MF,SKHIRI Ellyes,Ellyes Joris,SKHIRI,SKHIRI,1995-05-10,Eintracht Frankfurt (GER),185.0,Tunisia
18.0,FW,ELLOUMI Rayan,Rayan,ELLOUMI,ELLOUMI,2007-09-17,Vancouver Whitecaps FC (CAN),180.0,Tunisia
19.0,FW,CHAOUAT Firas,Firas,CHAOUAT,CHAOUAT,1996-05-08,Club Africain (TUN),185.0,Tunisia
20.0,DF,VALERY Yan,Yan,VALERY,VALERY,1999-02-22,BSC Young Boys (SUI),181.0,Tunisia
21.0,DF,BEN HMIDA Mohamed Amine,Mohamed Amine,BEN HMIDA,BEN HMIDA,1995-12-15,Espérance De Tunisie (TUN),181.0,Tunisia
22.0,GK,BEN HESSEN Sabri,Sabri,BEN HSAN,BEN HSAN,1996-06-13,Étoile Du Sahel (TUN),189.0,Tunisia
23.0,DF,NEFFATI Moutaz,Moutaz,NEFFATI,NEFFATI,2004-09-04,IFK Norrköping FK (SWE),182.0,Tunisia
24.0,DF,CHIKHAOUI Raed,Raed,CHIKHAOUI,CHIKHAOUI,2004-06-09,US Monastir (TUN),191.0,Tunisia
25.0,MF,SLIMANE Anis,Anis,BEN SLIMANE,SLIMANE,2001-03-16,Norwich City FC (ENG),188.0,Tunisia
26.0,MF,TOUNEKTI Sebastian,Sebastian,TOUNEKTI,TOUNEKTI,2002-07-13,Celtic FC (SCO),182.0,Tunisia
13.5,Head coach,Unknown,Sabri,LAMOUCHI,Unknown,Unknown,Unknown,184.57692307692307,France
