#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,YUSUPOV Utkir,Utkir,YUSUPOV,YUSUPOV,1991-01-04,PFC Navbahor Namangan (UZB),185.0,Uzbekistan
2.0,DF,KHUSANOV Abdukodir,Abdukodir,KHUSANOV,KHUSANOV,2004-02-29,Manchester City FC (ENG),186.0,Uzbekistan
3.0,DF,ALIJONOV Khojiakbar,Khojiakbar,ALIJONOV,ALIJONOV,1997-04-19,Pakhtakor Tashkent FK (UZB),180.0,Uzbekistan
4.0,DF,SAYFIEV Farrukh,Farrukh,SAYFIEV,SAYFIEV,1991-01-17,FK Neftchi Farg'ona (UZB),183.0,Uzbekistan
5.0,DF,ASHURMATOV Rustam,Rustamjon,ASHURMATOV,ASHURMATOV,1996-07-07,Esteghlal Tehran FC (IRN),186.0,Uzbekistan
6.0,MF,MOZGOVOY Akmal,Akmal,MOZGOVOY,MOZGOVOY,1999-04-02,Pakhtakor Tashkent FK (UZB),180.0,Uzbekistan
7.0,MF,SHUKUROV Otabek,Otabek,SHUKUROV,SHUKUROV,1996-06-22,Baniyas Club (UAE),183.0,Uzbekistan
8.0,MF,ISKANDEROV Jamshid,Jamshid,ISKANDEROV,ISKANDEROV,1993-10-16,FK Neftchi Farg'ona (UZB),171.0,Uzbekistan
9.0,MF,XAMROBEKOV Odiljon,Odiljon,XAMROBEKOV,XAMROBEKOV,1996-02-13,Tractor Sazi Tabriz FC (IRN),180.0,Uzbekistan
10.0,MF,MASHARIPOV Jaloliddin,Jaloliddin,MASHARIPOV,MASHARIPOV,1993-09-01,Esteghlal Tehran FC (IRN),174.0,Uzbekistan
11.0,MF,URUNOV Oston,Oston,URUNOV,URUNOV,2000-12-19,Persepolis FC (IRN),181.0,Uzbekistan
12.0,GK,NEMATOV Abduvohid,Abduvakhid,NEMATOV,NEMATOV,2001-03-20,Nasaf Qarshi FC (UZB),182.0,Uzbekistan
13.0,DF,NASRULLAEV Sherzod,Sherzod,NASRULLAEV,NASRULLAEV,1998-07-23,Pakhtakor Tashkent FK (UZB),183.0,Uzbekistan
14.0,FW,SHOMURODOV Eldor,Eldor,SHOMURODOV,SHOMURODOV,1995-06-29,Başakşehir FK (TUR),190.0,Uzbekistan
15.0,DF,ESHMURODOV Umar,Umarbek,ESHMURODOV,ESHMURODOV,1992-11-30,Nasaf Qarshi FC (UZB),185.0,Uzbekistan
16.0,GK,ERGASHEV Botirali,Botirali,ERGASHEV,ERGASHEV,1995-06-23,FK Neftchi Farg'ona (UZB),189.0,Uzbekistan
17.0,MF,KHAMDAMOV Dostonbek,Dostonbek,KHAMDAMOV,KHAMDAMOV,1996-07-24,Pakhtakor Tashkent FK (UZB),178.0,Uzbekistan
18.0,DF,ABDULLAEV Abdulla,Abdulla,ABDULLAEV,ABDULLAEV,1997-09-01,Dibba FC (UAE),181.0,Uzbekistan
19.0,MF,GANIEV Azizjon,Azizjon,GANIEV,GANIEV,1998-02-22,Al Bataeh Club (UAE),178.0,Uzbekistan
20.0,FW,AMONOV Azizbek,Azizbek,AMONOV,AMONOV,1997-10-30,FK Dinamo Samarkand (UZB),181.0,Uzbekistan
21.0,FW,SERGEEV Igor,Igor,SERGEEV,SERGEEV,1993-04-30,Persepolis FC (IRN),185.0,Uzbekistan
22.0,MF,FAYZULLAEV Abbosbek,Abbosbek,FAYZULLAEV,FAYZULLAEV,2003-10-03,Başakşehir FK (TUR),167.0,Uzbekistan
23.0,MF,ESANOV Sherzod,Sherzod,ESANOV,ESANOV,2003-02-01,FK Buxoro (UZB),190.0,Uzbekistan
24.0,DF,KARIMOV Behruzjon,Behruzjon,KARIMOV,KARIMOV,2007-08-07,Surkhon FK (UZB),172.0,Uzbekistan
25.0,DF,ULMASALIYEV Avazbek,Avazbek,ULMASALIYEV,ULMASALIYEV,2000-03-27,OKMK FK (UZB),187.0,Uzbekistan
26.0,DF,UROZOV Jakhongir,Jakhongir,UROZOV,UROZOV,2004-01-18,FK Dinamo Samarkand (UZB),190.0,Uzbekistan
13.5,Head coach,Unknown,Fabio,CANNAVARO,Unknown,Unknown,Unknown,181.80769230769232,Italy
