conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version
11342,India,Government of India,141,Unknown,GNLA,1163,Unknown,1,Garoland,2012,1,0,3,1997-05-29,1,2012-11-15,1,1,2012-12-21,,750,Unknown,Unknown,Unknown,750,3,25.1
11342,India,Government of India,141,Unknown,GNLA,1163,Unknown,1,Garoland,2014,1,0,3,1997-05-29,1,2014-07-01,1,1,2014-11-27,,750,Unknown,Unknown,Unknown,750,3,25.1
11343,"Egypt, Israel",Government of Egypt,117,Unknown,Government of Israel,121,Unknown,1,Suez/Sinai,1967,2,1,2,1967-06-05,1,1967-06-05,1,1,1967-06-10,,651,Unknown,666,Unknown,"651, 666",2,25.1
11343,"Egypt, Israel",Government of Egypt,117,Unknown,Government of Israel,121,Unknown,1,Suez/Sinai,1969,1,1,2,1967-06-05,1,1969-03-06,1,0,Unknown,,651,Unknown,666,Unknown,"651, 666",2,25.1
11343,"Egypt, Israel",Government of Egypt,117,Unknown,Government of Israel,121,Unknown,1,Suez/Sinai,1970,1,1,2,1967-06-05,1,1969-03-06,1,1,1970-08-07,,651,Unknown,666,Unknown,"651, 666",2,25.1
11343,"Egypt, Israel",Government of Egypt,117,Unknown,Government of Israel,121,Unknown,1,Suez/Sinai,1973,2,1,2,1967-06-05,1,1973-10-06,1,1,1973-10-24,,651,Unknown,666,Unknown,"651, 666",2,25.1
11344,Sudan,Government of Sudan,112,Unknown,Republic of South Sudan,1129,Unknown,1,Abyei,2011,1,0,3,2011-05-01,1,2011-05-19,1,1,2011-06-15,,625,Unknown,Unknown,Unknown,625,4,25.1
11345,South Sudan,Government of South Sudan,113,Unknown,"SSDM/A, SSLM/A","1108, 1124",Unknown,2,Unknown,2011,1,0,3,2011-08-20,2,2011-08-20,2,0,Unknown,,626,Unknown,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Unknown,SSLM/A,1124,Unknown,2,Unknown,2012,1,0,3,2011-08-20,2,2011-08-20,2,0,Unknown,,626,Unknown,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Unknown,"SPLM/A - IO, SSDM/A - Cobra Faction","3563, 4226",Unknown,2,Unknown,2013,1,1,3,2011-08-20,2,2011-08-20,2,0,Unknown,,626,Unknown,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,Unknown,2,Unknown,2014,2,1,4,2011-08-20,2,2011-08-20,2,0,Unknown,,626,500,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,Unknown,2,Unknown,2015,1,1,4,2011-08-20,2,2011-08-20,2,0,Unknown,,626,500,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Unknown,SPLM/A - IO,4226,Unknown,2,Unknown,2016,1,1,3,2011-08-20,2,2011-08-20,2,0,Unknown,,626,Unknown,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Unknown,SPLM/A - IO,4226,Unknown,2,Unknown,2017,1,1,3,2011-08-20,2,2011-08-20,2,0,Unknown,,626,Unknown,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Unknown,SPLM/A - IO,4226,Unknown,2,Unknown,2018,1,1,3,2011-08-20,2,2011-08-20,2,0,Unknown,,626,Unknown,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Unknown,NAS,6794,Unknown,2,Unknown,2019,1,1,3,2011-08-20,2,2011-08-20,2,0,Unknown,,626,Unknown,Unknown,Unknown,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Unknown,NAS,6794,Unknown,2,Unknown,2020,1,1,3,2011-08-20,2,2011-08-20,2,0,Unknown,,626,Unknown,Unknown,Unknown,626,4,25.1
