country_code,year,intensity,conflict_type
AFG,1978,2.0,UCDP Armed Conflict
AFG,1979,2.0,UCDP Armed Conflict
AFG,1980,2.0,UCDP Armed Conflict
AFG,1981,2.0,UCDP Armed Conflict
AFG,1982,2.0,UCDP Armed Conflict
AFG,1983,2.0,UCDP Armed Conflict
AFG,1984,2.0,UCDP Armed Conflict
AFG,1985,2.0,UCDP Armed Conflict
AFG,1986,2.0,UCDP Armed Conflict
AFG,1987,2.0,UCDP Armed Conflict
AFG,1988,2.0,UCDP Armed Conflict
AFG,1989,2.0,UCDP Armed Conflict
AFG,1990,2.0,UCDP Armed Conflict
AFG,1991,2.0,UCDP Armed Conflict
AFG,1992,2.0,UCDP Armed Conflict
AFG,1993,2.0,UCDP Armed Conflict
AFG,1994,2.0,UCDP Armed Conflict
AFG,1995,2.0,UCDP Armed Conflict
AFG,1996,2.0,UCDP Armed Conflict
AFG,1997,2.0,UCDP Armed Conflict
AFG,1998,2.0,UCDP Armed Conflict
AFG,1999,2.0,UCDP Armed Conflict
AFG,2000,2.0,UCDP Armed Conflict
AFG,2001,2.0,UCDP Armed Conflict
AFG,2002,1.0,UCDP Armed Conflict
AFG,2003,1.0,UCDP Armed Conflict
AFG,2004,1.0,UCDP Armed Conflict
AFG,2005,2.0,UCDP Armed Conflict
AFG,2006,2.0,UCDP Armed Conflict
AFG,2007,2.0,UCDP Armed Conflict
AFG,2008,2.0,UCDP Armed Conflict
AFG,2009,2.0,UCDP Armed Conflict
AFG,2010,2.0,UCDP Armed Conflict
AFG,2011,2.0,UCDP Armed Conflict
AFG,2012,2.0,UCDP Armed Conflict
AFG,2013,2.0,UCDP Armed Conflict
AFG,2014,2.0,UCDP Armed Conflict
AFG,2015,2.0,UCDP Armed Conflict
AFG,2016,2.0,UCDP Armed Conflict
AFG,2017,2.0,UCDP Armed Conflict
AFG,2018,2.0,UCDP Armed Conflict
AFG,2019,2.0,UCDP Armed Conflict
AFG,2020,2.0,UCDP Armed Conflict
AFG,2021,2.0,UCDP Armed Conflict
AFG,2022,1.0,UCDP Armed Conflict
AFG,2023,1.0,UCDP Armed Conflict
AFG,2024,1.0,UCDP Armed Conflict
AGO,1961,2.0,UCDP Armed Conflict
AGO,1962,2.0,UCDP Armed Conflict
AGO,1963,1.0,UCDP Armed Conflict
AGO,1964,1.0,UCDP Armed Conflict
AGO,1965,1.0,UCDP Armed Conflict
AGO,1966,1.0,UCDP Armed Conflict
AGO,1967,1.0,UCDP Armed Conflict
AGO,1968,1.0,UCDP Armed Conflict
AGO,1969,1.0,UCDP Armed Conflict
AGO,1970,1.0,UCDP Armed Conflict
AGO,1971,1.0,UCDP Armed Conflict
AGO,1972,1.0,UCDP Armed Conflict
AGO,1973,1.0,UCDP Armed Conflict
AGO,1974,1.0,UCDP Armed Conflict
AGO,1975,2.0,UCDP Armed Conflict
AGO,1976,2.0,UCDP Armed Conflict
AGO,1977,2.0,UCDP Armed Conflict
AGO,1978,2.0,UCDP Armed Conflict
AGO,1979,2.0,UCDP Armed Conflict
AGO,1980,2.0,UCDP Armed Conflict
AGO,1981,2.0,UCDP Armed Conflict
AGO,1982,2.0,UCDP Armed Conflict
AGO,1983,2.0,UCDP Armed Conflict
AGO,1984,2.0,UCDP Armed Conflict
AGO,1985,2.0,UCDP Armed Conflict
AGO,1986,2.0,UCDP Armed Conflict
AGO,1987,2.0,UCDP Armed Conflict
AGO,1988,2.0,UCDP Armed Conflict
AGO,1989,2.0,UCDP Armed Conflict
AGO,1990,2.0,UCDP Armed Conflict
AGO,1991,1.0,UCDP Armed Conflict
AGO,1992,2.0,UCDP Armed Conflict
AGO,1993,2.0,UCDP Armed Conflict
AGO,1994,2.0,UCDP Armed Conflict
AGO,1995,1.0,UCDP Armed Conflict
AGO,1996,1.0,UCDP Armed Conflict
AGO,1997,1.0,UCDP Armed Conflict
AGO,1998,2.0,UCDP Armed Conflict
AGO,1999,2.0,UCDP Armed Conflict
AGO,2000,2.0,UCDP Armed Conflict
AGO,2001,2.0,UCDP Armed Conflict
AGO,2002,1.0,UCDP Armed Conflict
AGO,2003,1.0,UCDP Armed Conflict
AGO,2004,1.0,UCDP Armed Conflict
AGO,2007,1.0,UCDP Armed Conflict
AGO,2009,1.0,UCDP Armed Conflict
AGO,2016,1.0,UCDP Armed Conflict
AGO,2017,1.0,UCDP Armed Conflict
AGO,2019,1.0,UCDP Armed Conflict
AGO,2020,1.0,UCDP Armed Conflict
AGO,2022,1.0,UCDP Armed Conflict
AGO,2024,1.0,UCDP Armed Conflict
ALB,1946,1.0,UCDP Armed Conflict
ARG,1955,1.0,UCDP Armed Conflict
ARG,1963,1.0,UCDP Armed Conflict
ARG,1974,1.0,UCDP Armed Conflict
ARG,1975,1.0,UCDP Armed Conflict
ARG,1976,1.0,UCDP Armed Conflict
ARG,1977,1.0,UCDP Armed Conflict
ARG,1982,1.0,UCDP Armed Conflict
AUS,2003,2.0,UCDP Armed Conflict
AZE,1991,1.0,UCDP Armed Conflict
AZE,1992,2.0,UCDP Armed Conflict
AZE,1993,2.0,UCDP Armed Conflict
AZE,1994,2.0,UCDP Armed Conflict
AZE,1995,1.0,UCDP Armed Conflict
AZE,1997,1.0,UCDP Armed Conflict
AZE,1998,1.0,UCDP Armed Conflict
AZE,2005,1.0,UCDP Armed Conflict
AZE,2008,1.0,UCDP Armed Conflict
AZE,2012,1.0,UCDP Armed Conflict
AZE,2014,1.0,UCDP Armed Conflict
AZE,2015,1.0,UCDP Armed Conflict
AZE,2016,1.0,UCDP Armed Conflict
AZE,2017,1.0,UCDP Armed Conflict
AZE,2020,2.0,UCDP Armed Conflict
AZE,2021,1.0,UCDP Armed Conflict
AZE,2022,1.0,UCDP Armed Conflict
AZE,2023,1.0,UCDP Armed Conflict
BDI,1965,1.0,UCDP Armed Conflict
BDI,1991,1.0,UCDP Armed Conflict
BDI,1992,1.0,UCDP Armed Conflict
BDI,1994,1.0,UCDP Armed Conflict
BDI,1995,1.0,UCDP Armed Conflict
BDI,1996,1.0,UCDP Armed Conflict
BDI,1997,2.0,UCDP Armed Conflict
BDI,1998,1.0,UCDP Armed Conflict
BDI,1999,1.0,UCDP Armed Conflict
BDI,2000,2.0,UCDP Armed Conflict
BDI,2001,2.0,UCDP Armed Conflict
BDI,2002,2.0,UCDP Armed Conflict
BDI,2003,1.0,UCDP Armed Conflict
BDI,2004,1.0,UCDP Armed Conflict
BDI,2005,1.0,UCDP Armed Conflict
BDI,2006,1.0,UCDP Armed Conflict
BDI,2008,1.0,UCDP Armed Conflict
