country_code,pdi,idv,mas,uai,lto,ivr,happiness_score
AFG,,,,,,,1.721
ALB,,,,,61.0,15.0,5.304
AND,,,,,,65.0,
ARE,,,,,,,6.733
ARG,49.0,46.0,56.0,86.0,20.0,62.0,6.188
ARM,,,,,61.0,,5.455
AUS,38.0,90.0,61.0,51.0,21.0,71.0,7.057
AUT,11.0,55.0,79.0,70.0,60.0,63.0,6.905
AZE,,,,,61.0,22.0,4.893
BEL,65.0,75.0,54.0,94.0,82.0,57.0,6.894
BEN,,,,,,,4.377
BFA,,,,,27.0,18.0,4.548
BGD,80.0,20.0,55.0,60.0,47.0,20.0,3.886
BGR,70.0,30.0,40.0,85.0,69.0,16.0,5.463
BHR,,,,,,,5.959
BIH,,,,,,,5.877
BLR,,,,,81.0,15.0,
BOL,,,,,,,5.784
BRA,69.0,38.0,49.0,76.0,44.0,59.0,6.272
BWA,,,,,,,3.383
CAN,39.0,80.0,52.0,48.0,36.0,68.0,6.9
CHE,34.0,68.0,70.0,58.0,74.0,66.0,7.06
CHL,63.0,23.0,28.0,86.0,31.0,68.0,6.36
CHN,80.0,20.0,66.0,30.0,87.0,24.0,5.973
CIV,,,,,,,5.08
CMR,,,,,,,4.874
COL,67.0,13.0,64.0,80.0,13.0,83.0,5.695
COM,,,,,,,3.566
CRI,35.0,15.0,21.0,86.0,,,6.955
CYP,,,,,,70.0,6.068
CZE,,,,,,,6.822
DEU,35.0,67.0,66.0,65.0,83.0,40.0,6.719
DNK,18.0,74.0,16.0,23.0,35.0,70.0,7.583
DOM,,,,,,,5.823
DZA,,,,,26.0,32.0,5.364
ECU,78.0,8.0,63.0,67.0,,,5.725
EGY,,,,,7.0,4.0,3.977
ESP,57.0,51.0,42.0,86.0,48.0,44.0,6.421
EST,40.0,60.0,30.0,60.0,82.0,16.0,6.448
ETH,,,,,,46.0,3.861
FIN,33.0,63.0,26.0,59.0,38.0,57.0,7.741
FRA,68.0,71.0,43.0,86.0,63.0,48.0,6.609
GAB,,,,,,,5.106
GBR,,,,,,,6.749
GEO,,,,,38.0,32.0,5.185
GHA,,,,,4.0,72.0,4.289
GIN,,,,,,,5.023
GMB,,,,,,,4.485
GRC,60.0,35.0,57.0,112.0,45.0,50.0,5.934
GTM,95.0,6.0,37.0,101.0,,,6.287
HKG,68.0,25.0,57.0,29.0,61.0,17.0,
HND,,,,,,,5.968
HRV,73.0,33.0,40.0,80.0,58.0,33.0,5.942
HUN,46.0,80.0,88.0,82.0,58.0,31.0,6.017
IDN,78.0,14.0,46.0,48.0,62.0,38.0,5.568
IND,77.0,48.0,56.0,40.0,51.0,26.0,4.054
IRL,28.0,70.0,68.0,35.0,24.0,65.0,6.838
IRN,58.0,41.0,43.0,59.0,14.0,40.0,4.923
IRQ,,,,,25.0,17.0,5.166
ISL,,,,,28.0,67.0,7.525
ISR,13.0,54.0,47.0,81.0,38.0,,7.341
ITA,50.0,76.0,70.0,75.0,61.0,30.0,6.324
JAM,45.0,39.0,68.0,13.0,,,5.842
JOR,,,,,16.0,43.0,4.186
JPN,54.0,46.0,95.0,92.0,88.0,42.0,6.06
KAZ,,,,,,,6.188
KEN,,,,,,,4.47
KGZ,,,,,,,5.714
KHM,,,,,,,4.341
KOR,,,,,,,6.058
KWT,,,,,,,6.951
LAO,,,,,,,5.139
LBN,,,,,,,2.707
LBR,,,,,,,4.269
LBY,,,,,,,5.866
LKA,,,,,,,3.898
LSO,,,,,,,3.186
LTU,42.0,60.0,19.0,65.0,82.0,16.0,6.818
LUX,40.0,60.0,50.0,70.0,64.0,56.0,7.122
LVA,44.0,70.0,9.0,63.0,69.0,13.0,6.234
MAR,70.0,46.0,53.0,68.0,14.0,25.0,4.795
MDA,,,,,71.0,19.0,5.816
MDG,,,,,,,4.228
MEX,81.0,30.0,69.0,82.0,24.0,97.0,6.678
MKD,,,,,,,5.369
MLI,,,,,20.0,43.0,4.232
MLT,56.0,59.0,47.0,96.0,47.0,66.0,6.346
MMR,,,,,,,4.354
MNE,,,,,75.0,20.0,5.707
MNG,,,,,,,5.696
MOZ,,,,,,,5.216
MRT,,,,,,,4.505
MUS,,,,,,,5.816
MWI,,,,,,,3.421
MYS,104.0,26.0,50.0,36.0,41.0,57.0,5.975
