#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,RYAN Mathew,Mathew David,RYAN,RYAN,1992-04-08,Levante UD (ESP),184.0,Australia
2.0,DF,DEGENEK Milos,Milos,DEGENEK,DEGENEK,1994-04-28,APOEL FC (CYP),187.0,Australia
3.0,DF,CIRCATI Alessandro,Alessandro,CIRCATI,CIRCATI,2003-10-10,Parma (ITA),191.0,Australia
4.0,DF,ITALIANO Jacob,Jacob Michael,ITALIANO,ITALIANO,2001-07-30,Grazer AK (AUT),177.0,Australia
5.0,DF,BOS Jordan,Jordan Jacob,BOS,BOS,2002-10-29,Feyenoord Rotterdam (NED),180.0,Australia
6.0,DF,GERIA Jason,Jason Kato,GERIA,GERIA,1993-05-10,Albirex Niigata (JPN),181.0,Australia
7.0,FW,LECKIE Mathew,Mathew Allan,LECKIE,LECKIE,1991-02-04,Melbourne City FC (AUS),181.0,Australia
8.0,MF,METCALFE Connor,Connor Isaac,METCALFE,METCALFE,1999-11-05,FC St. Pauli (GER),183.0,Australia
9.0,FW,TOURE Mohamed,Mohamed A,TOURE,TOURE,2004-03-26,Norwich City FC (ENG),186.0,Australia
10.0,FW,HRUSTIC Ajdin,Ajdin,HRUSTIC,HRUSTIC,1996-07-05,SC Heracles Almelo (NED),180.0,Australia
11.0,FW,MABIL Awer,Awer Bul,MABIL,MABIL,1995-09-15,CD Castellón (ESP),178.0,Australia
12.0,GK,IZZO Paul,Paul David,IZZO,IZZO,1995-01-06,Randers FC (DEN),184.0,Australia
13.0,MF,ONEILL Aiden,Aiden Connor,O'NEILL,O'NEILL,1998-07-04,New York City FC (USA),180.0,Australia
14.0,MF,DEVLIN Cameron,Cameron Peter,DEVLIN,DEVLIN,1998-06-07,Heart Of Midlothian FC (SCO),170.0,Australia
15.0,DF,TREWIN Kai,Kai Clifton,TREWIN,TREWIN,2001-05-18,New York City FC (USA),183.0,Australia
16.0,DF,BEHICH Aziz,Aziz,BEHICH,BEHICH,1990-12-16,Melbourne City FC (AUS),170.0,Australia
17.0,FW,IRANKUNDA Nestory,Nestory,IRANKUNDA,IRANKUNDA,2006-02-09,Watford FC (ENG),165.0,Australia
18.0,GK,BEACH Patrick,Patrick Thomas,BEACH,BEACH,2003-08-06,Melbourne City FC (AUS),189.0,Australia
19.0,DF,SOUTTAR Harry,Harry James,SOUTTAR,SOUTTAR,1998-10-22,Leicester City FC (ENG),198.0,Australia
20.0,FW,VOLPATO Cristian,Cristian,VOLPATO,VOLPATO,2003-11-15,US Sassuolo (ITA),187.0,Australia
21.0,DF,BURGESS Cameron,Cameron Robert,BURGESS,BURGESS,1995-10-21,Swansea City AFC (WAL),194.0,Australia
22.0,MF,IRVINE Jackson,Jackson Alexander,IRVINE,IRVINE,1993-03-07,FC St. Pauli (GER),189.0,Australia
23.0,FW,VELUPILLAY Nishan,Nishan Matthew,VELUPILLAY,VELUPILLAY,2001-05-07,Melbourne Victory FC (AUS),181.0,Australia
24.0,MF,OKON-ENGSTLER Paul,Paul Michael Junior,OKON-ENGSTLER,OKON-ENGSTLER,2005-01-24,Sydney FC (AUS),185.0,Australia
25.0,DF,HERRINGTON Lucas,Lucas,HERRINGTON,HERRINGTON,2007-09-05,Colorado Rapids (USA),193.0,Australia
26.0,FW,YENGI Tete,Tete Owen,YENGI,YENGI,2000-11-28,FC Machida Zelvia (JPN),197.0,Australia
13.5,Head coach,Unknown,Tony,POPOVIC,Unknown,Unknown,Unknown,183.57692307692307,Australia
