#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,VASILJ Nikola,Nikola,VASILJ,VASILJ,1995-12-02,FC St. Pauli (GER),193.0,Bosnia and Herzegovina
2.0,DF,MUJAKIC Nihad,Nihad,MUJAKIC,MUJAKIĆ,1998-04-15,Gaziantep FK (TUR),189.0,Bosnia and Herzegovina
3.0,DF,HADZIKADUNIC Dennis,Dennis,HADŽIKADUNIĆ,HADŽIKADUNIĆ,1998-07-09,UC Sampdoria (ITA),191.0,Bosnia and Herzegovina
4.0,DF,MUHAREMOVIC Tarik,Tarik,MUHAREMOVIC,MUHAREMOVIĆ,2003-02-28,US Sassuolo (ITA),192.0,Bosnia and Herzegovina
5.0,DF,KOLASINAC Sead,Sead,KOLAŠINAC,KOLAŠINAC,1993-06-20,Atalanta Bergamo (ITA),183.0,Bosnia and Herzegovina
6.0,MF,TAHIROVIC Benjamin,Benjamin,TAHIROVIC,TAHIROVIĆ,2003-03-03,Brøndby IF (DEN),191.0,Bosnia and Herzegovina
7.0,DF,DEDIC Amar,Amar,DEDIC,DEDIĆ,2002-08-18,SL Benfica (POR),180.0,Bosnia and Herzegovina
8.0,MF,GIGOVIC Armin,Armin,GIGOVIC,GIGOVIĆ,2002-04-06,BSC Young Boys (SUI),187.0,Bosnia and Herzegovina
9.0,FW,BAZDAR Samed,Samed,BAŽDAR,BAŽDAR,2004-01-31,Jagiellonia Białystok (POL),189.0,Bosnia and Herzegovina
10.0,FW,DEMIROVIC Ermedin,Ermedin,DEMIROVIĆ,DEMIROVIĆ,1998-03-25,VfB Stuttgart (GER),185.0,Bosnia and Herzegovina
11.0,FW,DZEKO Edin,Edin,DŽEKO,DŽEKO,1986-03-17,FC Schalke 04 (GER),192.0,Bosnia and Herzegovina
12.0,GK,JURKAS Mladen,Mladen,JURKAS,JURKAS,2007-10-07,FK Borac Banja Luka (BIH),193.0,Bosnia and Herzegovina
13.0,MF,BASIC Ivan,Ivan,BASIC,BAŠIĆ,2002-04-30,FC Astana (KAZ),178.0,Bosnia and Herzegovina
14.0,MF,SUNJIC Ivan,Ivan,ŠUNJIĆ,ŠUNJIĆ,1996-10-09,Pafos FC (CYP),183.0,Bosnia and Herzegovina
15.0,MF,MEMIC Amar,Amar,MEMIĆ,MEMIĆ,2001-01-20,FC Viktoria Plzeň (CZE),176.0,Bosnia and Herzegovina
16.0,MF,HADZIAHMETOVIC Amir,Amir,HADŽIAHMETOVIĆ,HADŽIAHMETOVIĆ,1997-03-08,Hull City FC (ENG),179.0,Bosnia and Herzegovina
17.0,MF,BURNIC Dzenis,Dženis,BURNIĆ,BURNIĆ,1998-05-22,Karlsruher SC (GER),182.0,Bosnia and Herzegovina
18.0,DF,KATIC Nikola,Nikola,KATIC,KATIĆ,1996-10-10,FC Schalke 04 (GER),194.0,Bosnia and Herzegovina
19.0,FW,ALAJBEGOVIC Kerim,Kerim,ALAJBEGOVIC,ALAJBEGOVIĆ,2007-09-21,FC Red Bull Salzburg (AUT),186.0,Bosnia and Herzegovina
20.0,FW,BAJRAKTAREVIC Esmir,Esmir,BAJRAKTAREVIC,BAJRAKTAREVIĆ,2005-03-10,PSV Eindhoven (NED),175.0,Bosnia and Herzegovina
21.0,DF,RADELJIC Stjepan,Stjepan,RADELJIC,RADELJI Ć,1997-09-05,HNK Rijeka (CRO),201.0,Bosnia and Herzegovina
22.0,GK,ZLOMISLIC Martin,Martin,ZLOMISLIC,ZLOMISLIĆ,1998-08-16,HNK Rijeka (CRO),189.0,Bosnia and Herzegovina
23.0,FW,TABAKOVIC Haris,Haris,TABAKOVIC,TABAKOVIĆ,1994-06-20,Borussia Mönchengladbach (GER),196.0,Bosnia and Herzegovina
24.0,DF,CELIK Nidal,Nidal,CELIK,ČELIK,2006-07-17,RC Lens (FRA),192.0,Bosnia and Herzegovina
25.0,FW,LUKIC Jovo,Jovo,LUKIC,LUKIĆ,1998-11-28,Universitatea Cluj (ROU),190.0,Bosnia and Herzegovina
26.0,MF,MAHMIC Ermin,Ermin,MAHMIĆ,MAHMIĆ,2005-03-14,FC Slovan Liberec (CZE),182.0,Bosnia and Herzegovina
13.5,Head coach,Unknown,Sergej,BARBAREZ,Unknown,Unknown,Unknown,187.23076923076923,Bosnia And Herzegovina
