#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,ZIGI Lawrence Ati,Lawrence Ati,ZIGI,ZIGI,1996-11-29,FC St. Gallen (SUI),188.0,Ghana
2.0,DF,SEIDU Alidu,Alidu,SEIDU,SEIDU,2000-06-04,Stade Rennais FC (FRA),173.0,Ghana
3.0,MF,YIRENKYI Caleb,Caleb Marfo,YIRENKYI,CALEB,2006-01-15,FC Nordsjælland (DEN),182.0,Ghana
4.0,DF,ADJETEY Jonas,Jonas Adjei,ADJETEY,ADJETEY,2003-12-13,VfL Wolfsburg (GER),188.0,Ghana
5.0,MF,PARTEY Thomas,Thomas Teye,PARTEY,THOMAS,1993-06-13,Villarreal CF (ESP),185.0,Ghana
6.0,DF,MUMIN Abdul,Abdul Mumin,SULEMAN,SULEMAN,1998-06-06,Rayo Vallecano (ESP),188.0,Ghana
7.0,FW,ISSAHAKU Fatawu,Abdul Fatawu,ISSAHAKU,FATAWU,2004-03-08,Leicester City FC (ENG),177.0,Ghana
8.0,MF,SIBO Kwasi,Kwasi,SIBO,SIBO,1998-06-24,Real Oviedo (ESP),183.0,Ghana
9.0,FW,AYEW Jordan,Jordan Pierre,AYEW,AYEW,1991-09-11,Leicester City FC (ENG),182.0,Ghana
10.0,FW,THOMAS-ASANTE Brandon,Solomon Brandon Michael Clarke,THOMAS-ASANTE,ASANTE,1998-12-29,Coventry City FC (ENG),182.0,Ghana
11.0,MF,SEMENYO Antoine,Antoine Serlom,SEMENYO,SEMENYO,2000-01-07,Manchester City FC (ENG),185.0,Ghana
12.0,GK,ANANG Joseph,Joseph Tetteh,ANANG,ANANG,2000-06-08,St Patrick's Athletic FC (IRL),190.0,Ghana
13.0,FW,BAAH Christopher Bonsu,Christopher Bonsu,BAAH,BAAH,2004-12-14,Al Qadsiah FC (KSA),172.0,Ghana
14.0,DF,MENSAH Gideon,Gideon,MENSAH,MENSAH,1998-07-18,AJ Auxerre (FRA),178.0,Ghana
15.0,MF,OWUSU Elisha,Elisha,OWUSU,OWUSU,1997-11-07,AJ Auxerre (FRA),182.0,Ghana
16.0,GK,ASARE Benjamin,Benjamin,ASARE,ASARE,1992-07-13,Hearts Of Oak SC (GHA),188.0,Ghana
17.0,DF,RAHMAN Baba,Abdul Rahaman,BABA,BABA,1994-07-02,PAOK Saloniki (GRE),179.0,Ghana
18.0,DF,OPOKU Jerome,Jerome,OPOKU,OPOKU,1998-10-14,Başakşehir FK (TUR),197.0,Ghana
19.0,FW,WILLI AMS Inaki,Inaki,WILLI AMS ARTHUER,WILLI AMS,1994-06-15,Athletic Club (ESP),186.0,Ghana
20.0,MF,BOAKYE Augustine,Augustine,BOAKYE,BOAKYE,2000-11-03,AS Saint-Etienne (FRA),178.0,Ghana
21.0,DF,OPPONG Kojo Peprah,Kojo Peprah,OPPONG,PEPRAH,2004-06-04,OGC Nice (FRA),185.0,Ghana
22.0,FW,SULEMANA Kamaldeen,Kamal Deen,SULEMANA,KAMALDEEN,2002-02-15,Atalanta Bergamo (ITA),174.0,Ghana
23.0,DF,LUCKASSEN Derrick,Derrick,LUCKASSEN,LUCKASSEN,1995-07-03,Pafos FC (CYP),188.0,Ghana
24.0,FW,NUAMAH Ernest,Ernest Nuamah,APPI AH,NUAMAH,2003-11-01,Olympique Lyonnais (FRA),178.0,Ghana
25.0,FW,ADU Prince,Prince Kwabena,ADU,ADU,2003-09-23,FC Viktoria Plzeň (CZE),179.0,Ghana
26.0,DF,SENAYA Marvin,Marvin Elom,SENAYA,SENEYA,2001-01-28,AJ Auxerre (FRA),181.0,Ghana
13.5,Head coach,Unknown,Carlos Manuel,BRITO LEAL DE QUEIROZ,Unknown,Unknown,Unknown,182.6153846153846,Portugal
