#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,BEIRANVAND Alireza,Ali Reza,SAFARBEIRANVAND,BEIRANVAND,1992-09-21,Tractor Sazi Tabriz FC (IRN),195.0,Iran
2.0,DF,HARDANI Saleh,Saleh,HARDANI KHERAD,SALEH,1998-12-26,Esteghlal Tehran FC (IRN),176.0,Iran
3.0,DF,HAJISAFI Ehsan,Ehsan,HAJI SAFI,E. HAJISAFI,1990-02-25,Sepahan SC (IRN),178.0,Iran
4.0,DF,KHALILZADEH Shoja,Shojae,KHALILZADEH,SHOJA,1989-05-14,Tractor Sazi Tabriz FC (IRN),183.0,Iran
5.0,DF,MOHAMMADI Milad,Milad,MOHAMMADIKESHMARZI,M. MOHAMMADI,1993-09-29,Persepolis FC (IRN),175.0,Iran
6.0,MF,EZATOLAHI Saeid,Saeid,EZATOLAHI AFAGH,S. EZATOLAHI,1996-10-01,Shabab Al Ahli Club (UAE),189.0,Iran
7.0,MF,JAHANBAKHSH Alireza,Alireza,JAHANBAKHSH JIRANDEH,A. JAHANBAKHSH,1993-08-11,FCV Dender EH (BEL),180.0,Iran
8.0,MF,MOHEBBI Mohammad,Mohammad,MOHEBBI,M. MOHEBBI,1998-12-20,FC Rostov (RUS),187.0,Iran
9.0,FW,TAREMI Mehdi,Mehdi,TAREMI,TAREMI,1992-07-18,Olympiacos FC (GRE),187.0,Iran
10.0,FW,GHAYEDI Mehdi,Mehdi,GHAYEDI,MEHDI GHAYEDI,1998-12-05,Al Nasr SC (UAE),166.0,Iran
11.0,FW,ALIPOUR Ali,Ali,ALIPOURGHARA,A. ALIPOUR,1995-11-11,Persepolis FC (IRN),181.0,Iran
12.0,GK,NIAZMAND Payam,Seyedpayam,NIAZMAND,PAYAM,1995-04-06,Persepolis FC (IRN),193.0,Iran
13.0,DF,KANANI Hossein,Mohammadhossein,KANANI ZADEGAN,KANANI,1994-03-23,Persepolis FC (IRN),188.0,Iran
14.0,MF,GHODDOS Saman,Seyed Saman,GHODDOOS,GHODDOS,1993-09-06,Al Ittihad Kalba SCC (UAE),176.0,Iran
15.0,MF,CHESHMI Roozbeh,Roozbeh,CHESHMI,ROOZBEH,1993-07-24,Esteghlal Tehran FC (IRN),192.0,Iran
16.0,MF,TORABI Mehdi,Mahdi,TORABI,M. TORABI,1994-09-10,Tractor Sazi Tabriz FC (IRN),185.0,Iran
17.0,DF,YOUSEFI Arya,Arya,YOUSEFI,ARYA,2002-04-22,Sepahan SC (IRN),181.0,Iran
18.0,FW,HOSSEINZADEH Amirhossein,Amirhossein,HOSSEINZADEHTAZEHGHESHLAGH,AMIRHOSSEIN,2000-10-30,Tractor Sazi Tabriz FC (IRN),178.0,Iran
19.0,DF,NEMATI Ali,Ali,NEMATI,ALI,1996-02-08,Foolad Khuzestan FC (IRN),182.0,Iran
20.0,FW,MOGHANLOO Shahriyar,Shahriyar,MOGHANLOO,SHAHRIYAR,1994-12-21,Al Ittihad Kalba SCC (UAE),189.0,Iran
21.0,MF,GHORBANI Mohammad,Mohammad,GHORBANI,MOHAMMAD,2001-10-07,Al Wahda SC (UAE),190.0,Iran
22.0,GK,HOSSEINI Hossein,Seyedhossein,HOSSEINI,HOSSEINI,1992-06-30,Sepahan SC (IRN),189.0,Iran
23.0,DF,REZAEI AN Ramin,Ramin,REZAEI ANSEMESKANDI,RAMIN,1990-03-21,Foolad Khuzestan FC (IRN),184.0,Iran
24.0,FW,DARGAHI Dennis,Dennis,DARGAHI,DARGAHI,1997-01-09,Standard Liège (BEL),182.0,Iran
25.0,DF,IRI Danial,Danial,IRI,DANIAL,2003-10-26,Malavan Anzali FC (IRN),182.0,Iran
26.0,MF,RAZAGHINIA Amirmohammad,Amirmohammad,RAZAGHINIA,RAZAGH,2006-04-11,Esteghlal Tehran FC (IRN),187.0,Iran
13.5,Head coach,Unknown,Ardeshir,GHALEHNOY,Unknown,Unknown,Unknown,183.65384615384616,IR Iran
