#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,KIM Seunggyu,Seunggyu,KIM,SEUNGGYU,1990-09-30,FC Tokyo (JPN),187.0,Korea Republic
2.0,DF,LEE Hanbeom,Hanbeom,LEE,HANBEOM,2002-06-17,FC Midtjylland (DEN),188.0,Korea Republic
3.0,MF,LEE Gihyuk,Gihyuk,LEE,GIHYUK,2000-07-07,Gangwon FC (KOR),184.0,Korea Republic
4.0,DF,KIM Minjae,Minjae,KIM,MINJAE,1996-11-15,FC Bayern München (GER),190.0,Korea Republic
5.0,DF,KIM Taehyeon,Taehyeon,KIM,TAEHYEON,2000-09-17,Kashima Antlers (JPN),186.0,Korea Republic
6.0,MF,HWANG Inbeom,Inbeom,HWANG,INBEOM,1996-09-20,Feyenoord Rotterdam (NED),177.0,Korea Republic
7.0,FW,SON Heungmin,Heung Min,SON,HEUNGMIN,1992-07-08,LAFC (USA),183.0,Korea Republic
8.0,MF,PAIK Seungho,Seungho,PAIK,SEUNGHO,1997-03-17,Birmingham City FC (ENG),182.0,Korea Republic
9.0,FW,CHO Guesung,Guesung,CHO,GUESUNG,1998-01-25,FC Midtjylland (DEN),188.0,Korea Republic
10.0,MF,LEE Jaesung,Jae Sung,LEE,JAESUNG,1992-08-10,1 . FSV Mainz 05 (GER),180.0,Korea Republic
11.0,MF,HWANG Heechan,Hee Chan,HWANG,HEECHAN,1996-01-26,Wolverhampton Wanderers FC (ENG),177.0,Korea Republic
12.0,GK,SONG Bumkeun,Bumkeun,SONG,BUMKEUN,1997-10-15,Jeonbuk Hyundai Motors FC (KOR),196.0,Korea Republic
13.0,DF,LEE Taeseok,Taeseok,LEE,TAESEOK,2002-07-28,FK Austria Wien (AUT),174.0,Korea Republic
14.0,DF,CHO Wije,Wije,CHO,WIJE,2001-08-25,Jeonbuk Hyundai Motors FC (KOR),190.0,Korea Republic
15.0,DF,KIM Moonhwan,Moonhwan,KIM,MOONHWAN,1995-08-01,Daejeon Hana Citizen FC (KOR),173.0,Korea Republic
16.0,DF,PARK Jinseob,Jinseob,PARK,JINSEOB,1995-10-23,Zhejiang FC (CHN),183.0,Korea Republic
17.0,MF,BAE Junho,Junho,BAE,JUNHO,2003-08-21,Stoke City FC (ENG),180.0,Korea Republic
18.0,FW,OH Hyeongyu,Hyeongyu,OH,HYEONGYU,2001-04-12,Beşiktaş JK (TUR),183.0,Korea Republic
19.0,MF,LEE Kangin,Kangin,LEE,KANGIN,2001-02-19,Paris Saint-Germain (FRA),174.0,Korea Republic
20.0,MF,YANG Hyunjun,Hyunjun,YANG,HYUNJUN,2002-05-25,Celtic FC (SCO),179.0,Korea Republic
21.0,GK,JO Hyeonwoo,Hyeonwoo,JO,HYEONWOO,1991-09-25,Ulsan HD (KOR),189.0,Korea Republic
22.0,DF,SEOL Youngwoo,Youngwoo,SEOL,YOUNGWOO,1998-12-05,FK Crvena Zvezda (SRB),180.0,Korea Republic
23.0,DF,CASTROP Jens,Jens,CASTROP,JENS,2003-07-29,Borussia Mönchengladbach (GER),178.0,Korea Republic
24.0,MF,KIM Jingyu,Jingyu,KIM,JINGYU,1997-02-24,Jeonbuk Hyundai Motors FC (KOR),177.0,Korea Republic
25.0,MF,EOM Jisung,Jisung,EOM,JISUNG,2002-05-09,Swansea City AFC (WAL),177.0,Korea Republic
26.0,MF,LEE Donggyeong,Donggyeong,LEE,DONGGYEONG,1997-09-20,Ulsan HD (KOR),175.0,Korea Republic
13.5,Head coach,Unknown,Myung Bo,HONG,Unknown,Unknown,Unknown,181.92307692307693,Korea Republic
