#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,BOUNOU Yassine,Yassine,BOUNOU,BONO,1991-04-05,Al Hilal SC (KSA),192.0,Morocco
2.0,DF,HAKIMI Achraf,Achraf,HAKIMI,HAKIMI,1998-11-04,Paris Saint-Germain (FRA),180.0,Morocco
3.0,DF,MAZRAOUI Noussair,Noussair,MAZRAOUI,MAZRAOUI,1997-11-14,Manchester United FC (ENG),183.0,Morocco
4.0,MF,AMRABAT Sofyan,Sofyan,AMRABAT,AMRABAT,1996-08-21,Real Betis (ESP),185.0,Morocco
5.0,DF,AGUERD Nayef,Nayef,AGUERD,AGUERD,1996-03-30,Olympique Marseille (FRA),190.0,Morocco
6.0,MF,BOUADDI Ayyoub,Ayyoub,BOUADDI,BOUADDI,2007-10-02,Lille OSC (FRA),185.0,Morocco
7.0,MF,TALBI Chemsdine,Chemsdine,TALBI,TALBI,2005-05-09,Sunderland AFC (ENG),175.0,Morocco
8.0,MF,OUNAHI Azzedine,Azz-Eddine,OUNAHI,OUNAHI,2000-04-19,Girona FC (ESP),182.0,Morocco
9.0,FW,RAHIMI Soufiane,Soufiane,RAHIMI,RAHIMI,1996-06-02,Al Ain FC (UAE),180.0,Morocco
10.0,FW,DIAZ Brahim,Brahim,ABDELKADER DIAZ,BRAHIM,1999-08-03,Real Madrid C. F. (ESP),170.0,Morocco
11.0,MF,SAIBARI Ismael,Ismael,SAIBARI,SAIBARI,2001-01-28,PSV Eindhoven (NED),185.0,Morocco
12.0,GK,EL KAJOUI Munir,Monir,EL KAJOUI,EL KAJOUI,1989-05-10,RS Berkane (MAR),190.0,Morocco
13.0,DF,EL OUAHDI Zakaria,Zakaria,EL OUAHDI,EL OUAHDI,2001-12-31,KRC Genk (BEL),171.0,Morocco
14.0,DF,DIOP Issa,Issa Laye Lucas Jean,DIOP,ISSA,1997-01-09,Fulham FC (ENG),194.0,Morocco
15.0,MF,EL MOURABET Samir,Samir,EL MOURABET,EL MOURABET,2005-10-06,RC Strasbourg (FRA),187.0,Morocco
16.0,MF,YASSINE Gessime,Gessime Ben Youssef Mustapha,YASSINE,YASSINE,2005-11-22,RC Strasbourg (FRA),172.0,Morocco
17.0,FW,EZZALZOULI Abde,Abdessamad,EZZALZOULI,EZZALZOULI,2001-12-17,Real Betis (ESP),177.0,Morocco
18.0,DF,RIAD Chadi,Chadi,RIAD,RIAD,2003-06-17,Crystal Palace FC (ENG),186.0,Morocco
19.0,DF,BELAMMARI Youssef,Youssef,BELAMMARI,BELAMMARI,1998-09-20,Al Ahly FC (EGY),175.0,Morocco
20.0,FW,EL KAABI Ayoub,Ayoub,EL KAABI,EL KAABI,1993-06-25,Olympiacos FC (GRE),182.0,Morocco
21.0,FW,AMAIMOUNI Ayoube,Ayoube,AMAIMOUNI,AMAIMOUNI,2004-11-30,Eintracht Frankfurt (GER),179.0,Morocco
22.0,GK,TAGNAOUTI Ahmed Reda,Ahmed Reda,TAGNAOUTI,TAGNAOUTI,1996-04-05,ASFAR (MAR),194.0,Morocco
23.0,MF,EL KHANNOUSS Bilal,Bilal,EL KHANNOUSS,EL KHANNOUSS,2004-05-10,VfB Stuttgart (GER),180.0,Morocco
24.0,MF,EL AYNAOUI Neil,Neil Yoni,EL AYNAOUI,EL AYNAOUI,2001-07-02,AS Roma (ITA),185.0,Morocco
25.0,DF,HALHAL Redouane,Redouane,HALHAL,HALHAL,2003-03-05,KV Mechelen (BEL),189.0,Morocco
26.0,DF,SALAH EDDINE Anass,Anass,SALAH EDDINE,SALAH-EDDINE,2002-01-18,PSV Eindhoven (NED),181.0,Morocco
13.5,Head coach,Unknown,Mohamed,OUAHBI,Unknown,Unknown,Unknown,182.65384615384616,Morocco
