#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,MAHMOUD ABUNADA,Mahmoud Ibrahim M,ABUNADA,ABUNADA,2000-02-05,Al Rayyan SC (QAT),185.0,Qatar
2.0,DF,PEDRO MIGUEL,Pedro Miguel D D,CORREI A,PEDRO,1990-08-06,Al Sadd SC (QAT),180.0,Qatar
3.0,DF,LUCAS MENDES,Lucas Michel,MENDES,L.MENDES,1990-07-03,Al Wakrah SC (QAT),179.0,Qatar
4.0,DF,ISSA LAYE,Gueye,SEYDINAISSALAYE,GUEYE,1997-12-22,Al Arabi SC (QAT),178.0,Qatar
5.0,DF,JASSEM GABER,Jassem Gaber E,ABDULSALLAM,JASSEM,2002-02-20,Al Rayyan SC (QAT),181.0,Qatar
6.0,MF,ABDULAZIZ HATEM,Abdelaziz Hatim A,MOHAMED,A. AZIZ,1990-01-01,Al Rayyan SC (QAT),179.0,Qatar
7.0,FW,AHMED ALAAELDIN,Ahmed Alaaeldin B M,ABDELMOTAAL,ALAAELDIN,1993-01-31,Al Rayyan SC (QAT),179.0,Qatar
8.0,FW,EDMILSON JUNIOR,Edmilson Junior P,DASILVA,EDMILSON JR.,1994-08-19,Al Duhail SC (QAT),180.0,Qatar
9.0,FW,MOHAMMED MUNTARI,Mohammed,MUNTARI,MUNTARI,1993-12-20,Al Gharafa SC (QAT),192.0,Qatar
10.0,FW,HASSAN ALHAYDOS,Hasan Khalid H,ALHAYDOS,ALHAYDOS,1990-12-11,Al Sadd SC (QAT),174.0,Qatar
11.0,FW,AKRAM AFIF,Akram Hassan A Y,AFIF,AFIF,1996-11-18,Al Sadd SC (QAT),176.0,Qatar
12.0,MF,KARIM BOUDIAF,Karim,BOUDIAF,KARIM,1990-09-16,Al Duhail SC (QAT),190.0,Qatar
13.0,DF,AYOUB ALOUI,Ayoub Mohamed,ALOUI,AYOUB,2005-03-11,Al Gharafa SC (QAT),181.0,Qatar
14.0,DF,HOMAM AHMED,Homam Elamin M,AHMED,HOMAM,1999-08-25,Cultural Leonesa (ESP),188.0,Qatar
15.0,FW,YUSUF ABDURISAG,Yusuf Abdurisag,YUSUF,YUSUF,1999-08-06,Al Wakrah SC (QAT),171.0,Qatar
16.0,DF,BOUALEM KHOUKHI,Boualem,KHOUKHI,KHOUKHI,1990-07-09,Al Sadd SC (QAT),185.0,Qatar
17.0,MF,AHMED ALGANEHI,Ahmed Mohamed H K,ALGANEHI,A. ALGANEHI,2000-09-22,Al Gharafa SC (QAT),175.0,Qatar
18.0,DF,SULTAN ALBRAKE,Sultan Hussain M H,AL-BRAKE,SULTAN,1996-04-07,Al Duhail SC (QAT),178.0,Qatar
19.0,FW,ALMOEZ ALI,Almoez Ali Zainelabdeen M,ABDULLA,ALMOEZ,1996-08-19,Al Duhail SC (QAT),180.0,Qatar
20.0,MF,AHMED FATHY,Ahmed Fathy M,ABDOULLA,A. FATHY,1993-01-25,Al Arabi SC (QAT),171.0,Qatar
21.0,GK,SALAH ZAKARIA,Salah Zakaria M M,HASSAN,SALAH,1999-04-24,Al Duhail SC (QAT),186.0,Qatar
22.0,GK,MESHAAL BARSHAM,Meshaal Aissa M,BARSHAM,BARSHAM,1998-02-14,Al Sadd SC (QAT),180.0,Qatar
23.0,MF,ASSIM MADIBO,Assim Omer A,MADIBO,MADIBO,1996-10-22,Al Wakrah SC (QAT),168.0,Qatar
24.0,FW,TAHSIN JAMSHID,Tahsin Mohammad,JAMSHID,TAHSIN,2006-06-16,Al Duhail SC (QAT),166.0,Qatar
25.0,DF,ALHASHMI ALHUSSEIN,Alhashmi Alhussein A,MOHIALDIN,ALHASHMI,2003-08-15,Al Arabi SC (QAT),182.0,Qatar
26.0,FW,MOHAMED MANAI,Mohamed Naceur,MANAI,MANAI,2002-10-25,Al Shamal SC (QAT),180.0,Qatar
13.5,Head coach,Unknown,Julian,LOPETEGUI ARGOTE,Unknown,Unknown,Unknown,179.3846153846154,Spain
