#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,GUNOK Mert,Fehmi Mert,GÜNOK,MERT,1989-03-01,Fenerbahçe SK (TUR),196.0,Türkiye
2.0,DF,CELIK Zeki,Mehmet Zeki,ÇELIK,ZEKİ ÇELİK,1997-02-17,AS Roma (ITA),180.0,Türkiye
3.0,DF,DEMIRAL Merih,Merih,DEMİRAL,DEMİRAL,1998-03-05,Al Ahli FC (KSA),190.0,Türkiye
4.0,DF,SOYUNCU Caglar,Çağlar,SÖYÜNCÜ,ÇAĞLAR,1996-05-23,Fenerbahçe SK (TUR),185.0,Türkiye
5.0,MF,OZCAN Salih,Salih,ÖZCAN,ÖZCAN,1998-01-11,Borussia Dortmund (GER),182.0,Türkiye
6.0,MF,KOKCU Orkun,Orkun,KÖKÇÜ,ORKUN KÖKÇÜ,2000-12-29,Beşiktaş JK (TUR),175.0,Türkiye
7.0,FW,AKTURKOGLU Kerem,Muhammed Kerem,AKTÜRKOĞLU,AKTÜRKOĞLU,1998-10-21,Fenerbahçe SK (TUR),172.0,Türkiye
8.0,FW,GULER Arda,Arda,GÜLER,ARDA GÜLER,2005-02-25,Real Madrid C. F. (ESP),175.0,Türkiye
9.0,FW,GUL Deniz,Deniz Daniel,GÜL,DENİZ GÜL,2004-07-02,FC Porto (POR),192.0,Türkiye
10.0,MF,CALHANOGLU Hakan,Hakan,ÇALHANOĞLU,ÇALHANOĞLU,1994-02-08,FC Internazionale Milano (ITA),178.0,Türkiye
11.0,FW,YILDIZ Kenan,Kenan,YILDIZ,YILDIZ,2005-05-04,Juventus FC (ITA),187.0,Türkiye
12.0,GK,BAYINDIR Altay,Altay,BAYINDIR,ALTAY,1998-04-14,Manchester United FC (ENG),198.0,Türkiye
13.0,DF,ELMALI Eren,Evren Eren,ELMALI,EREN ELMALI,2000-07-07,Galatasaray SK (TUR),181.0,Türkiye
14.0,DF,BARDAKCI Abdulkerim,Abdülkerİm,BARDAKCI,ABDÜLKERİM,1994-09-07,Galatasaray SK (TUR),185.0,Türkiye
15.0,DF,KABAK Ozan,Ozan Muhammed,KABAK,OZAN KABAK,2000-03-25,TSG Hoffenheim (GER),187.0,Türkiye
16.0,MF,YUKSEK Ismail,İsmaİl,YÜKSEK,İSMAİL,1999-01-26,Fenerbahçe SK (TUR),183.0,Türkiye
17.0,FW,KAHVECI Irfan Can,İrfan,KAHVECİ,KAHVECİ,1995-07-15,Kasımpaşa SK (TUR),180.0,Türkiye
18.0,DF,MULDUR Mert,Mert,MÜLDÜR,MERT MÜLDÜR,1999-04-03,Fenerbahçe SK (TUR),184.0,Türkiye
19.0,FW,AKGUN Yunus,Yunus,AKGÜN,YUNUS,2000-07-07,Galatasaray SK (TUR),173.0,Türkiye
20.0,DF,KADIOGLU Ferdi,Ferdi Erenay,KADIOĞLU,F. KADIOĞLU,1999-10-07,Brighton & Hove Albion FC (ENG),174.0,Türkiye
21.0,FW,YILMAZ Baris Alper,Barış Alper,YILMAZ,BARIŞ,2000-05-23,Galatasaray SK (TUR),186.0,Türkiye
22.0,MF,AYHAN Kaan,Kaan,AYHAN,KAAN,1994-11-10,Galatasaray SK (TUR),185.0,Türkiye
23.0,GK,CAKIR Ugurcan,Uğurcan,ÇAKIR,UĞURCAN,1996-04-05,Galatasaray SK (TUR),191.0,Türkiye
24.0,FW,AYDIN Oguz,Oğuz,AYDIN,OĞUZ,2000-10-27,Fenerbahçe SK (TUR),183.0,Türkiye
25.0,DF,AKAYDIN Samet,Samet,AKAYDIN,SAMET AKAYDIN,1994-03-13,Çaykur Rizespor (TUR),190.0,Türkiye
26.0,FW,UZUN Can,Can Yılmaz,UZUN,CAN UZUN,2005-11-11,Eintracht Frankfurt (GER),186.0,Türkiye
13.5,Head coach,Unknown,Vincenzo,MONTELLA,Unknown,Unknown,Unknown,183.76923076923077,Italy
