#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,TURNER Matt,Matthew Charles,TURNER,TURNER,1994-06-24,New England Revolution (USA),190.0,United States
2.0,DF,DEST Sergino,Sergiño Gianni,DEST,DEST,2000-11-03,PSV Eindhoven (NED),173.0,United States
3.0,DF,RICHARDS Chris,Christopher Jeffrey,RICHARDS,RICHARDS,2000-03-28,Crystal Palace FC (ENG),189.0,United States
4.0,MF,ADAMS Tyler,Tyler Shaan,ADAMS,ADAMS,1999-02-14,AFC Bournemouth (ENG),175.0,United States
5.0,DF,ROBINSON Antonee,Antonee,ROBINSON,A. ROBINSON,1997-08-08,Fulham FC (ENG),183.0,United States
6.0,DF,TRUSTY Auston,Auston Levi-Jesaiah,TRUSTY,TRUSTY,1998-08-12,Celtic FC (SCO),190.0,United States
7.0,MF,REYNA Giovanni,Giovanni Alejandro,REYNA,REYNA,2002-11-13,Borussia Mönchengladbach (GER),187.0,United States
8.0,MF,McKENNIE Weston,Weston James Earl,MC KENNIE,MCKENNIE,1998-08-28,Juventus FC (ITA),180.0,United States
9.0,FW,PEPI Ricardo,Ricardo Daniel,PEPI,PEPI,2003-01-09,PSV Eindhoven (NED),185.0,United States
10.0,FW,PULISIC Christian,Christian Mate,PULISIC,PULISIC,1998-09-18,AC Milan (ITA),177.0,United States
11.0,FW,AARONSON Brenden,Brenden Russell,AARONSON,AARONSON,2000-10-22,Leeds United FC (ENG),177.0,United States
12.0,DF,ROBINSON Miles,Miles Gordon,ROBINSON,M. ROBINSON,1997-03-14,FC Cincinnatti (USA),187.0,United States
13.0,DF,REAM Tim,Timothy Michael,REAM,REAM,1987-10-05,Charlotte FC (USA),186.0,United States
14.0,MF,BERHALTER Sebastian,Sebastian Matthew,BERHALTER,BERHALTER,2001-05-10,Vancouver Whitecaps FC (CAN),175.0,United States
15.0,MF,ROLDAN Cristian,Cristian,ROLDAN,ROLDAN,1995-06-03,Seattle Sounders FC (USA),173.0,United States
16.0,DF,FREEMAN Alex,Alexander Michael,FREEMAN,FREEMAN,2004-08-09,Villarreal CF (ESP),188.0,United States
17.0,MF,TILLMAN Malik,Malik Leon,TILLMAN,TILLMAN,2002-05-28,Bayer 04 Leverkusen (GER),187.0,United States
18.0,DF,ARFSTEN Max,Maximilian Michael,ARFSTEN,ARFSTEN,2001-04-19,Columbus Crew (USA),185.0,United States
19.0,FW,WRIGHT Haji,Haji Amir,WRIGHT,WRIGHT,1998-03-27,Coventry City FC (ENG),191.0,United States
20.0,FW,BALOGUN Folarin,Folarin Jolaoluwa,BALOGUN,BALOGUN,2001-07-03,AS Monaco (FRA),179.0,United States
21.0,FW,WEAH Timothy,Timothy Tarpeh,WEAH,WEAH,2000-02-22,Olympique Marseille (FRA),183.0,United States
22.0,DF,McKENZIE Mark,Mark Alexander,MCKENZIE,MCKENZIE,1999-02-25,Toulouse FC (FRA),186.0,United States
23.0,DF,SCALLY Joe,Joseph Michael,SCALLY,SCALLY,2002-12-31,Borussia Mönchengladbach (GER),184.0,United States
24.0,GK,FREESE Matt,Matthew Andrew Geary,FREESE,FREESE,1998-09-02,New York City FC (USA),198.0,United States
25.0,GK,BRADY Chris,Christopher Keith,BRADY,BRADY,2004-03-03,Chicago Fire FC (USA),193.0,United States
26.0,FW,ZENDEJAS Alex,Alejandro,ZENDEJAS SAAVEDRA,ZENDEJAS,1998-02-07,Club América (MEX),167.0,United States
13.5,Head coach,Unknown,Mauricio Roberto,POCHETTINO TROSSERO,Unknown,Unknown,Unknown,183.3846153846154,Argentina
