#,pos,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,nationality
1.0,GK,ROCHET Sergio,Sergio Ramón,ROCHET ALVAREZ,S. ROCHET,1993-03-23,SC Internacional (BRA),189.0,Uruguay
2.0,DF,GIMENEZ Jose Maria,José María,GIMÉNEZ DE VARGAS,J.M. GIMÉNEZ,1995-01-20,Atlético De Madrid (ESP),186.0,Uruguay
3.0,DF,CACERES Sebastian,Sebastián Enzo,CÁCERES RAMOS,S. CACERES,1999-08-18,Club América (MEX),180.0,Uruguay
4.0,DF,ARAUJO Ronald,Ronald Federico,ARAÚJO DA SILVA,R. ARAUJO,1999-03-07,FC Barcelona (ESP),185.0,Uruguay
5.0,MF,UGARTE Manuel,Manuel,UGARTE RIBEIRO,M. UGARTE,2001-04-11,Manchester United FC (ENG),182.0,Uruguay
6.0,MF,BENTANCUR Rodrigo,Rodrigo,BENTANCUR COLMÁN,R. BENTANCUR,1997-06-25,Tottenham Hotspur FC (ENG),187.0,Uruguay
7.0,MF,DE LA CRUZ Nicolas,Diego Nicolás,DE LA CRUZ ARCOSA,N. DE LA CRUZ,1997-06-01,CR Flamengo (BRA),167.0,Uruguay
8.0,MF,VALVERDE Federico,Federico Santiago,VALVERDE DIPETTA,F. VALVERDE,1998-07-22,Real Madrid C. F. (ESP),182.0,Uruguay
9.0,FW,NUNEZ Darwin,Darwin Gabriel,NUÑEZ RIBEIRO,D. NUÑEZ,1999-06-24,Al Hilal SC (KSA),185.0,Uruguay
10.0,MF,DE ARRASCAETA Giorgian,Giorgian Daniel,DE ARRASCAETA BENEDETTI,G. DE ARRASCAETA,1994-06-01,CR Flamengo (BRA),177.0,Uruguay
11.0,FW,PELLISTRI Facundo,Facundo,PELLISTRI REBOLLO,F. PELLISTRI,2001-12-20,Panathinaikos FC (GRE),174.0,Uruguay
12.0,GK,MELE Santiago,Santiago Andres,MELE CASTAÑERO,S. MELE,1997-09-06,CF Monterrey (MEX),185.0,Uruguay
13.0,DF,VARELA Guillermo,Guillermo,VARELA OLIVERA,G. VARELA,1993-03-24,CR Flamengo (BRA),174.0,Uruguay
14.0,MF,CANOBBIO Agustin,Agustin,CANOBBIO,A. CANOBBIO,1998-10-01,Fluminense FC (BRA),176.0,Uruguay
15.0,MF,MARTINEZ Emiliano,Emiliano,MARTÍNEZ TORANZA,E. MARTINEZ,1999-08-17,SE Palmeiras (BRA),184.0,Uruguay
16.0,DF,OLIVERA Mathias,Mathías,OLIVERA MIRAMONTES,M. OLIVERA,1997-10-31,SSC Napoli (ITA),174.0,Uruguay
17.0,DF,VINA Matias,Matías Nicolas,VIÑA SUSPERREGUY,M. VIÑA,1997-11-09,CA River Plate (ARG),180.0,Uruguay
18.0,FW,RODRIGUEZ Brian,Paul Brian,RODRÍGUEZ BRAVO,B. RODRIGUEZ,2000-05-20,Club América (MEX),175.0,Uruguay
19.0,FW,AGUIRRE Rodrigo,Rodrigo Sebastian,AGUIRRE SOTO,R. AGUIRRE,1994-10-01,Tigres UANL (MEX),182.0,Uruguay
20.0,MF,ARAUJO Maxi,Maximiliano Javier,ARAÚJO VILCHES,M. ARAUJO,2000-02-15,Sporting CP (POR),176.0,Uruguay
21.0,FW,VINAS Federico,Federico Sebastian,VIÑAS BARBOZA,F. VIÑAS,1998-06-30,Real Oviedo (ESP),181.0,Uruguay
22.0,MF,PIQUEREZ Joaquin,Joaquin,PIQUEREZ MOREIRA,J. PIQUEREZ,1998-08-24,SE Palmeiras (BRA),185.0,Uruguay
23.0,GK,MUSLERA Fernando,Nestor Fernando,MUSLERA MICOL,F. MUSLERA,1986-06-16,Estudiantes LP (ARG),190.0,Uruguay
24.0,DF,BUENO Santiago,Santiago Ignacio,BUENO SCIUTTO,S. BUENO,1998-11-09,Wolverhampton Wanderers FC (ENG),191.0,Uruguay
25.0,MF,SANABRIA Juan Manuel,Juan Manuel,SANABRIA MAGOLÉ,J.M. SANABRIA,2000-03-29,Real Salt Lake (USA),170.0,Uruguay
26.0,MF,ZALAZAR Rodrigo,Radrigo,ZALAZAR MARTINEZ,R. ZALAZAR,1999-08-12,SC Braga (POR),175.0,Uruguay
13.5,Head coach,Unknown,Marcelo Alberto,BIELSA,Unknown,Unknown,Unknown,180.46153846153845,Argentina
