tournament_year,stage_name,home_team,away_team,home_team_score,away_team_score
1930,group stage,France,Mexico,4,1
1930,group stage,United States,Belgium,3,0
1930,group stage,Serbia,Brazil,2,1
1930,group stage,Romania,Peru,3,1
1930,group stage,Argentina,France,1,0
1930,group stage,Chile,Mexico,3,0
1930,group stage,Serbia,Bolivia,4,0
1930,group stage,United States,Paraguay,3,0
1930,group stage,Uruguay,Peru,1,0
1930,group stage,Chile,France,1,0
1930,group stage,Argentina,Mexico,6,3
1930,group stage,Brazil,Bolivia,4,0
1930,group stage,Paraguay,Belgium,1,0
1930,group stage,Uruguay,Romania,4,0
1930,group stage,Argentina,Chile,3,1
1930,semi-finals,Argentina,United States,6,1
1930,semi-finals,Uruguay,Serbia,6,1
1930,final,Uruguay,Argentina,4,2
1934,round of 16,Austria,France,3,2
1934,round of 16,Czechia,Romania,2,1
1934,round of 16,Germany,Belgium,5,2
1934,round of 16,Hungary,Egypt,4,2
1934,round of 16,Italy,United States,7,1
1934,round of 16,Spain,Brazil,3,1
1934,round of 16,Sweden,Argentina,3,2
1934,round of 16,Switzerland,Netherlands,3,2
1934,quarter-finals,Austria,Hungary,2,1
1934,quarter-finals,Czechia,Switzerland,3,2
1934,quarter-finals,Germany,Sweden,2,1
1934,quarter-finals,Italy,Spain,1,1
1934,quarter-finals,Italy,Spain,1,0
1934,semi-finals,Czechia,Germany,3,1
1934,semi-finals,Italy,Austria,1,0
1934,third-place match,Germany,Austria,3,2
1934,final,Italy,Czechia,2,1
1938,round of 16,Switzerland,Germany,1,1
1938,round of 16,Cuba,Romania,3,3
1938,round of 16,France,Belgium,3,1
1938,round of 16,Hungary,Indonesia,6,0
1938,round of 16,Italy,Norway,2,1
1938,round of 16,Brazil,Poland,6,5
1938,round of 16,Czechia,Netherlands,3,0
1938,round of 16,Cuba,Romania,2,1
1938,round of 16,Switzerland,Germany,4,2
1938,quarter-finals,Brazil,Czechia,1,1
1938,quarter-finals,Hungary,Switzerland,2,0
1938,quarter-finals,Italy,France,3,1
1938,quarter-finals,Sweden,Cuba,8,0
1938,quarter-finals,Brazil,Czechia,2,1
1938,semi-finals,Hungary,Sweden,5,1
1938,semi-finals,Italy,Brazil,2,1
1938,third-place match,Brazil,Sweden,4,2
1938,final,Italy,Hungary,4,2
1950,group stage,Brazil,Mexico,4,0
1950,group stage,Serbia,Switzerland,3,0
1950,group stage,England,Chile,2,0
1950,group stage,Spain,United States,3,1
1950,group stage,Sweden,Italy,3,2
1950,group stage,Brazil,Switzerland,2,2
1950,group stage,Serbia,Mexico,4,1
1950,group stage,Spain,Chile,2,0
1950,group stage,United States,England,1,0
1950,group stage,Sweden,Paraguay,2,2
1950,group stage,Brazil,Serbia,2,0
1950,group stage,Chile,United States,5,2
1950,group stage,Spain,England,1,0
1950,group stage,Italy,Paraguay,2,0
1950,group stage,Uruguay,Bolivia,8,0
1950,group stage,Switzerland,Mexico,2,1
1950,final round,Brazil,Sweden,7,1
1950,final round,Uruguay,Spain,2,2
1950,final round,Brazil,Spain,6,1
1950,final round,Uruguay,Sweden,3,2
1950,final round,Sweden,Spain,3,1
1950,final round,Uruguay,Brazil,2,1
1954,group stage,Brazil,Mexico,5,0
1954,group stage,Serbia,France,1,0
1954,group stage,Austria,Scotland,1,0
1954,group stage,Uruguay,Czechia,2,0
1954,group stage,Switzerland,Italy,2,1
1954,group stage,Hungary,South Korea,9,0
1954,group stage,Germany,Turkey,4,1
1954,group stage,England,Belgium,4,4
1954,group stage,Uruguay,Scotland,7,0
1954,group stage,Brazil,Serbia,1,1
1954,group stage,Austria,Czechia,5,0
1954,group stage,France,Mexico,3,2
1954,group stage,Hungary,Germany,8,3
1954,group stage,Turkey,South Korea,7,0
1954,group stage,Italy,Belgium,4,1
1954,group stage,England,Switzerland,2,0
1954,group stage,Germany,Turkey,7,2
1954,group stage,Switzerland,Italy,4,1
1954,quarter-finals,Austria,Switzerland,7,5
1954,quarter-finals,Uruguay,England,4,2
1954,quarter-finals,Hungary,Brazil,4,2
1954,quarter-finals,Germany,Serbia,2,0
1954,semi-finals,Hungary,Uruguay,4,2
1954,semi-finals,Germany,Austria,6,1
1954,third-place match,Austria,Uruguay,3,1
1954,final,Germany,Hungary,3,2
1958,group stage,Sweden,Mexico,3,0
1958,group stage,Argentina,Germany,1,3
1958,group stage,Northern Ireland,Czechia,1,0
1958,group stage,France,Paraguay,7,3
1958,group stage,Serbia,Scotland,1,1
1958,group stage,Hungary,Wales,1,1
1958,group stage,Brazil,Austria,3,0
1958,group stage,Russia,England,2,2
1958,group stage,Argentina,Northern Ireland,3,1
1958,group stage,Germany,Czechia,2,2
1958,group stage,Paraguay,Scotland,3,2
1958,group stage,Serbia,France,3,2
1958,group stage,Mexico,Wales,1,1
1958,group stage,Brazil,England,0,0
1958,group stage,Russia,Austria,2,0
1958,group stage,Sweden,Hungary,2,1
1958,group stage,Sweden,Wales,0,0
1958,group stage,Czechia,Argentina,6,1
1958,group stage,Germany,Northern Ireland,2,2
1958,group stage,France,Scotland,2,1
1958,group stage,Paraguay,Serbia,3,3
1958,group stage,Hungary,Mexico,4,0
