name,country,tournament_year,position
Ángel Bossio,Argentina,1930,goal keeper
Juan Botasso,Argentina,1930,goal keeper
Roberto Cherro,Argentina,1930,forward
Alberto Chividini,Argentina,1930,defender
José Della Torre,Argentina,1930,defender
Attilio Demaría,Argentina,1930,forward
Juan Evaristo,Argentina,1930,midfielder
Mario Evaristo,Argentina,1930,forward
Manuel Ferreira,Argentina,1930,forward
Luis Monti,Argentina,1930,midfielder
Ramón Muttis,Argentina,1930,defender
Rodolfo Orlandini,Argentina,1930,midfielder
Fernando Paternoster,Argentina,1930,defender
Natalio Perinetti,Argentina,1930,forward
Carlos Peucelle,Argentina,1930,forward
Edmundo Piaggio,Argentina,1930,defender
Alejandro Scopelli,Argentina,1930,forward
Carlos Spadaro,Argentina,1930,forward
Guillermo Stábile,Argentina,1930,forward
Arico Suárez,Argentina,1930,midfielder
Francisco Varallo,Argentina,1930,forward
Adolfo Zumelzú,Argentina,1930,midfielder
Ferdinand Adams,Belgium,1930,forward
Arnold Badjou,Belgium,1930,goal keeper
Pierre Braine,Belgium,1930,midfielder
Alexis Chantraine,Belgium,1930,midfielder
Jean De Bie,Belgium,1930,goal keeper
Jean De Clercq,Belgium,1930,midfielder
Henri De Deken,Belgium,1930,defender
Gérard Delbeke,Belgium,1930,midfielder
Jan Diddens,Belgium,1930,forward
August Hellemans,Belgium,1930,midfielder
Nic Hoydonckx,Belgium,1930,defender
Jacques Moeschal,Belgium,1930,forward
Theodore Nouwens,Belgium,1930,defender
André Saeys,Belgium,1930,forward
Louis Versyp,Belgium,1930,forward
Bernard Voorhoof,Belgium,1930,forward
Mario Alborta,Bolivia,1930,forward
Juan Argote,Bolivia,1930,midfielder
Jesús Bermúdez,Bolivia,1930,goal keeper
Miguel Brito,Bolivia,1930,midfielder
José Bustamante,Bolivia,1930,forward
Casiano Chavarría,Bolivia,1930,defender
Segundo Durandal,Bolivia,1930,defender
René Fernández,Bolivia,1930,forward
Gumercindo Gómez,Bolivia,1930,forward
Diógenes Lara,Bolivia,1930,midfielder
Rafael Méndez,Bolivia,1930,forward
Miguel Murillo,Bolivia,1930,goal keeper
Constantino Noya,Bolivia,1930,midfielder
Eduardo Reyes Ortiz,Bolivia,1930,forward
Luis Reyes Peñaranda,Bolivia,1930,defender
Renato Sáinz,Bolivia,1930,midfielder
Jorge Valderrama,Bolivia,1930,midfielder
not applicable Araken,Brazil,1930,forward
not applicable Benedicto,Brazil,1930,forward
not applicable Benvenuto,Brazil,1930,midfielder
not applicable Brilhante,Brazil,1930,defender
not applicable Doca,Brazil,1930,forward
not applicable Fausto,Brazil,1930,defender
not applicable Fernando,Brazil,1930,midfielder
not applicable Fortes,Brazil,1930,midfielder
not applicable Hermógenes,Brazil,1930,defender
not applicable Itália,Brazil,1930,defender
not applicable Joel,Brazil,1930,goal keeper
Carvalho Leite,Brazil,1930,forward
not applicable Manoelzinho,Brazil,1930,forward
Ivan Mariz,Brazil,1930,midfielder
not applicable Moderato,Brazil,1930,forward
not applicable Nilo,Brazil,1930,forward
not applicable Oscarino,Brazil,1930,midfielder
not applicable Pamplona,Brazil,1930,midfielder
not applicable Poly,Brazil,1930,forward
not applicable Preguinho,Brazil,1930,forward
not applicable Russinho,Brazil,1930,forward
not applicable Teóphilo,Brazil,1930,forward
not applicable Velloso,Brazil,1930,goal keeper
not applicable Zé Luiz,Brazil,1930,defender
Juan Aguilera,Chile,1930,forward
Guillermo Arellano,Chile,1930,forward
Ernesto Chaparro,Chile,1930,defender
Arturo Coddou,Chile,1930,midfielder
Roberto Cortés,Chile,1930,goal keeper
Humberto Elgueta,Chile,1930,midfielder
César Espinoza,Chile,1930,goal keeper
Víctor Morales,Chile,1930,defender
Horacio Muñoz,Chile,1930,forward
Tomás Ojeda,Chile,1930,forward
Ulises Poirier,Chile,1930,defender
Guillermo Riveros,Chile,1930,defender
Guillermo Saavedra,Chile,1930,midfielder
Carlos Schneeberger,Chile,1930,forward
Guillermo Subiabre,Chile,1930,forward
Arturo Torres,Chile,1930,midfielder
Casimiro Torres,Chile,1930,midfielder
Carlos Vidal,Chile,1930,forward
Eberardo Villalobos,Chile,1930,forward
Numa Andoire,France,1930,defender
Marcel Capelle,France,1930,defender
Augustin Chantrel,France,1930,midfielder
Edmond Delfour,France,1930,midfielder
Célestin Delmer,France,1930,midfielder
Marcel Langiller,France,1930,forward
Jean Laurent,France,1930,defender
Lucien Laurent,France,1930,forward
Ernest Libérati,France,1930,forward
André Maschinot,France,1930,forward
Étienne Mattler,France,1930,defender
Marcel Pinel,France,1930,forward
André Tassin,France,1930,goal keeper
Alex Thépot,France,1930,goal keeper
Émile Veinante,France,1930,forward
Alexandre Villaplane,France,1930,midfielder
Efraín Amézcua,Mexico,1930,midfielder
Oscar Bonfiglio,Mexico,1930,goal keeper
Juan Carreño,Mexico,1930,forward
Jesús Castro,Mexico,1930,forward
Rafael Garza Gutiérrez,Mexico,1930,defender
Francisco Garza Gutiérrez,Mexico,1930,defender
Roberto Gayón,Mexico,1930,forward
Hilario López,Mexico,1930,forward
Dionisio Mejía,Mexico,1930,forward
Felipe Olivares,Mexico,1930,forward
Luis Pérez,Mexico,1930,forward
Raymundo Rodríguez,Mexico,1930,midfielder
Felipe Rosas,Mexico,1930,midfielder
Manuel Rosas,Mexico,1930,defender
José Ruíz,Mexico,1930,forward
Alfredo Viejo Sánchez,Mexico,1930,midfielder
Isidoro Sota,Mexico,1930,goal keeper
Francisco Aguirre,Paraguay,1930,midfielder
Pedro Benítez,Paraguay,1930,goal keeper
Santiago Benítez,Paraguay,1930,midfielder
Delfín Benítez Cáceres,Paraguay,1930,forward
Saguier Carreras,Paraguay,1930,forward
Eustacio Chamorro,Paraguay,1930,defender
Modesto Denis,Paraguay,1930,goal keeper
Eusebio Díaz,Paraguay,1930,midfielder
Diógenes Domínguez,Paraguay,1930,forward
Romildo Etcheverry,Paraguay,1930,midfielder
Diego Florentín,Paraguay,1930,midfielder
Salvador Flores,Paraguay,1930,defender
Tranquilino Garcete,Paraguay,1930,midfielder
Aurelio González,Paraguay,1930,forward
José Miracca,Paraguay,1930,defender
Lino Nessi,Paraguay,1930,forward
Quiterio Olmedo,Paraguay,1930,defender
Amadeo Ortega,Paraguay,1930,forward
Bernabé Rivera,Paraguay,1930,forward
Gerardo Romero,Paraguay,1930,forward
Luis Vargas Peña,Paraguay,1930,forward
Jacinto Villalba,Paraguay,1930,forward
Eduardo Astengo,Peru,1930,midfielder
Carlos Cillóniz,Peru,1930,midfielder
Mario de las Casas,Peru,1930,defender
Alberto Denegri,Peru,1930,midfielder
Arturo Fernández,Peru,1930,defender
Plácido Galindo,Peru,1930,midfielder
Domingo García,Peru,1930,midfielder
Jorge Góngora,Peru,1930,forward
José María Lavalle,Peru,1930,forward
Julio Lores,Peru,1930,forward
Antonio Maquilón,Peru,1930,defender
Demetrio Neyra,Peru,1930,forward
Pablo Pacheco,Peru,1930,forward
Jorge Pardon,Peru,1930,goal keeper
Julio Quintana,Peru,1930,midfielder
Lizardo Rodríguez Nue,Peru,1930,forward
Jorge Sarmiento,Peru,1930,forward
Alberto Soria,Peru,1930,defender
Luis Souza Ferreira,Peru,1930,forward
Juan Valdivieso,Peru,1930,goal keeper
Juan Alfonso Valle,Peru,1930,midfielder
Alejandro Villanueva,Peru,1930,forward
Ştefan Barbu,Romania,1930,forward
Rudolf Bürger,Romania,1930,defender
Iosif Czako,Romania,1930,defender
Adalbert Deşu,Romania,1930,forward
Alfred Eisenbeisser,Romania,1930,midfielder
Miklós Kovács,Romania,1930,forward
Ion Lǎpuşneanu,Romania,1930,goal keeper
László Raffinsky,Romania,1930,midfielder
Corneliu Robe,Romania,1930,midfielder
Constantin Stanciu,Romania,1930,forward
Adalbert Steiner,Romania,1930,defender
Ilie Subăşeanu,Romania,1930,forward
Emerich Vogl,Romania,1930,defender
Rudolf Wetzer,Romania,1930,forward
Samuel Zauber,Romania,1930,goal keeper
Andy Auld,United States,1930,midfielder
Mike Bookie,United States,1930,forward
Jim Brown,United States,1930,forward
Jimmy Douglas,United States,1930,goal keeper
Tom Florie,United States,1930,forward
Jimmy Gallagher,United States,1930,midfielder
James Gentle,United States,1930,forward
Billy Gonsalves,United States,1930,forward
Bart McGhee,United States,1930,forward
George Moorhouse,United States,1930,defender
Arnie Oliver,United States,1930,forward
Bert Patenaude,United States,1930,forward
Philip Slone,United States,1930,midfielder
Raphael Tracey,United States,1930,forward
Frank Vaughn,United States,1930,defender
Alexander Wood,United States,1930,defender
José Leandro Andrade,Uruguay,1930,midfielder
Peregrino Anselmo,Uruguay,1930,forward
Enrique Ballesteros,Uruguay,1930,goal keeper
Juan Carlos Calvo,Uruguay,1930,forward
Miguel Capuccini,Uruguay,1930,goal keeper
Héctor Castro,Uruguay,1930,forward
Pedro Cea,Uruguay,1930,forward
Pablo Dorado,Uruguay,1930,forward
Lorenzo Fernández,Uruguay,1930,midfielder
Álvaro Gestido,Uruguay,1930,midfielder
Santos Iriarte,Uruguay,1930,forward
Ernesto Mascheroni,Uruguay,1930,defender
Ángel Melogno,Uruguay,1930,midfielder
José Nasazzi,Uruguay,1930,defender
Pedro Petrone,Uruguay,1930,forward
Conduelo Píriz,Uruguay,1930,midfielder
Emilio Recoba,Uruguay,1930,defender
Carlos Riolfo,Uruguay,1930,midfielder
Zoilo Saldombide,Uruguay,1930,forward
Héctor Scarone,Uruguay,1930,forward
Domingo Tejera,Uruguay,1930,defender
Santos Urdinarán,Uruguay,1930,forward
Milorad Arsenijević,Serbia,1930,midfielder
Ivan Bek,Serbia,1930,forward
Momčilo Đokić,Serbia,1930,midfielder
Branislav Hrnjiček,Serbia,1930,midfielder
Milutin Ivković,Serbia,1930,defender
Milovan Jakšić,Serbia,1930,goal keeper
Blagoje Marjanović,Serbia,1930,forward
Bozidar Marković,Serbia,1930,forward
Dragoslav Mihajlović,Serbia,1930,defender
Dragutin Najdanović,Serbia,1930,forward
Branislav Sekulić,Serbia,1930,forward
Teofilo Spasojević,Serbia,1930,midfielder
Ljubiša Stefanović,Serbia,1930,defender
Milan Stojanović,Serbia,1930,goal keeper
Aleksandar Tirnanić,Serbia,1930,forward
Dragomir Tošić,Serbia,1930,defender
Đorđe Vujadinović,Serbia,1930,forward
Ernesto Albarracín,Argentina,1934,midfielder
Ramón Astudillo,Argentina,1934,defender
Ernesto Belis,Argentina,1934,defender
Enrique Chimento,Argentina,1934,defender
Alfredo Devincenzi,Argentina,1934,forward
Héctor Freschi,Argentina,1934,goal keeper
Alberto Galateo,Argentina,1934,forward
Ángel Grippa,Argentina,1934,goal keeper
Roberto Irañeta,Argentina,1934,forward
Luis Izzeta,Argentina,1934,forward
Arcadio López,Argentina,1934,midfielder
Alfonso Lorenzo,Argentina,1934,midfielder
José Nehin,Argentina,1934,midfielder
Juan Pedevilla,Argentina,1934,defender
Francisco Pérez,Argentina,1934,forward
Francisco Rúa,Argentina,1934,forward
Constantino Urbieta Sosa,Argentina,1934,midfielder
Federico Wilde,Argentina,1934,forward
Josef Bican,Austria,1934,forward
Georg Braun,Austria,1934,forward
Franz Cisar,Austria,1934,defender
Friederich Franzl,Austria,1934,goal keeper
Josef Hassmann,Austria,1934,forward
Leopold Hofmann,Austria,1934,midfielder
Johann Horvath,Austria,1934,forward
Anton Janda,Austria,1934,defender
Matthias Kaburek,Austria,1934,forward
Peter Platzer,Austria,1934,goal keeper
Rudolf Raftl,Austria,1934,goal keeper
Anton Schall,Austria,1934,forward
