country_code,year,political_stability,gdp_per_capita
ABW,2015,1.209329,27458.2201537506
ABW,2016,1.2062931,27441.5502144601
ABW,2017,1.2066651,28440.0416881491
ABW,2018,1.3341522,30082.1584226798
ABW,2019,1.3349374,30645.8906024548
ABW,2020,1.3345061,22759.8071750722
ABW,2021,1.3328137,26749.3296093118
ABW,2022,1.3357267,30975.9989121779
AFE,2015,,1498.8752400759
AFE,2016,,1334.47050032928
AFE,2017,,1528.10422421284
AFE,2018,,1552.07372194919
AFE,2019,,1507.08559963484
AFE,2020,,1351.59166910879
AFE,2021,,1562.41617477738
AFE,2022,,1679.32762166466
AFG,2015,-2.48125299999999,565.569730408751
AFG,2016,-2.4834928,522.082215583898
AFG,2017,-2.61393089999999,525.469770891619
AFG,2018,-2.5824048,491.337221382603
AFG,2019,-2.5893714,496.6025042585
AFG,2020,-2.5896897,510.787063366811
AFG,2021,-2.4506389,356.496214115892
AFG,2022,-2.4492487,357.261152798144
AFW,2015,,1860.72768628324
AFW,2016,,1630.03943895258
AFW,2017,,1574.23056437855
AFW,2018,,1720.14009242722
AFW,2019,,2216.38505520833
AFW,2020,,2030.86165860293
AFW,2021,,2112.79407637079
AFW,2022,,2138.47315259913
AGO,2015,-0.5591026,3641.72893919944
AGO,2016,-0.434627999999999,2051.81462126253
AGO,2017,-0.537214499999999,2790.71886869768
AGO,2018,-0.4058117,2860.0936483682
AGO,2019,-0.420703899999999,2493.67884440177
AGO,2020,-0.6427634,1759.35619918264
AGO,2021,-0.7936068,2303.90812662776
AGO,2022,-0.5414068,3682.1131513698
AIA,2015,1.2251811,
AIA,2016,1.221286,
AIA,2017,1.2217632,
AIA,2018,1.2251203,
AIA,2019,1.2261279,
AIA,2020,1.3857911,
AIA,2021,1.3836197,
AIA,2022,1.3873573,
ALB,2015,0.1252711,4199.53912925398
ALB,2016,0.1659701,4457.63412207495
ALB,2017,0.1638298,5006.36012951959
ALB,2018,0.1502032,5897.65452588774
ALB,2019,0.00437499999999999,6069.43903131027
ALB,2020,-0.0049854,6027.91350716348
ALB,2021,0.0239536,7242.45513146613
ALB,2022,0.0115425,7756.96188744253
AND,2015,1.3290711,38654.95287916
AND,2016,1.3245352,40129.8385811474
AND,2017,1.3250909,40672.9717424447
AND,2018,1.3290002,42819.7577456133
AND,2019,1.5488694,41257.816459345
AND,2020,1.5484064,37361.1070081615
AND,2021,1.5465903,42425.7066454357
AND,2022,1.5497163,42414.0479861228
ANT,2015,1.1851269,
ANT,2016,1.1812317,
ANT,2017,0.7119725,
ANT,2018,,
ANT,2019,,
ANT,2020,,
ANT,2021,,
ANT,2022,,
ARB,2015,,6290.55879501691
ARB,2016,,6042.19675439672
ARB,2017,,6096.72395041636
ARB,2018,,6699.18058175457
ARB,2019,,6674.34224402621
ARB,2020,,5739.41283580539
ARB,2021,,6697.41498492196
ARB,2022,,7950.35581975672
ARE,2015,0.8382509,44910.334995523
ARE,2016,0.6925969,42721.0999383185
ARE,2017,0.7192871,43733.6192287435
ARE,2018,0.8336611,47135.3591943971
ARE,2019,0.8295526,45938.6073581994
ARE,2020,0.826942,37991.7492971665
ARE,2021,0.839581,44118.5047192771
ARE,2022,0.883216,50759.7589231191
ARG,2015,-0.0308863,13679.6264980954
ARG,2016,0.1932708,12699.9623137756
ARG,2017,0.2394066,14532.5009308511
ARG,2018,0.1204378,11752.7998922979
ARG,2019,0.0571577,9955.97478680428
ARG,2020,0.0552501,8535.59938004389
ARG,2021,0.0921998,10738.0179223384
ARG,2022,0.0576438,13962.1894087223
ARM,2015,-0.139264399999999,3512.39350276709
ARM,2016,-0.3896011,3524.42476874707
ARM,2017,-0.3015882,3869.05373867752
ARM,2018,-0.00389009999999999,4196.00562301769
ARM,2019,0.0683699,4597.22887399548
ARM,2020,-0.2935835,4268.68093304583
ARM,2021,-0.5019,4685.17997128509
ARM,2022,-0.3556235,6571.97445545099
ASM,2015,1.2607488,12727.4102651386
ASM,2016,1.2548748,12843.3342903627
ASM,2017,1.2555945,11863.6839452565
ASM,2018,1.2606571,12552.0546868861
ASM,2019,1.2471192,12886.1359517218
ASM,2020,1.2465402,14489.2586563775
ASM,2021,1.2442687,15236.1604875571
ASM,2022,1.2481785,18017.4589383973
ATG,2015,0.9161633,16077.6340769406
ATG,2016,0.7403626,16556.8551801588
ATG,2017,0.614623,16965.7288273816
ATG,2018,0.7900001,18273.4270684912
ATG,2019,0.9169085,18896.3721832248
ATG,2020,0.9164728,15369.6082250401
ATG,2021,0.9147636,17348.6006987182
ATG,2022,1.0787211,20105.1989085164
AUS,2015,0.8032474,56970.3613028094
AUS,2016,0.9540785,50084.4440606385
AUS,2017,0.7831479,54117.547718609
AUS,2018,0.8840942,57410.1737346009
AUS,2019,0.8454141,55194.7585097428
AUS,2020,0.8859397,51983.4523666382
AUS,2021,0.8536507,60758.9044397144
AUS,2022,0.9015353,65169.5191118657
AUT,2015,1.1389655,43915.228020857
AUT,2016,0.8951862,45061.4993920192
AUT,2017,0.9266955,47163.7425775142
AUT,2018,0.8440814,51194.0749841299
AUT,2019,0.7878108,49885.9947355204
AUT,2020,0.8186312,48716.4098900349
AUT,2021,0.7543747,53648.6437976214
