#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,OSPINA David,David,OSPINA RAMIREZ,OSPINA,1988-08-31,Atlético Nacional (COL),183.0,Colombia
2,DF,MUNOZ Daniel,Daniel,MUÑOZ MEJIA,D. MUÑOZ,1996-05-26,Crystal Palace FC (ENG),180.0,Colombia
3,DF,LUCUMI Jhon,Jhon Janer,LUCUMI BONILLA,J. LUCUMI,1998-06-26,Bologna FC (ITA),187.0,Colombia
4,DF,ARIAS Santiago,Santiago,ARIAS NARANJO,ARIAS,1992-01-13,CA Independiente (ARG),177.0,Colombia
5,MF,CASTANO Kevin,Kevin Duvan,CASTAÑO GIL,K. CASTAÑO,2000-09-29,CA River Plate (ARG),179.0,Colombia
6,MF,RIOS Richard,Richard,RÍOS MONTOYA,RICHARD RIOS,2000-06-02,SL Benfica (POR),185.0,Colombia
7,FW,DIAZ Luis,Luis Fernando,DÍAZ MARULANDA,LUIS DIAZ,1997-01-13,FC Bayern München (GER),179.0,Colombia
8,MF,CARRASCAL Jorge,Jorge Andres,CARRASCAL GUARDO,CARRASCAL,1998-05-25,CR Flamengo (BRA),180.0,Colombia
9,FW,CORDOBA Jhon,Jhon Andrés,CÓRDOBA COPETE,CORDOBA,1993-05-11,FC Krasnodar (RUS),186.0,Colombia
10,MF,RODRIGUEZ James,James David,RODRÍGUEZ RUBIO,JAMES,1991-07-12,Minnesota United FC (USA),181.0,Colombia
11,MF,ARIAS Jhon,Jhon Adolfo,ARIAS ANDRADE,J. ARIAS,1997-09-21,SE Palmeiras (BRA),168.0,Colombia
12,GK,VARGAS Camilo,Camilo Andres,VARGAS GIL,C. VARGAS,1989-03-09,Atlas FC (MEX),183.0,Colombia
13,DF,MINA Yerry,Yerry Fernando,MINA GONZALEZ,Y. MINA,1994-09-23,Cagliari (ITA),195.0,Colombia
14,DF,PUERTA Gustavo,Gustavo Adolfo,PUERTA MOLANO,PUERTA,2003-07-23,Racing Santander (ESP),173.0,Colombia
15,MF,PORTILLA Juan,Juan Camilo,PORTILLA OROZCO,PORTILLA,1998-09-12,Athletico Paranaense (BRA),181.0,Colombia
16,MF,LERMA Jefferson,Jefferson Andrés,LERMA SOLIS,J. LERMA,1994-10-25,Crystal Palace FC (ENG),180.0,Colombia
17,DF,MOJICA Johan,Johan Andrés,MOJICA PALACIO,J. MOJICA,1992-08-21,RCD Mallorca (ESP),184.0,Colombia
18,DF,DITTA Willer,Willer Emilio,DITTA PEREZ,W. DITTA,1998-01-23,CF Cruz Azul (MEX),179.0,Colombia
19,FW,HERNANDEZ Cucho,Juan Camilo,HERNANDEZ SUAREZ,C. HERNANDEZ,1999-04-20,Real Betis (ESP),176.0,Colombia
20,MF,QUINTERO Juan,Juan Fernando,QUINTERO PANIAGUA,QUINTERO,1993-01-18,CA River Plate (ARG),167.0,Colombia
21,FW,CAMPAZ Jaminton,Jaminton Leandro,CAMPAZ,CAMPAZ,2000-05-24,CA Rosario Central (ARG),166.0,Colombia
22,DF,MACHADO Deiver,Deiver,MACHADO MENA,MACHADO,1993-09-02,FC Nantes (FRA),173.0,Colombia
23,DF,SANCHEZ Davinson,Davinson,SÁNCHEZ MINA,SANCHEZ,1996-06-12,Galatasaray SK (TUR),188.0,Colombia
24,GK,MONTERO Alvaro,Álvaro David,MONTERO PERALES,MONTERO,1995-03-29,CA Vélez Sarsfield (ARG),201.0,Colombia
25,FW,SUAREZ Luis,Luis Javier,SUÁREZ CHARRIS,SUAREZ,1997-12-02,Sporting CP (POR),179.0,Colombia
26,FW,GOMEZ Andres,Carlos Andrés,GÓMEZ HINESTROZA,A. GOMEZ,2002-09-12,CR Vasco Da Gama (BRA),170.0,Colombia
,Head coach,,Nestor Gabriel,LORENZO,,,,,Argentina
