#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,YAZEED ABULAILA,Yazeed Mo'ien Hasan,ABULAILA,YAZEED,1993-01-08,Al Hussein SC (JOR),188.0,Jordan
2,DF,MOHAMMAD ABUHASHEESH,Mohammad Ali Hasan,ABUHASHEESH,ABU HASHEESH,1995-05-09,Al Karma SC (IRQ),179.0,Jordan
3,DF,ABDALLAH NASIB,Abdallah Mousa Musallam,NASIB,NASIB,1994-02-25,Al Zawra'a SC (IRQ),184.0,Jordan
4,DF,HUSAM ABUDAHAB,Husam Ali Mohammad,ABUDAHAB,ABU DAHAB,2000-05-13,Al Faisaly SC (JOR),186.0,Jordan
5,DF,YAZAN ALARAB,Yazan Mousa Mahmoud,ALARAB,ALARAB,1996-01-31,FC Seoul (KOR),185.0,Jordan
6,MF,AMER JAMOUS,Amer Rasem Adel,JAMOUS,JAMOUS,2002-07-03,Al Zawra'a SC (IRQ),177.0,Jordan
7,FW,MOHAMMAD ABUZRAIQ,Mohammad Faisal Yousef,ABU ZRAIQ,ABU ZRAIQ,1997-12-30,Raja Casablanca (MAR),170.0,Jordan
8,MF,NOOR ALRAWABDEH,Noor Al-Deen Mahmoud Ali,AL RAWABDEH,ALRAWABDEH,1997-02-24,Selangor FC (MAS),182.0,Jordan
9,FW,ALI OLWAN,Ali Iyad Ali,OLWAN,OLWAN,2000-03-26,Al Sailiya SC (QAT),182.0,Jordan
10,FW,MOUSA ALTAMARI,Mousa Mohammad Mousa,SULEIMAN,ALTAMARI,1997-06-10,Stade Rennais FC (FRA),176.0,Jordan
11,FW,ODEH FAKHOURY,Odeh Burhan Shehadeh,FAKHOURY,ODEH,2005-11-22,Pyramids FC (EGY),180.0,Jordan
12,GK,NOUR BANIATEYAH,Noureddin Zaid Khaleel,BANI ATEYAH,BANI ATEYAH,1993-01-25,Al Faisaly SC (JOR),179.0,Jordan
13,FW,MAHMOUD ALMARDI,Mahmoud Nayef Ahmad,ALMARDI,ALMARDI,1993-10-06,Al Hussein SC (JOR),173.0,Jordan
14,MF,RAJAEI AYED,Raja'ei Ayed Fadel,HASAN,RAJA'EI,1993-07-25,Al Hussein SC (JOR),175.0,Jordan
15,MF,IBRAHIM SADEH,Ibrahim Mohammad Sami,SA'DEH,SA'DEH,2000-04-27,Al Karma SC (IRQ),175.0,Jordan
16,DF,MOHAMMAD ABUALNADI,Mohammad Majed Jamil,ABUALNADI,ABU ALNADI,2001-02-08,Selangor FC (MAS),185.0,Jordan
17,DF,SALEEM OBAID,Saleem Amer Saleem,OBAID,SALEEM,1992-01-17,Al Hussein SC (JOR),187.0,Jordan
18,FW,IBRAHIM SABRA,Ibrahim Mohammad Abdallah,SABRA,SABRA,2006-02-01,NK Lokomotiva Zagreb (CRO),184.0,Jordan
19,DF,SAED ALROSAN,Sa'ed Ahmad Salameh,ALROSAN,SA'ED,1997-02-01,Al Hussein SC (JOR),186.0,Jordan
20,MF,MOHANNAD ABUTAHA,Mohannad Mahmoud Saleh,ABU TAHA,ABU TAHA,2003-02-02,Al-Quwa Al-Jawiya (IRQ),173.0,Jordan
21,MF,NIZAR ALRASHDAN,Nizar Mahmoud Ahmed,AL-RASHDAN,NIZAR,1999-03-23,Qatar SC (QAT),183.0,Jordan
22,GK,ABDALLAH ALFAKHORI,Abdallah Ra'ed Mahmoud,ALFAKHORI,ALFAKHORI,2000-01-22,Al Wahdat SC (JOR),190.0,Jordan
23,DF,EHSAN HADDAD,Ehsan Manel Farhan,HADDAD,EHSAN,1994-02-05,Al Hussein SC (JOR),174.0,Jordan
24,FW,ALI AZAIZEH,Ali Ahmad Ali,AZAIZEH,AZAIZEH,2004-04-13,Al Shabab FC (KSA),178.0,Jordan
25,MF,MOHAMMAD ALDAOUD,Mohammad Ratib Mohammad,ALDAOUD,ALDAOUD,1992-04-12,Al Wahdat SC (JOR),185.0,Jordan
26,DF,ANAS BADAWI,Anas Said Ghazi,BADAWI,BADAWI,1997-09-13,Al Faisaly SC (JOR),174.0,Jordan
,Head coach,,Jamal,SELLAMI,,,,,Morocco
