#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,RAYA David,David,RAYA MARTÍN,RAYA,1995-09-15,Arsenal FC (ENG),186.0,Spain
2,DF,PUBILL Marc,Marc,PUBILL PAGES,MARC PUBILL,2003-06-20,Atlético De Madrid (ESP),191.0,Spain
3,DF,GRIMALDO Alex,Alejandro,GRIMALDO GARCÍA,GRIMALDO,1995-09-20,Bayer 04 Leverkusen (GER),171.0,Spain
4,DF,GARCIA Eric,Eric,GARCÍA MARTRET,ERIC,2001-01-09,FC Barcelona (ESP),183.0,Spain
5,DF,LLORENTE Marcos,Marcos,LLORENTE MORENO,M. LLORENTE,1995-01-30,Atlético De Madrid (ESP),183.0,Spain
6,MF,MERINO Mikel,Mikel,MERINO ZAZÓN,MERINO,1996-06-22,Arsenal FC (ENG),188.0,Spain
7,FW,TORRES Ferran,Ferran,TORRES GARCÍA,FERRAN,2000-02-29,FC Barcelona (ESP),183.0,Spain
8,MF,RUIZ Fabian,Fabian,RUIZ PEÑA,FABIÁN,1996-04-03,Paris Saint-Germain (FRA),188.0,Spain
9,MF,GAVI,Pablo,PAEZ GAVIRA,GAVI,2004-08-05,FC Barcelona (ESP),173.0,Spain
10,FW,OLMO Dani,Daniel,OLMO CARVAJAL,OLMO,1998-05-07,FC Barcelona (ESP),179.0,Spain
11,FW,PINO Yeremy,Yeremy Jesús,PINO SANTOS,YEREMY,2002-10-20,Crystal Palace FC (ENG),174.0,Spain
12,DF,PORRO Pedro,Pedro Antonio,PORRO SAUCEDA,PEDRO PORRO,1999-09-13,Tottenham Hotspur FC (ENG),173.0,Spain
13,GK,GARCIA Joan,Joan,GARCIA PONS,JOAN GARCIA,2001-05-04,FC Barcelona (ESP),194.0,Spain
14,DF,LAPORTE Aymeric,Aymeric,LAPORTE FEVRE,LAPORTE,1994-05-27,Athletic Club (ESP),191.0,Spain
15,MF,BAENA Alex,Alejandro,BAENA RODRÍGUEZ,ALEX B.,2001-07-20,Atlético De Madrid (ESP),172.0,Spain
16,MF,RODRI,Rodrigo,HERNÁNDEZ CASCANTE,RODRIGO,1996-06-22,Manchester City FC (ENG),190.0,Spain
17,FW,WILLI AMS Nico,Nicholas,WILLI AMS ARTHUER,WILLI AMS JR,2002-07-12,Athletic Club (ESP),181.0,Spain
18,MF,ZUBIMENDI Martin,Martin,ZUBIMENDI IBAÑEZ,ZUBIMENDI,1999-02-02,Arsenal FC (ENG),181.0,Spain
19,FW,YAMAL Lamine,Lamine Yamal,NASRAOUI EBANA,LAMINE YAMAL,2007-07-13,FC Barcelona (ESP),183.0,Spain
20,MF,PEDRI,Pedro,GONZÁLEZ LÓPEZ,PEDRI,2002-11-25,FC Barcelona (ESP),174.0,Spain
21,FW,OYARZABAL Mikel,Mikel,OYARZABAL UGARTE,OYARZABAL,1997-04-21,Real Sociedad (ESP),181.0,Spain
22,DF,CUBARSI Pau,Pau,CUBARSI I PAREDES,CUBARSÍ,2007-01-22,FC Barcelona (ESP),183.0,Spain
23,GK,SIMON Unai,Unai,SIMÓN MENDIBIL,UNAI SIMÓN,1997-06-11,Athletic Club (ESP),190.0,Spain
24,DF,CUCURELLA Marc,Marc,CUCURELLA SASETA,CUCURELLA,1998-07-22,Chelsea FC (ENG),173.0,Spain
25,FW,MUNOZ Victor,Victor,MUÑOZ VILLANUEVA,VICTOR M.V.,2003-07-13,CA Osasuna (ESP),173.0,Spain
26,FW,IGLESI AS Borja,Borja,IGLESI AS QUINTÁS,B. IGLESI AS,1993-01-17,RC Celta Vigo (ESP),187.0,Spain
,Head coach,,Luis,DE LA FUENTE CASTILLO,,,,,Spain
