#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,GUNOK Mert,Fehmi Mert,GÜNOK,MERT,1989-03-01,Fenerbahçe SK (TUR),196.0,Türkiye
2,DF,CELIK Zeki,Mehmet Zeki,ÇELIK,ZEKİ ÇELİK,1997-02-17,AS Roma (ITA),180.0,Türkiye
3,DF,DEMIRAL Merih,Merih,DEMİRAL,DEMİRAL,1998-03-05,Al Ahli FC (KSA),190.0,Türkiye
4,DF,SOYUNCU Caglar,Çağlar,SÖYÜNCÜ,ÇAĞLAR,1996-05-23,Fenerbahçe SK (TUR),185.0,Türkiye
5,MF,OZCAN Salih,Salih,ÖZCAN,ÖZCAN,1998-01-11,Borussia Dortmund (GER),182.0,Türkiye
6,MF,KOKCU Orkun,Orkun,KÖKÇÜ,ORKUN KÖKÇÜ,2000-12-29,Beşiktaş JK (TUR),175.0,Türkiye
7,FW,AKTURKOGLU Kerem,Muhammed Kerem,AKTÜRKOĞLU,AKTÜRKOĞLU,1998-10-21,Fenerbahçe SK (TUR),172.0,Türkiye
8,FW,GULER Arda,Arda,GÜLER,ARDA GÜLER,2005-02-25,Real Madrid C. F. (ESP),175.0,Türkiye
9,FW,GUL Deniz,Deniz Daniel,GÜL,DENİZ GÜL,2004-07-02,FC Porto (POR),192.0,Türkiye
10,MF,CALHANOGLU Hakan,Hakan,ÇALHANOĞLU,ÇALHANOĞLU,1994-02-08,FC Internazionale Milano (ITA),178.0,Türkiye
11,FW,YILDIZ Kenan,Kenan,YILDIZ,YILDIZ,2005-05-04,Juventus FC (ITA),187.0,Türkiye
12,GK,BAYINDIR Altay,Altay,BAYINDIR,ALTAY,1998-04-14,Manchester United FC (ENG),198.0,Türkiye
13,DF,ELMALI Eren,Evren Eren,ELMALI,EREN ELMALI,2000-07-07,Galatasaray SK (TUR),181.0,Türkiye
14,DF,BARDAKCI Abdulkerim,Abdülkerİm,BARDAKCI,ABDÜLKERİM,1994-09-07,Galatasaray SK (TUR),185.0,Türkiye
15,DF,KABAK Ozan,Ozan Muhammed,KABAK,OZAN KABAK,2000-03-25,TSG Hoffenheim (GER),187.0,Türkiye
16,MF,YUKSEK Ismail,İsmaİl,YÜKSEK,İSMAİL,1999-01-26,Fenerbahçe SK (TUR),183.0,Türkiye
17,FW,KAHVECI Irfan Can,İrfan,KAHVECİ,KAHVECİ,1995-07-15,Kasımpaşa SK (TUR),180.0,Türkiye
18,DF,MULDUR Mert,Mert,MÜLDÜR,MERT MÜLDÜR,1999-04-03,Fenerbahçe SK (TUR),184.0,Türkiye
19,FW,AKGUN Yunus,Yunus,AKGÜN,YUNUS,2000-07-07,Galatasaray SK (TUR),173.0,Türkiye
20,DF,KADIOGLU Ferdi,Ferdi Erenay,KADIOĞLU,F. KADIOĞLU,1999-10-07,Brighton & Hove Albion FC (ENG),174.0,Türkiye
21,FW,YILMAZ Baris Alper,Barış Alper,YILMAZ,BARIŞ,2000-05-23,Galatasaray SK (TUR),186.0,Türkiye
22,MF,AYHAN Kaan,Kaan,AYHAN,KAAN,1994-11-10,Galatasaray SK (TUR),185.0,Türkiye
23,GK,CAKIR Ugurcan,Uğurcan,ÇAKIR,UĞURCAN,1996-04-05,Galatasaray SK (TUR),191.0,Türkiye
24,FW,AYDIN Oguz,Oğuz,AYDIN,OĞUZ,2000-10-27,Fenerbahçe SK (TUR),183.0,Türkiye
25,DF,AKAYDIN Samet,Samet,AKAYDIN,SAMET AKAYDIN,1994-03-13,Çaykur Rizespor (TUR),190.0,Türkiye
26,FW,UZUN Can,Can Yılmaz,UZUN,CAN UZUN,2005-11-11,Eintracht Frankfurt (GER),186.0,Türkiye
,Head coach,,Vincenzo,MONTELLA,,,,,Italy
