#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,MASTIL Melvin,Melvin Feycal,MASTIL,MASTIL,2000-02-19,FC Stade Nyonnais (SUI),194.0,Algeria
2,DF,MANDI Aissa,Aissa,MANDI,MANDI,1991-10-22,Lille OSC (FRA),184.0,Algeria
3,DF,ABADA Achraf,Achraf,ABADA,ABADA,1999-06-15,USM Alger (ALG),185.0,Algeria
4,DF,TOUGAI Mohamed Amine,Mohamed Amine,TOUGAI,TOUGAI,2000-01-22,Espérance De Tunisie (TUN),186.0,Algeria
5,DF,BELAID Zineddine,Zineddine,BELAÏD,BELAID,1999-03-20,JS Kabylie (ALG),186.0,Algeria
6,MF,ZERROUKI Ramiz,Ramiz Larbi,ZERROUKI,ZERROUKI,1998-05-26,FC Twente (NED),183.0,Algeria
7,FW,MAHREZ Riyad,Riyad Karim,MAHREZ,MAHREZ,1991-02-21,Al Ahli FC (KSA),179.0,Algeria
8,MF,AOUAR Houssem,Houssem-Eddine Chaabane,AOUAR,AOUAR,1998-06-30,Al Ittihad (KSA),175.0,Algeria
9,FW,GOUIRI Amine,Amine Ferid,GHOUIRI,GOUIRI,2000-02-16,Olympique Marseille (FRA),180.0,Algeria
10,MF,CHAIBI Fares,Fares,CHAIBI,CHAIBI,2002-11-28,Eintracht Frankfurt (GER),183.0,Algeria
11,FW,HADJ MOUSSA Anis,Anis,HADJ MOUSSA,HADJ MOUSSA,2002-02-11,Feyenoord Rotterdam (NED),176.0,Algeria
12,FW,BENBOUALI Nadhir,Ahmed Nadhir,BENBOUALI,BENBOUALI,2000-04-17,Györi ETO FC (HUN),190.0,Algeria
13,DF,HADJAM Jaouen,Jaouen Djimmy,HADJAM,HADJAM,2003-03-26,BSC Young Boys (SUI),185.0,Algeria
14,MF,BOUDAOUI Hicham,Hicham,BOUDAOUI,BOUDAOUI,1999-09-23,OGC Nice (FRA),175.0,Algeria
15,DF,AIT-NOURI Rayan,Rayan,AÏT-NOURI,AÏT NOURI,2001-06-06,Manchester City FC (ENG),180.0,Algeria
16,GK,BENBOT Oussama,Oussama,BENBOT,BENBOT,1994-10-11,USM Alger (ALG),188.0,Algeria
17,DF,BELGHALI Rafik,Rafik,BELGHALI,BELGHALI,2002-06-07,Hellas Verona FC (ITA),180.0,Algeria
18,FW,AMOURA Mohamed,Mohammed Elamine,AMOURA,AMOURA,2000-05-09,VfL Wolfsburg (GER),170.0,Algeria
19,MF,BENTALEB Nabil,Nabil,BENTALEB,BENTALEB,1994-11-24,Lille OSC (FRA),189.0,Algeria
20,FW,BOULBINA Adil,Adil,BOULBINA,BOULBINA,2003-05-02,Al Duhail SC (QAT),183.0,Algeria
21,DF,BENSEBAINI Ramy,Amir Selmane Rami,BENSEBAINI,BENSEBAINI,1995-04-16,Borussia Dortmund (GER),187.0,Algeria
22,MF,MAZA Ibrahim,Ibrahim,MAZA,MAZA,2005-11-24,Bayer 04 Leverkusen (GER),180.0,Algeria
23,GK,ZIDANE Luca,Luca Zinedine,ZIDANE,ZIDANE,1998-05-13,Granada CF (ESP),183.0,Algeria
24,MF,TITRAOUI Yassine,Yassine M E G,TITRAOUI,TITRAOUI,2003-08-26,Sporting Charleroi (BEL),180.0,Algeria
25,FW,GHEDJEMIS Fares,Fares,GHEDJEMIS,GHEDJEMIS,2002-09-06,Frosinone (ITA),183.0,Algeria
26,DF,CHERGUI Samir,Samir Sophian,CHERGUI,CHRGUI,1999-02-06,Paris FC (FRA),185.0,Algeria
,Head coach,,Vladimir,PETKOVIĆ,,,,,Switzerland
