#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,ALISSON,Álisson Ramsés,BECKER,A. BECKER,1992-10-02,Liverpool FC (ENG),193.0,Brazil
2,DF,WESLEY,Wesley,VINÍCIUS FRANÇA LIMA,WESLEY,2003-09-06,AS Roma (ITA),175.0,Brazil
3,DF,GABRIEL MAGALHAES,Gabriel,DOS SANTOS MAGALHÃES,GABRIEL,1997-12-19,Arsenal FC (ENG),190.0,Brazil
4,DF,MARQUINHOS,Marcos,AOAS CORREA,MARQUINHOS,1994-05-14,Paris Saint-Germain (FRA),183.0,Brazil
5,MF,CASEMIRO,Carlos Henrique,CASIMIRO,CASEMIRO,1992-02-23,Manchester United FC (ENG),185.0,Brazil
6,DF,ALEX SANDRO,Alex Sandro,LOBO SILVA,ALEX SANDRO,1991-01-26,CR Flamengo (BRA),180.0,Brazil
7,FW,VINICIUS JUNIOR,Vinicius José,PAIXÃO DE OLIVEIRA JÚNIOR,VINI JR.,2000-07-12,Real Madrid C. F. (ESP),176.0,Brazil
8,MF,BRUNO GUIMARAES,Bruno,GUIMARÃES RODRIGUEZ MOURA,BRUNO G.,1997-11-16,Newcastle United FC (ENG),182.0,Brazil
9,FW,MATHEUS CUNHA,Matheus,SANTOS CARNEIRO DA CUNHA,CUNHA,1999-05-27,Manchester United FC (ENG),183.0,Brazil
10,FW,NEYMAR JR,Neymar,DA SILVA SANTOS JÚNIOR,NEYMAR JR,1992-02-05,Santos FC (BRA),175.0,Brazil
11,FW,RAPHINHA,Raphael,DIAS BELLOLI,RAPHINHA,1996-12-14,FC Barcelona (ESP),176.0,Brazil
12,GK,WEVERTON,Weverton,PEREIRA DA SILVA,WEVERTON,1987-12-13,Grêmio FBPA (BRA),189.0,Brazil
13,DF,DANILO,Danilo Luiz,DA SILVA,DANILO,1991-07-15,CR Flamengo (BRA),184.0,Brazil
14,DF,BREMER,Gleison Bremer,SILVA NASCIMENTO,BREMER,1997-03-18,Juventus FC (ITA),188.0,Brazil
15,DF,LEO PEREIRA,Leonardo,PEREIRA,LÉO PEREIRA,1996-01-31,CR Flamengo (BRA),189.0,Brazil
16,DF,DOUGLAS SANTOS,Douglas,DOS SANTOS JUSTINO DE MELO,DOUGLAS S.,1994-03-22,FC Zenit St. Petersburg (RUS),173.0,Brazil
17,MF,FABINHO,Fabio Henrique,TAVARES,FABINHO,1993-10-23,Al Ittihad (KSA),188.0,Brazil
18,MF,DANILO SANTOS,Danilo,DOS SANTOS DE OLIVEIRA,DANILO S.,2001-04-29,Botafogo (BRA),177.0,Brazil
19,FW,ENDRICK,Endrick Felipe,MOREIRA DE SOUSA PESSOA,ENDRICK,2006-07-21,Olympique Lyonnais (FRA),172.0,Brazil
20,MF,LUCAS PAQUETA,Lucas,TOLENTINO COELHO DE LIMA,L. PAQUETÁ,1997-08-27,CR Flamengo (BRA),183.0,Brazil
21,FW,LUIZ HENRIQUE,Luiz Henrique André,ROSA DA SILVA,L. HENRIQUE,2001-01-02,FC Zenit St. Petersburg (RUS),182.0,Brazil
22,FW,GABRIEL MARTINELLI,Gabriel,TEODORO MARTINELLI SILVA,MARTINELLI,2001-06-18,Arsenal FC (ENG),178.0,Brazil
23,GK,EDERSON,Ederson,SANTANA DE MORAES,EDERSON,1993-08-17,Fenerbahçe SK (TUR),188.0,Brazil
24,DF,ROGER IBANEZ,Roger,IBAÑEZ DA SILVA,IBAÑEZ,1998-11-23,Al Ahli FC (KSA),186.0,Brazil
25,FW,IGOR THIAGO,Igor Thiago,NASCIMENTO RODRIGUES,THIAGO,2001-06-26,Brentford FC (ENG),190.0,Brazil
26,FW,RAYAN,Rayan Vitor,SIMPLICIO ROCHA,RAYAN,2006-08-03,AFC Bournemouth (ENG),187.0,Brazil
,Head coach,,Carlo,ANCELOTTI,,,,,Italy
