#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,VOZINHA,Josimar José,ÉVORA DIAS,VOZINHA,1986-06-03,GD Chaves (POR),189.0,Cabo Verde
2,DF,STOPIRA,Ianique,DOS SANTOS TAVARES,STOPIRA,1988-05-20,SCU Torreense (POR),178.0,Cabo Verde
3,DF,DINEY BORGES,Edilson Alberto,MONTEIRO SANCHES BORGES,BORGES,1995-01-17,Al Bataeh Club (UAE),185.0,Cabo Verde
4,DF,PICO LOPES,Roberto Carlos,LOPES,LOPES,1992-06-17,Shamrock Rovers FC (IRL),186.0,Cabo Verde
5,DF,LOGAN COSTA,Logan Evans,COSTA,COSTA,2001-04-01,Villarreal CF (ESP),190.0,Cabo Verde
6,MF,KEVIN PINA,Kevin Lenini,GONÇALVES PEREIRA DE PINA,KEVIN L.,1997-01-27,FC Krasnodar (RUS),177.0,Cabo Verde
7,MF,JOVANE CABRAL,Jovane Eduardo,BORGES CABRAL,JOVANE,1998-06-14,CF Estrela Da Amadora (POR),174.0,Cabo Verde
8,MF,JOAO PAULO,João Paulo,MOREIRA FERNANDES,JOÃO PAULO,1998-05-26,FC FCSB (ROU),180.0,Cabo Verde
9,FW,GILSON BENCHIMOL,Gilson,BENCHIMOL TAVARES,BENCHIMOL,2001-12-29,FC Akron Tolyatti (RUS),187.0,Cabo Verde
10,MF,JAMIRO MONTEIRO,Jamiro Gregory,MONTEIRO ALVARENGA,MONTEIRO,1993-11-23,PEC Zwolle (NED),175.0,Cabo Verde
11,MF,GARRY RODRIGUES,Garry,MENDES RODRIGUES,RODRIGUES,1990-11-27,Apollon Limassol (CYP),173.0,Cabo Verde
12,GK,MARCIO ROSA,Márcio Salomão,BRAZÃO DA ROSA,MARCIO,1997-02-23,PFC Montana (BUL),186.0,Cabo Verde
13,DF,SIDNY LOPES CABRAL,Sidny,LOPES CABRAL,LOPES CABRAL,2002-09-18,SL Benfica (POR),176.0,Cabo Verde
14,MF,DEROY DUARTE,Deroy,D'ENCARNAÇÃO DUARTE,D. DUARTE,1999-07-04,PFC Ludogorets Razgrad (BUL),177.0,Cabo Verde
15,MF,LAROS DUARTE,Laros Michael,D'ENCARNAÇÃO DUARTE,L. DUARTE,1997-02-28,Puskás Akadémia FC (HUN),180.0,Cabo Verde
16,MF,YANNICK SEMEDO,Jair,SEMEDO MONTEIRO,Y. SEMEDO,1995-12-29,SC Farense (POR),176.0,Cabo Verde
17,MF,WILLY SEMEDO,Willy Johnson,SEMEDO AFONSO,SEMEDO,1994-04-27,AC Omonia (CYP),185.0,Cabo Verde
18,MF,TELMO ARCANJO,Telmo Emanuel,GOMES ARCANJO,ARCANJO,2001-06-21,Vitória SC (POR),180.0,Cabo Verde
19,FW,DAILON LIVRAMENTO,Dailon,ROCHA LIVRAMENTO,LIVRAMENTO,2001-05-04,Casa Pia AC (POR),185.0,Cabo Verde
20,FW,RYAN MENDES,Ryan Isaac,DA GRACA MENDES,RYAN,1990-01-08,Iğdır FK (TUR),178.0,Cabo Verde
21,MF,NUNO DA COSTA,Nuno Miguel,DA COSTA JOIA,DA COSTA,1991-02-10,Başakşehir FK (TUR),182.0,Cabo Verde
22,DF,STEVEN MOREIRA,Steven,MOREIRA,MOREIRA,1994-08-13,Columbus Crew (USA),178.0,Cabo Verde
23,GK,CJ DOS SANTOS,Carlos Joaquim,ANTUNES DOS SANTOS,DOS SANTOS,2000-08-24,San Diego FC (USA),189.0,Cabo Verde
24,DF,WAGNER PINA,Wagner Fabricio,CARDOSO DE PINA,WAGNER P.,2002-11-03,Trabzonspor (TUR),180.0,Cabo Verde
25,DF,KELVIN PIRES,Kelvin,SPENCER PIRES,KELVIN,2000-06-05,SJK (FIN),193.0,Cabo Verde
26,MF,HELIO VARELA,Hélio Sandro,OLIVEIRA ALVES VARELA,HÉLIO,2002-05-03,Maccabi Tel-Aviv FC (ISR),176.0,Cabo Verde
,Head coach,,Pedro,LEITÃO BRITO,,,,,Cabo Verde
