#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,ST. CLAIR Dayne,Dayne Tristan,ST. CLAIR,ST. CLAIR,1997-05-09,Inter Miami CF (USA),191.0,Canada
2,DF,JOHNSTON Alistair,Alistair William,JOHNSTON,JOHNSTON,1998-10-08,Celtic FC (SCO),180.0,Canada
3,DF,JONES Alfie,Alfie Charles,JONES,JONES,1997-10-07,Middlesbrough FC (ENG),191.0,Canada
4,DF,DE FOUGEROLLES Luc,Luc,ROLLET DE FOUGEROLLES,DE FOUGEROLLES,2005-10-12,FCV Dender EH (BEL),183.0,Canada
5,DF,WATERMAN Joel,Joel Robert,WATERMAN,WATERMAN,1996-01-24,Chicago Fire FC (USA),185.0,Canada
6,MF,CHOINIERE Mathieu,Mathieu,CHOINIÈRE,CHOINIÈRE,1999-02-07,LAFC (USA),173.0,Canada
7,MF,EUSTAQUIO Stephen,Stephen,ANTUNES EUSTÁQUIO,EUSTÀQUIO,1996-12-21,LAFC (USA),175.0,Canada
8,MF,KONE Ismael,Ismael Kenneth Jordan,KONÉ,KONÉ,2002-06-16,US Sassuolo (ITA),188.0,Canada
9,FW,LARIN Cyle,Cyle Christopher,LARIN,LARIN,1995-04-17,Southampton FC (ENG),188.0,Canada
10,FW,DAVID Jonathan,Jonathan Christian,DAVID,J. DAVID,2000-01-14,Juventus FC (ITA),175.0,Canada
11,MF,MILLAR Liam,Liam Alan,MILLAR,MILLAR,1999-09-27,Hull City FC (ENG),176.0,Canada
12,FW,OLUWASEYI Tani,Tanitoluwa Oluwatimilehin,OLUWASEYI,OLUWASEYI,2000-05-15,Villarreal CF (ESP),187.0,Canada
13,DF,CORNELIUS Derek,Derek Austin,CORNELIUS,CORNELIUS,1997-11-25,Rangers FC (SCO),186.0,Canada
14,MF,SHAFFELBURG Jacob,Jacob Everett,SHAFFELBURG,SHAFFELBURG,1999-11-26,LAFC (USA),181.0,Canada
15,DF,BOMBITO Moise,Moïse Bombito,LUMPUNGU,BOMBITO,2000-03-30,OGC Nice (FRA),190.0,Canada
16,GK,CREPEAU Maxime,Maxime,CRÉPEAU,CRÉPEAU,1994-05-11,Orlando City SC (USA),185.0,Canada
17,FW,BUCHANAN Tajon,Tajon Trevor,BUCHANAN,BUCHANAN,1999-02-08,Villarreal CF (ESP),183.0,Canada
18,GK,GOODMAN Owen,Owen Olamidayo,GOODMAN,GOODMAN,2003-11-27,Barnsley (ENG),193.0,Canada
19,DF,DAVIES Alphonso,Alphonso Boyle,DAVIES,DAVIES,2000-11-02,FC Bayern München (GER),183.0,Canada
20,FW,AHMED Ali,Ali,AHMED,AHMED,2000-10-10,Norwich City FC (ENG),180.0,Canada
21,MF,OSORIO Jonathan,Jonathan,OSORIO,OSORIO,1992-06-12,Toronto FC (CAN),175.0,Canada
22,DF,LARYEA Richie,Richmond Mamah,LARYEA,LARYEA,1995-01-07,Toronto FC (CAN),175.0,Canada
23,DF,SIGUR Niko,Niko Kristian,SIGUR,SIGUR,2003-09-09,HNK Hajduk Split (CRO),178.0,Canada
24,FW,DAVID Promise,Promise Oluwatobi Emmanuel,DAVID,PROMISE,2001-07-03,Royale Union Saint-Gilloise (BEL),195.0,Canada
25,MF,SALIBA Nathan,Nathan-Dylan,SALIBA,SALIBA,2004-02-07,RSC Anderlecht (BEL),174.0,Canada
26,MF,FLORES Marcelo,Marcelo,FLORES,MARCELO,2003-10-01,Tigres UANL (MEX),164.0,Canada
,Head coach,,Jesse Alan,MARSCH,,,,,USA
