#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,MPASI Lionel,Lionel Nzau,MPASI,MPASI,1994-08-01,Le Havre AC (FRA),182.0,Congo DR
2,DF,WAN-BISSAKA Aaron,Wan,BISSAKA,WAN BISSAKA,1997-11-26,West Ham United FC (ENG),183.0,Congo DR
3,DF,KAPUADI Steve,Steve Nkanu,KAPUADI,KAPUADI,1998-04-30,Widzew Łódź (POL),196.0,Congo DR
4,DF,TUANZEBE Axel,Axel,TUANZEBE,TUANZEBE,1997-11-14,Burnley FC (ENG),188.0,Congo DR
5,DF,BATUBINSIKA Dylan,Dylan Buduka,BATUBINSIKA,BATUBINSIKA,1996-02-15,AEL FC (GRE),185.0,Congo DR
6,MF,MUKAU Ngalayel,Ngal’ayel,MUKAU,MUKAU,2004-11-03,Lille OSC (FRA),186.0,Congo DR
7,MF,MBUKU Nathanael,Nathanaël,MBUKU,MBUKU,2002-03-16,Montpellier HSC (FRA),170.0,Congo DR
8,MF,MOUTOUSSAMY Samuel,Samuel Alain,MOUTOUSSAMY,MOUTOUSSAMY,1996-08-12,Atromitos FC (GRE),176.0,Congo DR
9,FW,CIPENGA Brian,Kibambe Brian,CIPENGA,CIPENGA,1998-03-11,CD Castellón (ESP),172.0,Congo DR
10,MF,BONGONDA Theo,Theo Mbulofeko Batombo,BONGONDA,BONGONDA,1995-11-20,FC Spartak Moscow (RUS),176.0,Congo DR
11,FW,KAKUTA Gael,Mambenga Gaël Roméo,KAKUTA,KAKUTA,1991-06-21,AEL FC (GRE),174.0,Congo DR
12,DF,KAYEMBE Joris,Joris,KAYEMBE-DITU,J. KAYEMBE,1994-08-08,KRC Genk (BEL),180.0,Congo DR
13,FW,ELI A Meschack,Meschack Lina,ELI A,ELI A,1997-08-06,Alanyaspor (TUR),173.0,Congo DR
14,MF,SADIKI Noah,Noah Junior,SADIKI,SADIKI,2004-12-17,Sunderland AFC (ENG),165.0,Congo DR
15,MF,TSHIBOLA Aaron,Tshibola,AARON,TSHIBOLA,1995-01-02,Kilmarnock FC (SCO),184.0,Congo DR
16,GK,FAYULU Timothy,Timothy Bruce Munzoko,FAYULU,FAYULU,1999-07-24,FC Noah (ARM),192.0,Congo DR
17,FW,BAKAMBU Cedric,Cedric,BAKAMBU,BAKAMBU,1991-04-11,Real Betis (ESP),182.0,Congo DR
18,MF,PICKEL Charles,Charles Monginda,PICKEL,PICKEL,1997-05-15,RCD Espanyol (ESP),187.0,Congo DR
19,FW,MAYELE Fiston,Mayele Fiston,KALALA,MAYELE,1994-06-24,Pyramids FC (EGY),185.0,Congo DR
20,FW,WISSA Yoane,Yoane,WISSA,WISSA,1996-09-03,Newcastle United FC (ENG),176.0,Congo DR
21,GK,EPOLO Matthieu,Matthieu Luka,EPOLO,EPOLO,2005-01-15,Standard Liège (BEL),183.0,Congo DR
22,DF,MBEMBA Chancel,Mangulu Chancel,MBEMBA,MBEMBA,1994-08-08,Lille OSC (FRA),182.0,Congo DR
23,FW,BANZA Simon,Simon Bokote,BANZA,BANZA,1996-08-13,Al Jazira (UAE),189.0,Congo DR
24,DF,KALULU Gedeon,Gédéon Tchingoma Kyatengwa,KALULU,G. KALULU,1997-08-29,Aris Limassol FC (CYP),178.0,Congo DR
25,MF,KAYEMBE Edo,Edo Kayembe,KAYEMBE,KAYEMBE,1998-06-03,Watford FC (ENG),183.0,Congo DR
26,DF,MASUAKU Arthur,Arthur Fuka,MASUAKU KAWELA,MASUAKU,1993-11-07,RC Lens (FRA),179.0,Congo DR
,Head coach,,Sebastien Serge Louis,DESABRE,,,,,France
