#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,ROOM Eloy,Eloy Victor,ROOM,ROOM,1989-02-06,Miami FC (USA),190.0,Curaçao
2,DF,SAMBO Shurandy,Shurandy Ruggerio,SAMBO,SAMBO,2001-08-19,Sparta Rotterdam (NED),174.0,Curaçao
3,DF,GAARI Jurien,Juriën Godfried Juan,GAARI,GAARI,1993-12-23,Abha Club (KSA),183.0,Curaçao
4,DF,VAN EIJMA Roshon,Roshon Felix Romar Jordan,VAN EIJMA,VAN EIJMA,1998-06-09,RKC Waalwijk (NED),186.0,Curaçao
5,DF,FLORANUS Sherel,Sherel Constancio,FLORANUS,FLORANUS,1998-08-23,PEC Zwolle (NED),181.0,Curaçao
6,MF,ROEMERATOE Godfried,Godfried,ROEMERATOE,ROEMERATOE,1999-08-19,RKC Waalwijk (NED),178.0,Curaçao
7,MF,BACUNA Juninho,Juninho Gracielo,BACUNA,J. BACUNA,1997-08-07,FC Volendam (NED),178.0,Curaçao
8,MF,COMENENCIA Livano,Livano Shyron Liomar,COMENENCIA,COMENENCIA,2004-02-03,FC Zürich (SUI),185.0,Curaçao
9,FW,LOCADIA Juergen,Jürgen Leonardo,LOCADIA,LOCADIA,1993-11-07,Miami FC (USA),193.0,Curaçao
10,MF,BACUNA Leandro,Leandro Jones Johan,BACUNA,L. BACUNA,1991-08-21,Iğdır FK (TUR),180.0,Curaçao
11,FW,ANTONISSE Jeremy,Jeremy Cornelis Jacobus,ANTONISSE,ANTONISSE,2002-03-29,AE Kifisia FC (GRE),164.0,Curaçao
12,FW,HANSEN Sontje,Misjonne Juniffer Naigelino,HANSEN,HANSEN,2002-05-18,Middlesbrough FC (ENG),176.0,Curaçao
13,FW,NOSLIN Tyrese,Tyrese Yurvencey,NOSLIN,NOSLIN,2002-09-11,SC Telstar (NED),182.0,Curaçao
14,FW,GORRE Kenji,Kenji Joel,GORRE,GORRE,1994-09-29,Maccabi Haifa FC (ISR),174.0,Curaçao
15,MF,MARTHA Arjany,Ar'jany Jainel Archenir,MARTHA,MARTHA,2003-09-04,Rotherham United FC (ENG),180.0,Curaçao
16,FW,MARGARITHA Jearl,Jearl Erwin,MARGARITHA,MARGARITHA,2000-04-10,SK Beveren (BEL),181.0,Curaçao
17,FW,KUWAS Brandley,Brandley Mack-Olien,KUWAS,KUWAS,1992-09-19,FC Volendam (NED),181.0,Curaçao
18,DF,OBISPO Armando,Armando Maria,OBISPO,OBISPO,1999-03-05,PSV Eindhoven (NED),185.0,Curaçao
19,FW,KASTANEER Gervane,Gervane Zjandric Adonnis,KASTANEER,KASTANEER,1996-06-09,Terengganu FC (MAS),189.0,Curaçao
20,DF,BRENET Joshua,Joshua Benjamin,BRENET,BRENET,1994-03-20,Kayserispor (TUR),181.0,Curaçao
21,MF,CHONG Tahith,Tahith Jose Girigorio Djorkaef,CHONG,CHONG,1999-12-04,Shefeld United FC (ENG),185.0,Curaçao
22,MF,FELIDA Kevin,Kevin Antonio,FELIDA,FELIDA,1999-11-11,FC Den Bosch (NED),174.0,Curaçao
23,DF,BAZOER Riechedly,Riechedly Guillermo,BAZOER,BAZOER,1996-10-12,Konyaspor (TUR),184.0,Curaçao
24,DF,FONVILLE Deveron,Deveron Lenny,FONVILLE,FONVILLE,2003-05-16,NEC Nijmegen (NED),188.0,Curaçao
25,GK,BODAK Tyrick,Tyrick Jeremy,BODAK,BODAK,2002-05-15,SC Telstar (NED),190.0,Curaçao
26,GK,DOORNBUSCH Trevor,Trevor Irving,DOORNBUSCH,DOORNBUSCH,1999-07-06,VVV Venlo (NED),188.0,Curaçao
,Head coach,,Dirk Nicolaas,ADVOCAAT,,,,,Netherlands
