#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,GALINDEZ Hernan,Hernán Ismael,GALÍNDEZ,GALINDEZ,1987-03-30,CA Huracán (ARG),189.0,Ecuador
2,DF,TORRES Felix,Félix Eduardo,TORRES CAICEDO,TORRES,1997-01-11,SC Internacional (BRA),187.0,Ecuador
3,DF,HINCAPIE Piero,Piero Martin,HINCAPIÉ REYNA,HINCAPIE,2002-01-09,Arsenal FC (ENG),183.0,Ecuador
4,DF,ORDONEZ Joel,Joel Leandro,ORDÓÑEZ GUERRERO,ORDÓÑEZ,2004-04-21,Club Brugge (BEL),188.0,Ecuador
5,MF,ALCIVAR Jordy,Jordy Jose,ALCÍVAR MACÍAS,ALCIVAR,1999-08-05,Independiente Del Valle (ECU),168.0,Ecuador
6,DF,PACHO Willian,Willian Joel,PACHO TENORIO,PACHO,2001-10-16,Paris Saint-Germain (FRA),188.0,Ecuador
7,DF,ESTUPINAN Pervis,Pervis Josue,ESTUPIÑÁN TENORIO,ESTUPIÑÁN,1998-01-21,AC Milan (ITA),175.0,Ecuador
8,MF,VALENCIA Anthony,Anthony Lenin,VALENCIA BAJAÑA,A. VALENCIA,2003-07-21,Royal Antwerp FC (BEL),173.0,Ecuador
9,FW,YEBOAH John,John,YEBOAH ZAMORA,YEBOAH ZAMORA,2000-06-23,Venezia FC (ITA),170.0,Ecuador
10,MF,PAEZ Kendry,Ray Kendry,PAEZ ANDRADE,PAEZ,2007-05-04,CA River Plate (ARG),178.0,Ecuador
11,FW,RODRIGUEZ Kevin,Kevin Jose,RODRÍGUEZ CORTEZ,RODRIGUEZ,2000-03-04,Royale Union Saint-Gilloise (BEL),190.0,Ecuador
12,GK,RAMIREZ Moises,Wellington Moisés,RAMÍREZ PRECI ADO,RAMÍREZ,2000-09-09,AE Kifisia FC (GRE),185.0,Ecuador
13,FW,VALENCIA Enner,Enner Remberto,VALENCIA LASTRA,E. VALENCIA,1989-11-04,CF Pachuca (MEX),177.0,Ecuador
14,MF,MINDA Alan,Alan Steve,MINDA GARCIA,MINDA,2003-05-14,Atlético Mineiro (BRA),174.0,Ecuador
15,MF,VITE Pedro,Pedro Jeampierre,VITE UCA,VITE,2002-03-09,Pumas UNAM (MEX),172.0,Ecuador
16,FW,CAICEDO Jordy,Jordy Josue,CAICEDO MEDINA,J. CAICEDO,1997-11-18,CA Huracán (ARG),186.0,Ecuador
17,DF,PRECI ADO Angelo,Ángelo Smit,PRECI ADO QUIÑONEZ,PRECI ADO,1998-02-18,Atlético Mineiro (BRA),174.0,Ecuador
18,MF,CASTILLO Denil,Denil Daniel,CASTILLO PRECI ADO,CASTILLO,2004-03-24,FC Midtjylland (DEN),189.0,Ecuador
19,FW,PLATA Gonzalo,Gonzalo Jordy,PLATA JIMENEZ,PLATA,2000-11-01,CR Flamengo (BRA),178.0,Ecuador
20,FW,ANGULO Nilson,Nilson David,ANGULO RAMIREZ,ANGULO,2003-06-19,Sunderland AFC (ENG),184.0,Ecuador
21,MF,FRANCO Alan,Alan Steven,FRANCO PALMA,FRANCO,1998-08-21,Atlético Mineiro (BRA),175.0,Ecuador
22,GK,VALLE Gonzalo,Gonzalo Roberto,VALLE BUSTAMANTE,VALLE,1996-02-28,LDU Quito (ECU),186.0,Ecuador
23,MF,CAICEDO Moises,Moisés Isaac,CAICEDO COROZO,M. CAICEDO,2001-11-02,Chelsea FC (ENG),178.0,Ecuador
24,FW,AREVALO Jeremy,Jeremy Alberto,AREVALO MERA,AREVALO,2005-03-19,VfB Stuttgart (GER),182.0,Ecuador
25,DF,POROZO Jackson,Jackson Gabriel,POROZO VERNAZA,POROZO,2000-08-04,Club Tijuana (MEX),192.0,Ecuador
26,DF,MEDINA Yaimar,Yaimar Abel,MEDINA ORTIZ,MEDINA,2004-11-05,KRC Genk (BEL),173.0,Ecuador
,Head coach,,Sebastián Andrés,BECCACECE,,,,,Argentina
