#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,NEUER Manuel,Manuel Peter,NEUER,NEUER,1986-03-27,FC Bayern München (GER),193.0,Germany
2,DF,RUEDIGER Antonio,Antonio,RÜDIGER,RÜDIGER,1993-03-03,Real Madrid C. F. (ESP),190.0,Germany
3,DF,ANTON Waldemar,Waldemar,ANTON,ANTON,1996-07-20,Borussia Dortmund (GER),189.0,Germany
4,DF,TAH Jonathan,Jonathan Glao,TAH,TAH,1996-02-11,FC Bayern München (GER),195.0,Germany
5,MF,PAVLOVIC Aleksandar,Aleksandar,PAVLOVIĆ,PAVLOVIĆ,2004-05-03,FC Bayern München (GER),188.0,Germany
6,DF,KIMMICH Joshua,Joshua Walter,KIMMICH,KIMMICH,1995-02-08,FC Bayern München (GER),177.0,Germany
7,FW,HAVERTZ Kai,Kai Lukas,HAVERTZ,HAVERTZ,1999-06-11,Arsenal FC (ENG),190.0,Germany
8,MF,GORETZKA Leon,Leon Christoph,GORETZKA,GORETZKA,1995-02-06,FC Bayern München (GER),189.0,Germany
9,MF,LEWELING Jamie,Jamie Jaleel Jeremy,LEWELING,LEWELING,2001-02-26,VfB Stuttgart (GER),185.0,Germany
10,MF,MUSIALA Jamal,Jamal,MUSIALA,MUSIALA,2003-02-26,FC Bayern München (GER),180.0,Germany
11,FW,WOLTEMADE Nick,Nick,WOLTEMADE,WOLTEMADE,2002-02-14,Newcastle United FC (ENG),198.0,Germany
12,GK,BAUMANN Oliver,Oliver,BAUMANN,BAUMANN,1990-06-02,TSG Hoffenheim (GER),187.0,Germany
13,MF,GROSS Pascal,Pascal Alexander,GROß,GROß,1991-06-15,Brighton & Hove Albion FC (ENG),181.0,Germany
14,FW,BEIER Maximilian,Maximilian,BEIER,BEIER,2002-10-17,Borussia Dortmund (GER),185.0,Germany
15,DF,SCHLOTTERBECK Nico,Nico Cédric,SCHLOTTERBECK,SCHLOTTERBECK,1999-12-01,Borussia Dortmund (GER),191.0,Germany
16,MF,STILLER Angelo,Angelo Nicolas,STILLER,STILLER,2001-04-04,VfB Stuttgart (GER),183.0,Germany
17,MF,WIRTZ Florian,Florian Richard,WIRTZ,WIRTZ,2003-05-03,Liverpool FC (ENG),176.0,Germany
18,DF,BROWN Nathaniel,Nathaniel Christopher,BROWN,BROWN,2003-06-16,Eintracht Frankfurt (GER),176.0,Germany
19,MF,SANE Leroy,Leroy Aziz,SANÉ,SANÉ,1996-01-11,Galatasaray SK (TUR),183.0,Germany
20,MF,AMIRI Nadiem,Nadiem,AMIRI,AMIRI,1996-10-27,1 . FSV Mainz 05 (GER),178.0,Germany
21,GK,NUEBEL Alexander,Alexander,NÜBEL,NÜBEL,1996-09-30,VfB Stuttgart (GER),193.0,Germany
22,DF,RAUM David,David,RAUM,RAUM,1998-04-22,RB Leipzig (GER),180.0,Germany
23,MF,NMECHA Felix,Felix Kalu,NMECHA,NMECHA,2000-10-10,Borussia Dortmund (GER),190.0,Germany
24,DF,THIAW Malick,Malick,THIAW,THIAW,2001-08-08,Newcastle United FC (ENG),194.0,Germany
25,MF,OUEDRAOGO Assan,Forzan Assan,OUEDRAOGO,OUÉDRAOGO,2006-05-09,RB Leipzig (GER),191.0,Germany
26,FW,UNDAV Deniz,Deniz,UNDAV,UNDAV,1996-07-19,VfB Stuttgart (GER),179.0,Germany
,Head coach,,Julian,NAGELSMANN,,,,,Germany
