#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,FAHAD TALIB,Fahad Talib Raheem,RAHEEM,FAHAD,1994-10-21,Al Talaba SC (IRQ),192.0,Iraq
2,DF,REBIN SULAKA,Rebin Ghareeb Solaka,ADHAMAT,REBIN,1992-04-12,Port FC (THA),193.0,Iraq
3,DF,HUSSEIN ALI,Hussein Haydar Hussein,ALI,HUSSEIN,2002-03-01,Pogoń Szczecin (POL),182.0,Iraq
4,DF,ZAID TAHSEEN,Zaid Tahseen Abd Zaid,HANTOOSH,ZAID T.,2001-01-29,Pakhtakor Tashkent FK (UZB),187.0,Iraq
5,DF,AKAM HASHIM,Akam Hashim Rahman,RAHMAN,AKAM,1998-08-16,Al Zawra'a SC (IRQ),184.0,Iraq
6,DF,MUNAF YOUNUS,Munaf Younus Hashim,AL-TEKREETI,MUNAF,1996-11-16,Al Shorta SC (IRQ),184.0,Iraq
7,MF,YOUSSEF AMYN,Youssef Wali Faeq,AMYN,YOUSSEF,2003-08-21,AEK Larnaca FC (CYP),172.0,Iraq
8,MF,IBRAHIM BAYESH,Ibrahim Bayesh Kamil,AL-KAABAWI,IBRAHIM,2000-05-01,Al Dhafra SCC (UAE),180.0,Iraq
9,FW,ALI ALHAMADI,Ali Ibrahim Karim,ALZUBAIDI,AL-HAMADI,2002-03-01,Luton Town FC (ENG),187.0,Iraq
10,FW,MOHANAD ALI,Mohanad Ali Kadhim,AL-SHAMMARI,MOHANAD,2000-06-20,Dibba FC (UAE),183.0,Iraq
11,FW,AHMED QASIM,Ahmed Ihab Ahmed,AHMED,AHMED Q.,2003-07-12,Nashville SC (USA),183.0,Iraq
12,GK,JALAL HASSAN,Jalal Hasan Hachim,HACHIM,JALAL,1991-05-18,Al Zawra'a SC (IRQ),188.0,Iraq
13,FW,ALI YOUSIF,Ali Yousif Hashim,NAJATEE,ALI Y.,1996-01-19,Al Talaba SC (IRQ),180.0,Iraq
14,MF,ZIDANE IQBAL,Zidane Aamar Iqbal,IQBAL,Z.IQBAL,2003-04-27,FC Utrecht (NED),183.0,Iraq
15,DF,AHMED MAKNAZI,Ahmed Hasan Maknazi,AL-DEESHAWEE,MAKNAZI,2001-09-24,Al Karma SC (IRQ),183.0,Iraq
16,MF,AMIR ALAMMARI,Amir Fouad Aboud,AL-AMMARI,AL-AMMARI,1997-07-27,KS Cracovia (POL),180.0,Iraq
17,FW,ALI JASIM,Ali Jasim Elaibi,AL-TAMEEMI,ALI J.,2004-01-20,Al Najmah SC (KSA),178.0,Iraq
18,FW,AYMEN HUSSEIN,Aymen Hussein Ghadhban,GHADHBAN,AYMEN,1996-03-22,Al Karma SC (IRQ),190.0,Iraq
19,MF,KEVIN YAKOB,Kevin Enkido Yakob William,WILLI AM,K. YAKOB,2000-10-10,Aarhus GF (DEN),180.0,Iraq
20,MF,AIMAR SHER,Aimar Hazar Anwar,SHER,AIMAR,2002-12-20,Sarpsborg 08 FF (NOR),180.0,Iraq
21,FW,MARKO FARJI,Marko Jabbar Hussein,HUSSEIN,MARKO,2004-03-16,Venezia FC (ITA),185.0,Iraq
22,GK,AHMED BASIL,Ahmed Basil Fadhil,AL-FADHLI,AHMED B.,1996-08-19,Al Shorta SC (IRQ),184.0,Iraq
23,DF,MERCHAS DOSKI,Merchas Ghazi Salih,SALIH,DOSKI,1999-12-07,FC Viktoria Plzeň (CZE),173.0,Iraq
24,MF,ZAID ISMAEL,Zaid Ismael Khaleel,AL-DULAIMI,ZAID I.,2002-01-03,Al Talaba SC (IRQ),185.0,Iraq
25,DF,MUSTAFA SAADOON,Mustafa Saadoon Abbood,AL KORJI,MUSTAFA,2001-05-25,Al Shorta SC (IRQ),181.0,Iraq
26,DF,FRANS PUTROS,Frans Dhia Jirjis,HADDAD,FRANS,1993-07-14,Persib Bandung (IDN),182.0,Iraq
,Head coach,,Graham James,ARNOLD,,,,,Australia
