#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,FOFANA Yahia,Yahia,FOFANA,Y. FOFANA,2000-08-21,Çaykur Rizespor (TUR),194.0,Côte D'Ivoire
2,DF,DIOMANDE Ousmane,Ousmane,DIOMANDE,O. DIOMANDE,2003-12-04,Sporting CP (POR),190.0,Côte D'Ivoire
3,DF,KONAN Ghislain,N'clomande Ghislain,KONAN,G. KONAN,1995-12-27,Gil Vicente FC (POR),176.0,Côte D'Ivoire
4,MF,SERI Jean Michael,Jean Michael,SERI,SERI,1991-07-19,NK Maribor (SVN),168.0,Côte D'Ivoire
5,DF,SINGO Wilfried,Wilfried Stephane,SINGO,SINGO,2000-12-25,Galatasaray SK (TUR),182.0,Côte D'Ivoire
6,MF,FOFANA Seko,Seko Mohamed,FOFANA,FOFANA,1995-05-07,FC Porto (POR),185.0,Côte D'Ivoire
7,DF,KOSSOUNOU Odilon,Kouakou Odilon Dorgeless,KOSSOUNOU,KOSSOUNOU,2001-01-04,Atalanta Bergamo (ITA),191.0,Côte D'Ivoire
8,MF,KESSIE Franck,Franck Yannick,KESSIE,KESSIE,1996-12-19,Al Ahli FC (KSA),183.0,Côte D'Ivoire
9,FW,BONNY Ange-Yoan,Ange-Yoan Laurent,BONNY,BONNY,2003-10-25,FC Internazionale Milano (ITA),189.0,Côte D'Ivoire
10,FW,ADINGRA Simon,Simon,ADINGRA,ADINGRA,2002-01-01,AS Monaco (FRA),175.0,Côte D'Ivoire
11,FW,DIOMANDE Yan,Yan,DIOMANDE,YAN DIOMANDE,2006-11-14,RB Leipzig (GER),180.0,Côte D'Ivoire
12,FW,WAHI Elye,Sepe Elye Delmas,WAHI,WAHI,2003-01-02,OGC Nice (FRA),181.0,Côte D'Ivoire
13,DF,OPERI Christopher,Christopher Tea Domoraud,OPERI,OPERI,1997-04-29,Başakşehir FK (TUR),183.0,Côte D'Ivoire
14,FW,DI AKITE Oumar,Oumar,DI AKITE,DI AKITE,2003-12-20,Cercle Brugge (BEL),182.0,Côte D'Ivoire
15,FW,DIALLO Amad,Amad,DIALLO,AMAD,2002-07-11,Manchester United FC (ENG),173.0,Côte D'Ivoire
16,GK,KONE Mohamed,Mohamed,KONE,KONE,2002-03-07,Sporting Charleroi (BEL),186.0,Côte D'Ivoire
17,DF,DOUE Guela,Guela Maho-Lewis,DOUE,G. DOUE,2002-10-17,RC Strasbourg (FRA),187.0,Côte D'Ivoire
18,MF,SANGARE Ibrahim,Ibrahim,SANGARE,SANGARE,1997-12-02,Nottingham Forest FC (ENG),191.0,Côte D'Ivoire
19,FW,PEPE Nicolas,Nicolas,PEPE,PEPE,1995-05-29,Villarreal CF (ESP),183.0,Côte D'Ivoire
20,DF,AGBADOU Emmanuel,Badobre Emmanuel Elysee Djedje,AGBADOU,AGBADOU,1997-06-17,Beşiktaş JK (TUR),185.0,Côte D'Ivoire
21,DF,NDICKA Evan,Obite Evan,NDICKA,NDICKA,1999-08-20,AS Roma (ITA),192.0,Côte D'Ivoire
22,FW,GUESSAND Evann,Evann Ludovic Vidjannagni,GUESSAND,GUESSAND,2001-07-01,Crystal Palace FC (ENG),188.0,Côte D'Ivoire
23,GK,LAFONT Alban,Alban-Marc,LAFONT,LAFONT,1999-01-23,Panathinaikos FC (GRE),196.0,Côte D'Ivoire
24,FW,TOURE Bazoumana,Bazoumana,TOURE,TOURE,2006-03-02,TSG Hoffenheim (GER),178.0,Côte D'Ivoire
25,MF,GUIAGON Parfait,Parfait,GUIAGON,GUIAGON,2001-02-22,Sporting Charleroi (BEL),165.0,Côte D'Ivoire
26,MF,OULAI Christ Inao,Christ Ravynel Inao,OULAI,INAO,2006-04-06,Trabzonspor (TUR),173.0,Côte D'Ivoire
,Head coach,,Emerse,FAE,,,,,Côte D'Ivoire
