#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,CROCOMBE Max,Maxime Teremoana,CROCOMBE,CROCOMBE,1993-08-12,Millwall FC (ENG),190.0,New Zealand
2,DF,PAYNE Tim,Timothy John,PAYNE,PAYNE,1994-01-10,Wellington Phoenix FC (NZL),179.0,New Zealand
3,DF,DE VRIES Francis,Francis,DE VRIES,DE VRIES,1994-11-28,Auckland FC (NZL),181.0,New Zealand
4,DF,BINDON Tyler,Tyler Grant,BINDON,BINDON,2005-01-27,Shefeld United FC (ENG),190.0,New Zealand
5,DF,BOXALL Michael,Michael Joseph,BOXALL,BOXALL,1988-08-18,Minnesota United FC (USA),191.0,New Zealand
6,MF,BELL Joe,Joe Zen Robert,BELL,BELL,1999-04-27,Viking Stavanger (NOR),182.0,New Zealand
7,MF,GARBETT Matthew,Matthew Jimmy David,GARBETT,GARBETT,2002-04-13,Peterborough United FC (ENG),192.0,New Zealand
8,MF,STAMENIC Marko,Marko Seufatu Nikola,STAMENIC,STAMENIC,2002-02-19,Swansea City AFC (WAL),188.0,New Zealand
9,FW,WOOD Chris,Christopher Grant,WOOD,WOOD,1991-12-07,Nottingham Forest FC (ENG),191.0,New Zealand
10,MF,SINGH Sarpreet,Sarpreet,SINGH,SINGH,1999-02-20,Wellington Phoenix FC (NZL),180.0,New Zealand
11,MF,JUST Elijah,Elijah Henry,JUST,JUST,2000-05-01,Motherwell FC (SCO),176.0,New Zealand
12,GK,PAULSEN Alex,Alexander Noah,PAULSEN,PAULSEN,2002-07-04,Lechia Gdańsk (POL),193.0,New Zealand
13,DF,CACACE Liberato,Liberato Gianpaolo,CACACE,CACACE,2000-09-27,Wrexham AFC (WAL),182.0,New Zealand
14,MF,RUFER Alex,Alex Arthur,RUFER,RUFER,1996-06-12,Wellington Phoenix FC (NZL),180.0,New Zealand
15,DF,PIJNAKER Nando,Nando Zen,PIJNAKER,PIJNAKER,1999-02-25,Auckland FC (NZL),185.0,New Zealand
16,DF,SURMAN Finn,Finn,SURMAN,SURMAN,2003-09-23,Portland Timbers (USA),190.0,New Zealand
17,FW,BARBAROUSES Kosta,Kosta,BARBAROUSES,BARBAROUSES,1990-02-19,WS Wanderers FC (AUS),171.0,New Zealand
18,FW,WAINE Ben,Benjamin Peter,WAINE,WAINE,2001-06-11,Port Vale FC (ENG),185.0,New Zealand
19,MF,OLD Ben,Benjamin Craig,OLD,OLD,2002-08-13,AS Saint-Etienne (FRA),173.0,New Zealand
20,MF,McCOWATT Callum,Callum William,MCCOWATT,MCCOWATT,1999-04-30,Silkeborg IF (DEN),180.0,New Zealand
21,FW,RANDALL Jesse,Jesse Carmichael,RANDALL,RANDALL,2002-08-19,Auckland FC (NZL),176.0,New Zealand
22,GK,WOUD Michael,Michael Cornelis,WOUD,WOUD,1999-01-16,Auckland FC (NZL),196.0,New Zealand
23,MF,THOMAS Ryan,Ryan Jared,THOMAS,THOMAS,1994-12-20,PEC Zwolle (NED),176.0,New Zealand
24,DF,ELLIOT Callan,Callan Rennie,ELLIOT,ELLIOT,1999-07-07,Auckland FC (NZL),177.0,New Zealand
25,MF,BAYLISS Lachlan,Lachlan Ryan,BAYLISS,BAYLISS,2002-07-24,Newcastle United Jets FC (AUS),178.0,New Zealand
26,DF,SMITH Tommy,Thomas Jefferson,SMITH,SMITH,1990-03-31,Braintree Town FC (ENG),188.0,New Zealand
,Head coach,,Darren Shaun,BAZELEY,,,,,New Zealand
