#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,MEJIA Luis,Luis Ricardo,MEJÍA CAJAR,MEJÍA,1991-03-16,Club Nacional (URU),193.0,Panama
2,DF,BLACKMAN Cesar,César Rodolfo,BLACKMAN CAMARENA,BLACKMAN,1998-04-02,ŠK Slovan Bratislava (SVK),174.0,Panama
3,DF,CORDOBA Jose,Jose Angel,CÓRDOBA CHAMBERS,CORDOBA,2001-06-03,Norwich City FC (ENG),189.0,Panama
4,DF,ESCOBAR Fidel,Fidel,ESCOBAR MENDIETA,F. ESCOBAR,1995-01-09,Deportivo Saprissa (CRC),184.0,Panama
5,DF,FARINA Edgardo,Edgardo Issac,FARIÑA WYNTER,FARIÑA,2001-10-19,FC Pari Nizhny Novgorod (RUS),195.0,Panama
6,MF,MARTINEZ Cristian,Cristian Jesus,MARTÍNEZ,MARTÍNEZ,1997-02-06,Hapoel Kiryat Shmona FC (ISR),170.0,Panama
7,MF,RODRIGUEZ Jose Luis,José Luis,RODRÍGUEZ FRANCIS,J.L. RODRÍGUEZ,1998-06-19,FC Juárez (MEX),180.0,Panama
8,MF,CARRASQUILLA Adalberto,Adalberto Eliecer,CARRASQUILLA ALCAZAR,CARRASQUILLA,1998-11-28,Pumas UNAM (MEX),171.0,Panama
9,FW,RODRIGUEZ Tomas,Tomas Abdiel,RODRIGUEZ MENA,T. RODRÍGUEZ,1999-03-09,Deportivo Saprissa (CRC),183.0,Panama
10,MF,DIAZ Ismael,Ismael,DÍAZ DE LEON,ISMAEL,1997-05-12,Club León (MEX),184.0,Panama
11,MF,BARCENAS Edgar Yoel,Édgar Yoel,BÁRCENAS HERRERA,BÁRCENAS,1993-10-23,Mazatlán FC (MEX),175.0,Panama
12,GK,SAMUDIO Cesar,César Jair,SAMUDIO MURILLO,SAMUDIO,1994-02-23,CD Marathón (HON),189.0,Panama
13,DF,RAMOS Jiovany,Jiovany Javier,RAMOS DIAZ,RAMOS,1997-01-26,Puerto Cabello CF (VEN),188.0,Panama
14,DF,HARVEY Carlos,Carlos Miguel,HARVEY CESNEROS,HARVEY,2000-02-03,Minnesota United FC (USA),184.0,Panama
15,DF,DAVIS Eric,Eric Javier,DAVIS GRAJALES,DAVIS,1991-03-31,CD Plaza Amador (PAN),180.0,Panama
16,DF,ANDRADE Andres,Andres Alberto,ANDRADE CEDENO,ANDRADE,1998-10-16,LASK Linz (AUT),187.0,Panama
17,FW,FAJARDO Jose,José,FAJARDO NELSON,FAJARDO,1993-08-18,CD Universidad Católica (ECU),184.0,Panama
18,FW,WATERMAN Cecilio,Cecilio Alfonso,WATERMAN RUIZ,WATERMAN,1991-04-13,CD Universidad De Concepción (CHI),180.0,Panama
19,MF,QUINTERO Alberto,Alberto Abdiel,QUINTERO MEDINA,QUINTERO,1987-12-18,CD Plaza Amador (PAN),165.0,Panama
20,MF,GODOY Anibal,Aníbal Casis,GODOY LEMUS,GODOY,1990-02-10,San Diego FC (USA),184.0,Panama
21,MF,YANIS Cesar,César Augusto,YANIS VELASCO,YANIS,1996-01-28,CD Cobresal (CHI),160.0,Panama
22,GK,MOSQUERA Orlando,Orlando,MOSQUERA,MOSQUERA,1994-12-25,Al Fayha FC (KSA),191.0,Panama
23,DF,MURILLO Amir,Michael Amir,MURILLO BERMUDEZ,A. MURILLO,1996-02-11,Beşiktaş JK (TUR),185.0,Panama
24,FW,LONDONO Azarias,Azarias Emmanuel,LONDOÑO GONZALEZ,LONDOÑO,2001-06-21,CD Universidad Católica (ECU),185.0,Panama
25,DF,MILLER Roderick,Roderick Alonso,MILLER MOLINA,MILLER,1992-04-03,Turan Tovuz (AZE),190.0,Panama
26,DF,GUTIERREZ Jorge,Jorge Abdiel,GUTIERREZ CORNEJO,GUTIÉRREZ,1998-09-01,Deportivo La Guaira (VEN),171.0,Panama
,Head coach,,Thomas,CHRISTIANSEN TARIN,,,,,Spain
