#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,NAWAF ALAQIDI,Nawaf Dhahi F,ALAQIDI,ALAQIDI,2000-05-10,Al Nassr FC (KSA),186.0,Saudi Arabia
2,DF,ALI MAJRASHI,Ali Hassan M,MAJRASHI,MAJRASHI,1999-10-02,Al Ahli FC (KSA),169.0,Saudi Arabia
3,DF,ALI LAJAMI,Ali Mohammed A,LAJAMI,LAJAMI,1996-04-24,Al Hilal SC (KSA),177.0,Saudi Arabia
4,DF,ABDULELAH ALAMRI,Abdulelah Ali A,ALAMRI,ALAMRI,1997-01-15,Al Nassr FC (KSA),185.0,Saudi Arabia
5,DF,HASSAN ALTAMBAKTI,Hassan Mohammed O,ALTAMBAKTI,ALTAMBAKTI,1999-02-09,Al Hilal SC (KSA),183.0,Saudi Arabia
6,MF,NASSER ALDAWSARI,Nasser Essa S,ALDAWSARI,NASSER,1998-12-19,Al Hilal SC (KSA),178.0,Saudi Arabia
7,MF,MUSAB ALJUWAYR,Musab Fahad Z,ALJUWAYR,MUSAB,2003-06-20,Al Qadsiah FC (KSA),175.0,Saudi Arabia
8,FW,AIMAN YAHYA,Aiman Yahya Y,AHMED,AIMAN,2001-05-14,Al Nassr FC (KSA),173.0,Saudi Arabia
9,FW,FERAS ALBRIKAN,Feras Tariq N,ALBRIKAN,FERAS,2000-05-14,Al Ahli FC (KSA),185.0,Saudi Arabia
10,FW,SALEM ALDAWSARI,Salem Mohammed S,ALDAWSARI,SALEM,1991-08-19,Al Hilal SC (KSA),173.0,Saudi Arabia
11,FW,SALEH ALSHEHRI,Saleh Khalid M,ALSHEHRI,ALSHEHRI,1993-11-01,Al Ittihad (KSA),184.0,Saudi Arabia
12,DF,SAUD ABDULHAMID,Saud Abdullah S,ABDULHAMID,SAUD,1999-07-18,RC Lens (FRA),172.0,Saudi Arabia
13,DF,NAWAF BU WASHL,Nawaf Meshari M,BU WASHL,NAWAF,1999-09-16,Al Nassr FC (KSA),173.0,Saudi Arabia
14,DF,HASSAN KADISH,Hassan Kadish Y,MAHBUB,KADISH,1992-09-26,Al Ittihad (KSA),179.0,Saudi Arabia
15,MF,ABDULLAH ALKHAIBARI,Abdullah Mohammed H,ALKHAIBARI,ALKHAIBARI,1996-08-16,Al Nassr FC (KSA),175.0,Saudi Arabia
16,MF,ZIYAD ALJOHANI,Ziyad Mubarak E,ALJOHANI,ZIYAD,2001-11-11,Al Ahli FC (KSA),180.0,Saudi Arabia
17,FW,KHALID ALGHANNAM,Khalid Essa M,ALGHANNAM,KHALID,2000-11-08,Al Ettifaq FC (KSA),171.0,Saudi Arabia
18,MF,ALA ALHAJJI,Ala Mohsen A,ALHAJJI,ALHAJJI,1995-12-03,Neom SC (KSA),178.0,Saudi Arabia
19,FW,ABDULLAH ALHAMDDAN,Abdullah Abdulrahman A,ALHAMDDAN,ALHAMDDAN,1999-09-13,Al Nassr FC (KSA),186.0,Saudi Arabia
20,FW,SULTAN MANDASH,Sultan Ahmed M,MANDASH,MANDASH,1994-10-17,Al Hilal SC (KSA),172.0,Saudi Arabia
21,GK,MOHAMMED ALOWAIS,Mohammed Khalil I,ALOWAIS,ALOWAIS,1991-10-10,Al Ula Saudi FC (KSA),185.0,Saudi Arabia
22,GK,AHMED ALKASSAR,Ahmed Ali H,ALKASSAR,ALKASSAR,1991-05-08,Al Qadsiah FC (KSA),178.0,Saudi Arabia
23,MF,MOHAMED KANNO,Mohamed Ibrahim A,KANNO,KANNO,1994-09-22,Al Hilal SC (KSA),191.0,Saudi Arabia
24,DF,MOTEB ALHARBI,Moteb Saad S,ALHARBI,MOTEB,2000-02-20,Al Hilal SC (KSA),177.0,Saudi Arabia
25,DF,JEHAD THIKRI,Jehad Abdullatif A,THIKRI,JEHAD,2001-07-21,Al Qadsiah FC (KSA),184.0,Saudi Arabia
26,DF,MOHAMMED ABU ALSHAMAT,Mohammed Waheeb S,ABU ALSHAMAT,MOHAMMED,2002-08-11,Al Qadsiah FC (KSA),170.0,Saudi Arabia
,Head coach,,Georgios,DONIS,,,,,Greece
