#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),NATIONALITY
1,GK,WILLI AMS Ronwen,Ronwen Hayden,WILLI AMS,WILLI AMS,1992-01-21,Mamelodi Sundowns FC (RSA),184.0,South Africa
2,DF,MATULUDI Thabang,Tholo Thabang,MATULUDI,MATULUDI,1999-01-14,Polokwane City FC (RSA),189.0,South Africa
3,DF,NDAMANE Khulumani,Khulumani,NDAMANE,NDAMANE,2004-02-05,Mamelodi Sundowns FC (RSA),183.0,South Africa
4,MF,MOKOENA Teboho,Teboho,MOKOENA,MOKOENA,1997-01-24,Mamelodi Sundowns FC (RSA),177.0,South Africa
5,MF,MBATHA Thalente,Thalente Wandile,MBATHA,MBATHA,2000-03-06,Orlando Pirates FC (RSA),179.0,South Africa
6,DF,MODIBA Aubrey,Aubrey Maphosa,MODIBA,MODIBA,1995-07-22,Mamelodi Sundowns FC (RSA),171.0,South Africa
7,FW,APPOLLIS Oswin,Oswin Reagan,APPOLLIS,APPOLLIS,2001-08-25,Orlando Pirates FC (RSA),171.0,South Africa
8,FW,MOREMI Tshepang,Tshepang,MOREMI,MOREMI,2000-10-02,Orlando Pirates FC (RSA),169.0,South Africa
9,FW,FOSTER Lyle,Lyle Brent,FOSTER,FOSTER,2000-09-03,Burnley FC (ENG),185.0,South Africa
10,FW,MOFOKENG Relebohile,Relebohile,MOFOKENG,MOFOKENG,2004-10-23,Orlando Pirates FC (RSA),168.0,South Africa
11,MF,ZWANE Themba,Themba,ZWANE,ZWANE,1989-08-03,Mamelodi Sundowns FC (RSA),178.0,South Africa
12,FW,MASEKO Thapelo,Thapelo,MASEKO,MASEKO,2003-11-11,AEL Limassol (CYP),178.0,South Africa
13,MF,SITHOLE Sphephelo,Sphephelo S'miso,SITHOLE,SITHOLE,1999-03-03,CD Tondela (POR),197.0,South Africa
14,DF,MBOKAZI Mbekezeli,Mbekezeli Mfanufikile,MBOKAZI,MBOKAZI,2005-09-19,Chicago Fire FC (USA),177.0,South Africa
15,FW,RAYNERS Iqraam,Iqraam,RAYNERS,RAYNERS,1995-12-19,Mamelodi Sundowns FC (RSA),174.0,South Africa
16,GK,CHAINE Sipho,Sipho Justin,CHAINE,CHAINE,1996-12-14,Orlando Pirates FC (RSA),186.0,South Africa
17,FW,MAKGOPA Evidence,Sekotori Evidence,MAKGOPA,MAKGPA,2000-06-05,Orlando Pirates FC (RSA),183.0,South Africa
18,DF,KABINI Samukele,Samukele Alucious,KABINI,KABINI,2004-03-15,Molde FK (NOR),179.0,South Africa
19,DF,SIBISI Nkosinathi,Nkosinathi Emmanuel,SIBISI,SIBISI,1995-09-22,Orlando Pirates FC (RSA),172.0,South Africa
20,DF,MUDAU Khuliso,Khuliso Johnson,MUDAU,MUDAU,1995-04-26,Mamelodi Sundowns FC (RSA),179.0,South Africa
21,DF,OKON Ime,Ime Daniel,OKON,OKON,2004-02-20,Hannover 96 (GER),187.0,South Africa
22,GK,GOSS Ricardo,Stuart Ricardo,GOSS,GOSS,1994-04-02,Siwelele FC (RSA),181.0,South Africa
23,MF,ADAMS Jayden,Jayden Oswin,ADAMS,ADAMS,2001-05-05,Mamelodi Sundowns FC (RSA),177.0,South Africa
24,DF,MAKHANYA Olwethu,Olwethu Mpilwenhle,MAKHANYA,MAKHANYA,2004-04-30,Philadelphia Union (USA),185.0,South Africa
25,FW,SEBELEBELE Kamogelo,Kamogelo Michael,SEBELEBELE,SEBELEBELE,2002-07-21,Orlando Pirates FC (RSA),166.0,South Africa
26,DF,CROSS Bradley,Bradley Paul,CROSS,CROSS,2001-01-30,Kaizer Chiefs FC (RSA),175.0,South Africa
,Head coach,,Hugo Henri,BROOS,,,,,Belgium
