ctr;country;pdi;idv;mas;uai;ltowvs;ivr
AFE;Africa East;64.0;27.0;41.0;52.0;32.0;40.0
AFW;Africa West;77.0;20.0;46.0;54.0;9.0;78.0
ALB;Albania;;;;;61.0;15.0
ALG;Algeria;;;;;26.0;32.0
AND;Andorra;;;;;;65.0
ARA;Arab countries;80.0;38.0;53.0;68.0;23.0;34.0
ARG;Argentina;49.0;46.0;56.0;86.0;20.0;62.0
ARM;Armenia;;;;;61.0;
AUL;Australia;38.0;90.0;61.0;51.0;21.0;71.0
AUT;Austria;11.0;55.0;79.0;70.0;60.0;63.0
AZE;Azerbaijan;;;;;61.0;22.0
BAN;Bangladesh;80.0;20.0;55.0;60.0;47.0;20.0
BLR;Belarus;;;;;81.0;15.0
BEL;Belgium;65.0;75.0;54.0;94.0;82.0;57.0
BEF;Belgium French;67.0;72.0;60.0;93.0;;
BEN;Belgium Netherl;61.0;78.0;43.0;97.0;;
BOS;Bosnia;;;;;70.0;44.0
BRA;Brazil;69.0;38.0;49.0;76.0;44.0;59.0
BUL;Bulgaria;70.0;30.0;40.0;85.0;69.0;16.0
BUF;Burkina Faso;;;;;27.0;18.0
CAN;Canada;39.0;80.0;52.0;48.0;36.0;68.0
CAF;Canada French;54.0;73.0;45.0;60.0;;
CHL;Chile;63.0;23.0;28.0;86.0;31.0;68.0
CHI;China;80.0;20.0;66.0;30.0;87.0;24.0
COL;Colombia;67.0;13.0;64.0;80.0;13.0;83.0
COS;Costa Rica;35.0;15.0;21.0;86.0;;
CRO;Croatia;73.0;33.0;40.0;80.0;58.0;33.0
CYP;Cyprus;;;;;;70.0
CZE;Czech Rep;57.0;58.0;57.0;74.0;70.0;29.0
DEN;Denmark;18.0;74.0;16.0;23.0;35.0;70.0
DOM;Dominican Rep;;;;;13.0;54.0
ECA;Ecuador;78.0;8.0;63.0;67.0;;
EGY;Egypt;;;;;7.0;4.0
ETH;Ethiopia;;;;;;46.0
SAL;El Salvador;66.0;19.0;40.0;94.0;20.0;89.0
EST;Estonia;40.0;60.0;30.0;60.0;82.0;16.0
FIN;Finland;33.0;63.0;26.0;59.0;38.0;57.0
FRA;France;68.0;71.0;43.0;86.0;63.0;48.0
GEO;Georgia;;;;;38.0;32.0
GER;Germany;35.0;67.0;66.0;65.0;83.0;40.0
GEE;Germany East;;;;;78.0;34.0
GHA;Ghana;;;;;4.0;72.0
GBR;Great Britain;35.0;89.0;66.0;35.0;51.0;69.0
GRE;Greece;60.0;35.0;57.0;112.0;45.0;50.0
GUA;Guatemala;95.0;6.0;37.0;101.0;;
HOK;Hong Kong;68.0;25.0;57.0;29.0;61.0;17.0
HUN;Hungary;46.0;80.0;88.0;82.0;58.0;31.0
ICE;Iceland;;;;;28.0;67.0
IND;India;77.0;48.0;56.0;40.0;51.0;26.0
IDO;Indonesia;78.0;14.0;46.0;48.0;62.0;38.0
IRA;Iran;58.0;41.0;43.0;59.0;14.0;40.0
IRQ;Iraq;;;;;25.0;17.0
IRE;Ireland;28.0;70.0;68.0;35.0;24.0;65.0
ISR;Israel;13.0;54.0;47.0;81.0;38.0;
ITA;Italy;50.0;76.0;70.0;75.0;61.0;30.0
JAM;Jamaica;45.0;39.0;68.0;13.0;;
JPN;Japan;54.0;46.0;95.0;92.0;88.0;42.0
JOR;Jordan;;;;;16.0;43.0
KOR;Korea South;60.0;18.0;39.0;85.0;100.0;29.0
KYR;Kyrgyz Rep;;;;;66.0;39.0
LAT;Latvia;44.0;70.0;9.0;63.0;69.0;13.0
LIT;Lithuania;42.0;60.0;19.0;65.0;82.0;16.0
LUX;Luxembourg;40.0;60.0;50.0;70.0;64.0;56.0
MAC;Macedonia Rep;;;;;62.0;35.0
MAL;Malaysia;104.0;26.0;50.0;36.0;41.0;57.0
MLI;Mali;;;;;20.0;43.0
MLT;Malta;56.0;59.0;47.0;96.0;47.0;66.0
MEX;Mexico;81.0;30.0;69.0;82.0;24.0;97.0
MOL;Moldova;;;;;71.0;19.0
MNG;Montenegro;;;;;75.0;20.0
MOR;Morocco;70.0;46.0;53.0;68.0;14.0;25.0
NET;Netherlands;38.0;80.0;14.0;53.0;67.0;68.0
NZL;New Zealand;22.0;79.0;58.0;49.0;33.0;75.0
NIG;Nigeria;;;;;13.0;84.0
NOR;Norway;31.0;69.0;8.0;50.0;35.0;55.0
PAK;Pakistan;55.0;14.0;50.0;70.0;50.0;0.0
PAN;Panama;95.0;11.0;44.0;86.0;;
PER;Peru;64.0;16.0;42.0;87.0;25.0;46.0
PHI;Philippines;94.0;32.0;64.0;44.0;27.0;42.0
POL;Poland;68.0;60.0;64.0;93.0;38.0;29.0
POR;Portugal;63.0;27.0;31.0;104.0;28.0;33.0
PUE;Puerto Rico;;;;;0.0;90.0
ROM;Romania;90.0;30.0;42.0;90.0;52.0;20.0
RUS;Russia;93.0;39.0;36.0;95.0;81.0;20.0
RWA;Rwanda;;;;;18.0;37.0
SAU;Saudi Arabia;;;;;36.0;52.0
SER;Serbia;86.0;25.0;43.0;92.0;52.0;28.0
SIN;Singapore;74.0;20.0;48.0;8.0;72.0;46.0
SLK;Slovak Rep;104.0;52.0;110.0;51.0;77.0;28.0
SLV;Slovenia;71.0;27.0;19.0;88.0;49.0;48.0
SAF;South Africa;;;;;34.0;63.0
SAW;South Africa white;49.0;65.0;63.0;49.0;;
SPA;Spain;57.0;51.0;42.0;86.0;48.0;44.0
SUR;Suriname;85.0;47.0;37.0;92.0;;
SWE;Sweden;31.0;71.0;5.0;29.0;53.0;78.0
SWI;Switzerland;34.0;68.0;70.0;58.0;74.0;66.0
SWF;Switzerland French;70.0;64.0;58.0;70.0;;
SWG;Switzerland German;26.0;69.0;72.0;56.0;;
TAI;Taiwan;58.0;17.0;45.0;69.0;93.0;49.0
TAN;Tanzania;;;;;34.0;38.0
