feature,importance
diff_elo_elo,0.4617599961576982
away_elo_elo,0.15231141082003127
home_elo_elo,0.14692115444672957
diff_legacy_weight,0.03513683147439062
home_legacy_weight,0.021004896179563814
diff_conflict_intensity_lag1,0.016360804714186748
away_legacy_weight,0.01618072942687327
away_conflict_intensity,0.015102263872247964
diff_conflict_intensity,0.014219176499272538
away_conflict_intensity_lag1,0.01340849033439792
diff_gdp_per_capita,0.01235132672056398
home_conflict_intensity,0.01093766915963209
home_political_stability,0.010465674987406397
home_conflict_intensity_lag1,0.009286746992373793
diff_gdp_per_capita_lag1,0.008432744586655355
diff_is_defending_champion,0.00602832562307093
diff_is_host,0.005785453886874378
away_gdp_per_capita,0.00445630087056989
home_is_host,0.004406941865110241
home_gdp_per_capita,0.004039056643016163
home_is_defending_champion,0.003940849466744574
away_political_stability,0.003925430984073351
diff_political_stability,0.003596790430092534
home_gdp_per_capita_lag1,0.002745528302034683
away_is_defending_champion,0.0020232376235431704
diff_tournament_year,0.0018248611284960097
away_gdp_per_capita_lag1,0.0018176605838519148
away_tournament_year,0.0017443109976286934
home_political_stability_lag1,0.0017435920869470723
diff_political_stability_lag1,0.0015729683276391952
home_tournament_year,0.0015467936112658444
diff_country_code,0.0013203618625466397
away_political_stability_lag1,0.001216094835649607
away_is_host,0.0008533809620303702
away_country_code,0.0008520707409113121
home_country_code,0.0006800727958799201
away_perf_goals_team_mean,0.0
away_perf_goals_team_max,0.0
away_perf_goals_opponent_mean,0.0
home_happiness_score_lag1,0.0
away_perf_goals_opponent_max,0.0
away_perf_minutes_played_mean,0.0
away_perf_market_value_eur_max,0.0
away_perf_goals_mean,0.0
away_perf_assists_mean,0.0
home_perf_tournament_rating_mean,0.0
home_happiness_score,0.0
home_perf_tournament_rating_max,0.0
away_perf_minutes_played_max,0.0
away_perf_market_value_eur_mean,0.0
away_perf_potential,0.0
away_perf_pace_total,0.0
away_perf_shooting_total,0.0
away_perf_passing_total,0.0
away_perf_weight_kg_max,0.0
away_perf_weight_kg_mean,0.0
away_perf_height_cm_max,0.0
away_perf_height_cm_mean,0.0
away_perf_age_max,0.0
away_perf_dribbling_total,0.0
away_perf_age_mean,0.0
away_perf_physicality_total,0.0
away_perf_defending_total,0.0
away_perf_overall,0.0
home_perf_stamina_score_mean,0.0
home_perf_decelerations_max,0.0
home_perf_decelerations_mean,0.0
home_perf_accelerations_max,0.0
home_perf_accelerations_mean,0.0
home_perf_top_speed_kmh_max,0.0
home_perf_top_speed_kmh_mean,0.0
home_perf_sprint_distance_km_max,0.0
home_perf_sprint_distance_km_mean,0.0
home_perf_distance_covered_km_max,0.0
home_perf_distance_covered_km_mean,0.0
home_perf_penalty_saves_max,0.0
away_perf_goals_max,0.0
home_perf_goals_conceded_max,0.0
home_perf_goals_conceded_mean,0.0
home_perf_clean_sheet_max,0.0
home_perf_clean_sheet_mean,0.0
home_perf_punches_max,0.0
home_perf_punches_mean,0.0
home_perf_save_percentage_max,0.0
home_perf_save_percentage_mean,0.0
home_perf_saves_max,0.0
home_perf_saves_mean,0.0
home_perf_offsides_max,0.0
home_perf_red_cards_max,0.0
home_perf_penalty_saves_mean,0.0
home_perf_player_of_match_awards_max,0.0
home_perf_player_of_match_awards_mean,0.0
home_perf_total_minutes_tournament_max,0.0
home_perf_total_minutes_tournament_mean,0.0
home_perf_total_assists_tournament_max,0.0
home_perf_total_assists_tournament_mean,0.0
home_perf_total_goals_tournament_max,0.0
home_perf_total_goals_tournament_mean,0.0
home_perf_clutch_performance_score_max,0.0
home_perf_clutch_performance_score_mean,0.0
home_perf_consistency_score_max,0.0
home_perf_consistency_score_mean,0.0
home_perf_stamina_score_max,0.0
home_perf_creativity_score_mean,0.0
home_perf_pressure_resistance_max,0.0
home_perf_pressure_resistance_mean,0.0
home_perf_possession_impact_max,0.0
home_perf_possession_impact_mean,0.0
home_perf_defensive_contribution_max,0.0
home_perf_defensive_contribution_mean,0.0
home_perf_offensive_contribution_max,0.0
home_perf_offensive_contribution_mean,0.0
home_perf_performance_score_max,0.0
home_perf_performance_score_mean,0.0
home_perf_player_rating_max,0.0
home_perf_player_rating_mean,0.0
home_perf_creativity_score_max,0.0
away_perf_performance_score_mean,0.0
away_perf_player_rating_max,0.0
away_perf_player_rating_mean,0.0
away_perf_stamina_score_max,0.0
away_perf_stamina_score_mean,0.0
away_perf_decelerations_max,0.0
away_perf_decelerations_mean,0.0
away_perf_accelerations_max,0.0
away_perf_accelerations_mean,0.0
away_perf_top_speed_kmh_max,0.0
away_perf_top_speed_kmh_mean,0.0
away_perf_sprint_distance_km_max,0.0
home_perf_offsides_mean,0.0
