team,champion_count,finalist_count,semifinalist_count,quarterfinalist_count,champion_prob,finalist_prob,semifinalist_prob,quarterfinalist_prob
Brazil,10817,3858,21123,33501,0.10817,0.03858,0.21123,0.33501
France,9818,3991,32963,46051,0.09818,0.03991,0.32963,0.46051
South Africa,7899,4622,21609,42285,0.07899,0.04622,0.21609,0.42285
Portugal,6596,2534,23357,31960,0.06596,0.02534,0.23357,0.3196
Germany,6313,4222,18070,30714,0.06313,0.04222,0.1807,0.30714
Netherlands,5109,9652,20458,34165,0.05109,0.09652,0.20458,0.34165
United States,3842,3341,13013,27559,0.03842,0.03341,0.13013,0.27559
England,3671,4679,14351,29429,0.03671,0.04679,0.14351,0.29429
Argentina,3598,2955,14207,24356,0.03598,0.02955,0.14207,0.24356
Belgium,3477,4517,9918,23229,0.03477,0.04517,0.09918,0.23229
Panama,3256,4216,12765,26198,0.03256,0.04216,0.12765,0.26198
Scotland,2468,2247,10571,20960,0.02468,0.02247,0.10571,0.2096
Bosnia and Herzegovina,2295,1831,9816,15702,0.02295,0.01831,0.09816,0.15702
Switzerland,2278,2261,9891,26387,0.02278,0.02261,0.09891,0.26387
Norway,2209,2377,8991,16090,0.02209,0.02377,0.08991,0.1609
Ecuador,2110,4313,11639,26809,0.0211,0.04313,0.11639,0.26809
Côte d'Ivoire,2093,3609,10582,21663,0.02093,0.03609,0.10582,0.21663
Japan,1841,2393,8588,18588,0.01841,0.02393,0.08588,0.18588
Sweden,1836,2419,8379,19468,0.01836,0.02419,0.08379,0.19468
Türkiye,1625,1504,7067,11522,0.01625,0.01504,0.07067,0.11522
Croatia,1555,2653,8453,18812,0.01555,0.02653,0.08453,0.18812
Ghana,1506,2096,10066,20604,0.01506,0.02096,0.10066,0.20604
Spain,1485,5114,7775,10296,0.01485,0.05114,0.07775,0.10296
Austria,1348,1343,8251,16498,0.01348,0.01343,0.08251,0.16498
Uruguay,1316,1766,6982,15023,0.01316,0.01766,0.06982,0.15023
Morocco,1081,1334,6315,15371,0.01081,0.01334,0.06315,0.15371
New Zealand,1003,1402,8962,22119,0.01003,0.01402,0.08962,0.22119
Tunisia,934,1423,5537,13397,0.00934,0.01423,0.05537,0.13397
Canada,849,1381,4812,13653,0.00849,0.01381,0.04812,0.13653
Australia,804,1321,5117,15432,0.00804,0.01321,0.05117,0.15432
Qatar,661,991,4654,12113,0.00661,0.00991,0.04654,0.12113
Mexico,631,1041,3716,10763,0.00631,0.01041,0.03716,0.10763
Jordan,542,124,4526,5968,0.00542,0.00124,0.04526,0.05968
Congo DR,525,783,4402,9250,0.00525,0.00783,0.04402,0.0925
Paraguay,380,646,2980,7447,0.0038,0.00646,0.0298,0.07447
Colombia,350,1295,3618,13209,0.0035,0.01295,0.03618,0.13209
Iraq,344,596,2236,4915,0.00344,0.00596,0.02236,0.04915
Saudi Arabia,275,526,2107,7485,0.00275,0.00526,0.02107,0.07485
Iran,244,538,2155,5856,0.00244,0.00538,0.02155,0.05856
Senegal,227,281,1004,1787,0.00227,0.00281,0.01004,0.01787
Egypt,192,323,1247,3738,0.00192,0.00323,0.01247,0.03738
Czechia,128,344,2054,7143,0.00128,0.00344,0.02054,0.07143
Algeria,121,208,1226,3110,0.00121,0.00208,0.01226,0.0311
South Korea,106,320,1860,7330,0.00106,0.0032,0.0186,0.0733
Cabo Verde,93,204,1001,3464,0.00093,0.00204,0.01001,0.03464
Haiti,82,253,830,3840,0.00082,0.00253,0.0083,0.0384
Curaçao,47,78,387,3627,0.00047,0.00078,0.00387,0.03627
Uzbekistan,20,75,369,1114,0.0002,0.00075,0.00369,0.01114
