home_team,away_team
France,Mexico
United States,Belgium
Serbia,Brazil
Romania,Peru
Argentina,France
Chile,Mexico
Serbia,Bolivia
United States,Paraguay
Uruguay,Peru
Chile,France
Argentina,Mexico
Brazil,Bolivia
Paraguay,Belgium
Uruguay,Romania
Argentina,Chile
Argentina,United States
Uruguay,Serbia
Uruguay,Argentina
Austria,France
Czechia,Romania
Germany,Belgium
Hungary,Egypt
Italy,United States
Spain,Brazil
Sweden,Argentina
Switzerland,Netherlands
Austria,Hungary
Czechia,Switzerland
Germany,Sweden
Italy,Spain
Italy,Spain
Czechia,Germany
Italy,Austria
Germany,Austria
Italy,Czechia
Switzerland,Germany
Cuba,Romania
France,Belgium
Hungary,Indonesia
Italy,Norway
Brazil,Poland
Czechia,Netherlands
Cuba,Romania
Switzerland,Germany
Brazil,Czechia
Hungary,Switzerland
Italy,France
Sweden,Cuba
Brazil,Czechia
Hungary,Sweden
Italy,Brazil
Brazil,Sweden
Italy,Hungary
Brazil,Mexico
Serbia,Switzerland
England,Chile
Spain,United States
Sweden,Italy
Brazil,Switzerland
Serbia,Mexico
Spain,Chile
United States,England
Sweden,Paraguay
Brazil,Serbia
Chile,United States
Spain,England
Italy,Paraguay
Uruguay,Bolivia
Switzerland,Mexico
Brazil,Sweden
Uruguay,Spain
Brazil,Spain
Uruguay,Sweden
Sweden,Spain
Uruguay,Brazil
Brazil,Mexico
Serbia,France
Austria,Scotland
Uruguay,Czechia
Switzerland,Italy
Hungary,South Korea
Germany,Turkey
England,Belgium
Uruguay,Scotland
Brazil,Serbia
Austria,Czechia
France,Mexico
Hungary,Germany
Turkey,South Korea
Italy,Belgium
England,Switzerland
Germany,Turkey
Switzerland,Italy
Austria,Switzerland
Uruguay,England
Hungary,Brazil
Germany,Serbia
Hungary,Uruguay
Germany,Austria
Austria,Uruguay
Germany,Hungary
Sweden,Mexico
Argentina,Germany
Northern Ireland,Czechia
France,Paraguay
Serbia,Scotland
Hungary,Wales
Brazil,Austria
Russia,England
Argentina,Northern Ireland
Germany,Czechia
Paraguay,Scotland
Serbia,France
Mexico,Wales
Brazil,England
Russia,Austria
Sweden,Hungary
Sweden,Wales
Czechia,Argentina
Germany,Northern Ireland
France,Scotland
Paraguay,Serbia
Hungary,Mexico
Brazil,Russia
England,Austria
Northern Ireland,Czechia
Wales,Hungary
Russia,England
Brazil,Wales
France,Northern Ireland
Sweden,Russia
Germany,Serbia
Brazil,France
Sweden,Germany
France,Germany
Brazil,Sweden
Uruguay,Colombia
Chile,Switzerland
Brazil,Mexico
Argentina,Bulgaria
Russia,Serbia
Germany,Italy
Czechia,Spain
Hungary,England
Serbia,Uruguay
Chile,Italy
Brazil,Czechia
England,Argentina
Russia,Colombia
Germany,Switzerland
Spain,Mexico
Hungary,Bulgaria
Russia,Uruguay
Germany,Chile
Brazil,Spain
Hungary,Argentina
Serbia,Colombia
Italy,Switzerland
Mexico,Czechia
England,Bulgaria
Brazil,England
Chile,Russia
Czechia,Hungary
Serbia,Germany
Brazil,Chile
Czechia,Serbia
Chile,Serbia
Brazil,Czechia
England,Uruguay
Germany,Switzerland
Brazil,Bulgaria
Russia,North Korea
France,Mexico
Argentina,Spain
Portugal,Hungary
Italy,Chile
Uruguay,France
Spain,Switzerland
Hungary,Brazil
Chile,North Korea
Argentina,Germany
Portugal,Bulgaria
Russia,Italy
England,Mexico
Mexico,Uruguay
Argentina,Switzerland
Portugal,Brazil
North Korea,Italy
England,France
Germany,Spain
Hungary,Bulgaria
Russia,Chile
England,Argentina
Portugal,North Korea
Russia,Hungary
Germany,Uruguay
Germany,Russia
England,Portugal
Portugal,Russia
England,Germany
Mexico,Russia
Uruguay,Israel
England,Romania
Peru,Bulgaria
Belgium,El Salvador
Italy,Sweden
Brazil,Czechia
Germany,Morocco
Russia,Belgium
Uruguay,Italy
Romania,Czechia
Peru,Morocco
Mexico,El Salvador
Sweden,Israel
Brazil,England
Germany,Bulgaria
Russia,El Salvador
Sweden,Uruguay
Brazil,Romania
Germany,Peru
Mexico,Belgium
Italy,Israel
England,Czechia
Bulgaria,Morocco
Brazil,Peru
Italy,Mexico
Russia,Uruguay
Germany,England
Brazil,Uruguay
Italy,Germany
Germany,Uruguay
Brazil,Italy
Brazil,Serbia
Germany,Chile
East Germany,Australia
Democratic Republic of the Congo,Scotland
Sweden,Bulgaria
Uruguay,Netherlands
Italy,Haiti
Poland,Argentina
Australia,Germany
Chile,East Germany
Scotland,Brazil
Serbia,Democratic Republic of the Congo
Bulgaria,Uruguay
Netherlands,Sweden
Argentina,Italy
Haiti,Poland
Australia,Chile
Scotland,Serbia
Democratic Republic of the Congo,Brazil
East Germany,Germany
Bulgaria,Netherlands
Sweden,Uruguay
Argentina,Haiti
Poland,Italy
Serbia,Germany
Brazil,East Germany
Netherlands,Argentina
Sweden,Poland
Argentina,Brazil
East Germany,Netherlands
Poland,Serbia
Germany,Sweden
Poland,Germany
Argentina,East Germany
Netherlands,Brazil
Sweden,Serbia
Brazil,Poland
Netherlands,Germany
Germany,Poland
Italy,France
Tunisia,Mexico
Argentina,Hungary
Austria,Spain
Brazil,Sweden
Netherlands,Iran
Peru,Scotland
Italy,Hungary
Poland,Tunisia
Germany,Mexico
Argentina,France
Austria,Sweden
Brazil,Spain
Netherlands,Peru
Scotland,Iran
France,Hungary
Poland,Mexico
Germany,Tunisia
Argentina,Italy
Brazil,Austria
Spain,Sweden
Peru,Iran
Scotland,Netherlands
Austria,Netherlands
Italy,Germany
Brazil,Peru
Argentina,Poland
Peru,Poland
Italy,Austria
Netherlands,Germany
Argentina,Brazil
Austria,Germany
Italy,Netherlands
Brazil,Poland
Argentina,Peru
Brazil,Italy
Argentina,Netherlands
Argentina,Belgium
Italy,Poland
Brazil,Russia
Peru,Cameroon
Hungary,El Salvador
Scotland,New Zealand
Germany,Algeria
England,France
Spain,Honduras
Chile,Austria
Czechia,Kuwait
Serbia,Northern Ireland
Italy,Peru
Argentina,Hungary
Brazil,Scotland
Poland,Cameroon
Belgium,El Salvador
Russia,New Zealand
Germany,Chile
England,Czechia
Spain,Serbia
Algeria,Austria
France,Kuwait
Honduras,Northern Ireland
Poland,Peru
Belgium,Hungary
Russia,Scotland
Italy,Cameroon
Argentina,El Salvador
Brazil,New Zealand
Algeria,Chile
France,Czechia
Honduras,Serbia
Germany,Austria
England,Kuwait
Spain,Northern Ireland
Austria,France
Poland,Belgium
Italy,Argentina
Germany,England
Austria,Northern Ireland
Belgium,Russia
Argentina,Brazil
Germany,Spain
France,Northern Ireland
Russia,Poland
Italy,Brazil
Spain,England
Poland,Italy
Germany,France
Poland,France
Italy,Germany
Bulgaria,Italy
Spain,Brazil
Canada,France
Argentina,South Korea
Russia,Hungary
Morocco,Poland
Belgium,Mexico
Algeria,Northern Ireland
Portugal,England
Paraguay,Iraq
Uruguay,Germany
Scotland,Denmark
Italy,Argentina
France,Russia
South Korea,Bulgaria
Hungary,Canada
Brazil,Algeria
England,Morocco
Mexico,Paraguay
Northern Ireland,Spain
Poland,Portugal
Iraq,Belgium
Germany,Scotland
Denmark,Uruguay
Hungary,France
Russia,Canada
Argentina,Bulgaria
South Korea,Italy
Iraq,Mexico
Paraguay,Belgium
England,Poland
Portugal,Morocco
Algeria,Spain
Northern Ireland,Brazil
Denmark,Germany
Scotland,Uruguay
Mexico,Bulgaria
Russia,Belgium
Brazil,Poland
Argentina,Uruguay
Italy,France
Morocco,Germany
England,Paraguay
Denmark,Spain
Brazil,France
Germany,Mexico
Argentina,England
Spain,Belgium
France,Germany
Argentina,Belgium
Belgium,France
Argentina,Germany
Argentina,Cameroon
Russia,Romania
United Arab Emirates,Colombia
Italy,Austria
United States,Czechia
Brazil,Sweden
Germany,Serbia
Costa Rica,Scotland
England,Republic of Ireland
Belgium,South Korea
Netherlands,Egypt
Uruguay,Spain
Argentina,Russia
